I2(45deg) X DEG X DEG
1.9 0.00031376 79.641 0.81531 1.4063
1.8 0.00030947 79.961 0.8147 1.4141
1.7 0.00040961 75.235 0.8147 1.4141
1.6 0.00014925 84.672 0.81458 1.4141
1.5 0.00041104 76.43 0.81476 1.4063
1.4 0.00019312 83.391 0.81452 1.4141
1.3 0.00016356 83.649 0.81452 1.4063
1.2 7.1049E-5 87.68 0.81495 1.3984
1.1 0.00015831 84.883 0.81476 1.3984
1 4.8638E-5 87.696 0.81458 1.3984
0.9 -0.0001421 95.055 0.81446 1.3984
0.8 -9.8706E-5 93.915 0.81415 1.3984
0.7 -0.00024366 98.172 0.8144 1.3984
0.6 -0.00052166 106.9 0.81397 1.3984
0.5 -0.00040198 103.92 0.81403 1.4063
0.4 -0.00039339 103.64 0.81397 1.3984
0.3 -0.00067664 111.63 0.81385 1.3906
0.2 -0.0006361 110.68 0.8136 1.3984
0.1 -0.00060273 109.48 0.81317 1.3984
1.110223E-16 -0.00063134 110.26 0.81324 1.3906
-0.1 -0.00066996 111.14 0.81324 1.3984
-0.2 -0.00053311 107.48 0.81317 1.3984
-0.3 -0.00037909 103.07 0.81275 1.4063
-0.4 -0.00056601 108.34 0.81275 1.3984
-0.5 -0.00050879 106.77 0.81263 1.4063
-0.6 -0.00037718 102.34 0.81263 1.3984
-0.7 -0.00020981 96.657 0.81214 1.3984
-0.8 -0.00035 101.11 0.81177 1.4063
-0.9 0.00019407 84.008 0.81238 1.3906
-1 -0.00018692 95.876 0.8125 1.3906
-1.1 -0.00028849 99.493 0.8125 1.3828
-1.2 -0.00039959 103.17 0.81226 1.3906
-1.3 -0.00040341 103.17 0.81214 1.3906
-1.4 -0.00058747 108.53 0.8125 1.3906
-1.5 -0.00075579 113.48 0.81214 1.3906
-1.6 -0.00034237 101.73 0.81189 1.3906
-1.7 -0.00036478 101.53 0.81202 1.3906
-1.8 -0.00039482 102.59 0.81195 1.3906
-1.9 -0.00029326 100.29 0.81208 1.3906
-2 -0.00029707 99.266 0.81177 1.3906
