I2(45deg) X DEG X DEG
1.95 0.0018668 44.657 0.79975 1.3672
1.9 0.0017123 47.992 0.79981 1.3516
1.85 0.0017762 46.594 0.7995 1.3672
1.8 0.0019236 44.235 0.79975 1.3516
1.75 0.0014877 52.258 0.79914 1.3594
1.7 0.0017848 46.117 0.79926 1.3594
1.65 0.0015755 49.11 0.7995 1.3594
1.6 0.0015912 49.305 0.79926 1.3594
1.55 0.0015945 50.133 0.7992 1.3594
1.5 0.0017495 46.258 0.79908 1.3594
1.45 0.0018702 45.016 0.79956 1.3594
1.4 0.0015626 50.782 0.79956 1.3594
1.35 0.0017886 46.664 0.79889 1.3672
1.3 0.0019145 44.157 0.79902 1.3672
1.25 0.0020709 41.664 0.79932 1.3594
1.2 0.0019584 43.914 0.79938 1.3594
1.15 0.0017476 46.813 0.79932 1.3594
1.1 0.0016656 47.946 0.79956 1.3594
1.05 0.0017729 45.297 0.79963 1.3672
1 0.0014176 52.5 0.79914 1.3672
0.95 0.0014749 51.696 0.79865 1.3672
0.9 0.0013285 54.297 0.79883 1.3672
0.85 0.0013647 53.367 0.79902 1.3594
0.8 0.0013719 53.305 0.79889 1.3672
0.75 0.0014815 51.242 0.79889 1.3672
0.7 0.0014806 52.563 0.79883 1.375
0.65 0.0016871 48.055 0.79877 1.3672
0.6 0.0017576 46.75 0.79853 1.375
0.55 0.0017529 46.282 0.79865 1.375
0.5 0.0017152 47.821 0.79822 1.3906
0.45 0.0019713 42.274 0.79841 1.375
0.4 0.0019293 43.657 0.79865 1.375
0.35 0.0021777 40.211 0.79877 1.3672
0.3 0.0018263 46.078 0.79816 1.3672
0.25 0.0019336 45.039 0.79792 1.3828
0.2 0.0022106 40.477 0.79804 1.3672
0.15 0.0023322 38.508 0.79779 1.3828
0.1 0.0022836 39.524 0.79706 1.3906
0.05 0.0023985 37.461 0.79816 1.3672
1.110223E-16 0.0023146 40.188 0.79779 1.375
-0.05 0.0023308 39.133 0.79743 1.3828
-0.1 0.0023422 37.805 0.79743 1.375
-0.15 0.0021405 41.633 0.79792 1.375
-0.2 0.002223 40.274 0.79749 1.3672
-0.25 0.0022922 39.344 0.7981 1.3672
-0.3 0.0022097 40 0.79816 1.3672
-0.35 0.0022006 40.078 0.79828 1.3672
-0.4 0.0023146 38.969 0.7981 1.375
-0.45 0.0024862 37.18 0.79828 1.375
-0.5 0.0026336 34.305 0.79853 1.375
-0.55 0.0028663 33.211 0.79822 1.3828
-0.6 0.0029068 33.071 0.79804 1.375
-0.65 0.0028014 34.649 0.79786 1.3828
-0.7 0.0026264 36.305 0.79786 1.3828
-0.75 0.0029845 33.328 0.79731 1.3906
-0.8 0.0029884 32.352 0.79743 1.3828
-0.85 0.0029779 33.133 0.79767 1.3828
-0.9 0.0032163 30.758 0.79737 1.3828
-0.95 0.0030689 31.516 0.79749 1.3828
-1 0.0032287 29.219 0.79779 1.375
-1.05 0.0030422 32.024 0.79779 1.375
-1.1 0.0032501 31.016 0.79749 1.3828
-1.15 0.0032735 30.297 0.79743 1.3828
-1.2 0.0031901 31.07 0.79755 1.3828
-1.25 0.003305 30.203 0.79749 1.3828
-1.3 0.0029302 34.344 0.79755 1.3828
-1.35 0.0032993 29.742 0.79792 1.3828
-1.4 0.003222 30.25 0.79841 1.3828
-1.45 0.00312 31.5 0.79859 1.3828
-1.5 0.0031796 30.922 0.79841 1.3906
-1.55 0.0034442 28.156 0.79895 1.3828
-1.6 0.0034561 28.36 0.79914 1.3828
-1.65 0.0033741 29.172 0.79932 1.3828
-1.7 0.0034642 28.227 0.79938 1.3828
-1.75 0.0033994 29.414 0.79938 1.375
-1.8 0.0035992 27.524 0.79926 1.3906
-1.85 0.0035625 27.539 0.79956 1.3906
-1.9 0.0033827 29.938 0.79908 1.3906
-1.95 0.0036616 27.938 0.79889 1.3906
-2 0.0037127 27.5 0.79895 1.3906
