I2(45deg) X DEG X DEG
-2 0.00068522 70.954 0.79999 1.3281
-1.95 0.00083018 66.922 0.79981 1.3281
-1.9 0.00063229 72.235 0.80005 1.3281
-1.85 0.00074101 69.422 0.79999 1.3203
-1.8 0.00094223 64.469 0.79987 1.3281
-1.75 0.0010209 62.344 0.79975 1.3281
-1.7 0.001019 62.727 0.79987 1.3203
-1.65 0.0010147 62.953 0.79938 1.3281
-1.6 0.0013561 54.422 0.79975 1.3203
-1.55 0.0015154 52.438 0.80011 1.3125
-1.5 0.0012126 57.68 0.80011 1.3281
-1.45 0.0010428 62.125 0.7995 1.3203
-1.4 0.0014444 53.492 0.79938 1.3203
-1.35 0.0010796 61.594 0.7995 1.3281
-1.3 0.00091696 65.368 0.79883 1.3359
-1.25 0.0011239 59.805 0.79926 1.3359
-1.2 0.001143 59.602 0.79926 1.3203
-1.15 0.0011659 58.203 0.79969 1.3125
-1.1 0.0013781 54.43 0.79999 1.3125
-1.05 0.0011625 59.75 0.79956 1.3203
-1 0.0014858 52.899 0.79999 1.3125
-0.95 0.0014663 53.266 0.79963 1.3125
-0.9 0.0016155 50.141 0.79926 1.3203
-0.85 0.0017166 48.571 0.7995 1.3125
-0.8 0.0015373 51.852 0.79877 1.3125
-0.75 0.0014391 53.172 0.79889 1.3125
-0.7 0.0017204 48.141 0.79914 1.3203
-0.65 0.0017581 47.453 0.79883 1.3125
-0.6 0.0020323 43.485 0.79865 1.3125
-0.55 0.0021405 41.992 0.79841 1.3125
-0.5 0.0020457 42.946 0.79908 1.3125
-0.45 0.0017734 47.258 0.79877 1.3047
-0.4 0.0013361 54.922 0.79902 1.3125
-0.35 0.0015636 50.242 0.79914 1.3125
-0.3 0.0014129 53.242 0.79883 1.3125
-0.25 0.0017419 47.164 0.7992 1.3125
-0.2 0.0015903 50.032 0.79859 1.3281
-0.15 0.0014081 54.774 0.79828 1.3281
-0.1 0.0011983 58.524 0.7981 1.3359
-0.05 0.0014496 53.071 0.79834 1.3203
1.110223E-16 0.0015593 50.758 0.79889 1.3203
0.05 0.0014915 51.789 0.79895 1.3203
0.1 0.0013189 55.719 0.79828 1.3281
0.15 0.001133 61.321 0.79853 1.3203
0.2 0.001174 59.203 0.79822 1.3281
0.25 0.0013208 54.977 0.79883 1.3203
0.3 0.00095654 64.352 0.79889 1.3203
0.35 0.00067854 70.86 0.79859 1.3125
0.4 0.00071764 69.196 0.79847 1.3203
0.45 0.00071526 69.141 0.79889 1.3125
0.5 0.00065804 70.751 0.79938 1.3125
0.55 0.00073719 67.797 0.79883 1.3125
0.6 0.00089741 63.617 0.79889 1.3125
0.65 0.00081635 66.383 0.7992 1.3125
0.7 0.00092984 64.868 0.79895 1.3203
0.75 0.00097084 62.5 0.79841 1.3281
0.8 0.002645 35.625 0.79822 1.3203
0.85 0.0012756 56.5 0.79865 1.3125
0.9 0.0011282 59.375 0.79895 1.3125
0.95 0.001081 60.664 0.79841 1.3125
1 0.0014691 52.766 0.79847 1.3125
1.05 0.001442 52.446 0.79822 1.3125
1.1 0.0011826 58.594 0.79865 1.3125
1.15 0.0013208 55.485 0.79865 1.3125
1.2 0.0014076 53.422 0.79865 1.3047
1.25 0.00047159 75.477 0.7981 1.3125
1.3 0.00043106 77.235 0.79865 1.3125
1.35 0.00040579 78.133 0.79859 1.3125
1.4 0.00083113 65.438 0.79895 1.3125
1.45 0.00083828 65.415 0.79883 1.3125
1.5 0.00099755 61.875 0.79914 1.3125
1.55 0.0010352 61.133 0.79908 1.3125
1.6 0.001174 58.352 0.79902 1.3125
1.65 0.0015416 51.375 0.79841 1.3125
1.7 0.0013185 55.485 0.79847 1.3125
1.75 0.0014172 53.391 0.79871 1.3125
1.8 0.0014772 51.789 0.79859 1.3125
1.85 0.0016775 48.524 0.79883 1.3125
1.9 0.0015297 50.258 0.7992 1.3125
1.95 0.001514 51.172 0.79914 1.3125
