I2(45deg) X DEG X DEG
-2 3.0995E-5 -69.555 0.79798 1.3828
-1.9 0.00022125 -19.047 0.7981 1.3828
-1.8 0.0001936 -21.391 0.79804 1.3906
-1.7 0.0001173 -33.422 0.79792 1.3906
-1.6 0.00014258 -30.75 0.79792 1.3906
-1.5 0.00017738 -16.914 0.79767 1.3906
-1.4 7.1526E-6 -70.594 0.79749 1.3906
-1.3 -4.2916E-5 -127.9 0.79718 1.3906
-1.2 -0.00012779 -159.7 0.797 1.3984
-1.1 0.00014401 -22.789 0.79712 1.3906
-1 0.00016832 -18.844 0.79712 1.3828
-0.9 4.0055E-5 -35.274 0.79676 1.3906
-0.8 0.00018024 -12.172 0.79664 1.3906
-0.7 0.00034046 -10.758 0.79706 1.3906
-0.6 0.00045824 -7.3516 0.79743 1.375
-0.5 0.00038195 -7.8203 0.79712 1.3828
-0.4 0.00032663 -11.531 0.79694 1.3906
-0.3 0.00031281 -11.047 0.79712 1.3828
-0.2 0.00027943 -13.961 0.79712 1.3828
-0.1 0.00031662 -11.711 0.79743 1.3906
1.110223E-16 0.00025368 -14.797 0.79688 1.3828
0.1 0.00031901 -8.9376 0.79706 1.375
0.2 0.0004139 -9.1016 0.79682 1.375
0.3 0.00042629 -8.9219 0.79706 1.3672
0.4 0.0003643 -8.1563 0.79657 1.375
0.5 0.00043631 -8.8438 0.79664 1.375
0.6 0.00017452 -20.383 0.79657 1.375
0.7 -0.00011969 -159.45 0.79615 1.3828
0.8 -7.2003E-5 -140.27 0.79633 1.3828
0.9 1.3828E-5 -78.688 0.79676 1.375
1 -6.342E-5 -134.69 0.79651 1.375
1.1 7.0096E-5 -37.039 0.79627 1.3828
1.2 7.0572E-5 -44.016 0.79639 1.3828
1.3 5.5313E-5 -42.258 0.79657 1.375
1.4 3.3379E-5 -44.571 0.79627 1.375
1.5 0.00024462 -13.727 0.79657 1.375
1.6 0.00012398 -19.328 0.79651 1.375
1.7 6.2943E-5 -28.289 0.79615 1.3828
1.8 0.0001173 -25.117 0.79639 1.3906
1.9 0.00023937 -9.7423 0.79664 1.375
