Time X DEG X DEG
0 7.2003E-5 57.055 0.32038 1.9219
1.1300004 0.00022757 19.57 0.32031 1.9297
2.0000005 0.00025666 17.266 0.32038 1.9219
3.0000001 0.00021422 24.297 0.32031 1.9297
4.0000003 0.0001905 29.852 0.32031 1.9219
4.9999999 5.9128E-5 67.008 0.32031 1.9375
6.0000001 0.00010192 52 0.32031 1.9297
7.0000004 0.00018477 32.133 0.32031 1.9297
8 9.5964E-5 56.133 0.32025 1.9297
9.0000002 9.9302E-5 53.602 0.32031 1.9297
10 0.00014722 44.438 0.32031 1.9219
11 5.6982E-5 67.696 0.32031 1.9219
12 0.00020373 28.016 0.32031 1.9063
13.000001 0.00012279 43.469 0.32031 1.9141
14 0.00015533 37.867 0.32025 1.9297
15 7.5818E-5 61.227 0.32025 1.9297
16 7.0096E-5 61.024 0.32025 1.9297
17 1.7882E-5 79.133 0.32025 1.9219
18 0.00011826 41.11 0.32025 1.9063
19 0.00016201 36.821 0.32025 1.9219
20 0.00013757 38.344 0.32019 1.9219
21.000001 0.00016689 33.969 0.32019 1.9375
22 0.00016725 35.125 0.32013 1.9297
23 -2.42E-5 99.524 0.32019 1.9297
24 3.0399E-5 74.594 0.32019 1.9297
25 2.8491E-5 78.258 0.32019 1.9219
26 0.00021005 26.86 0.32013 1.9141
27 0.00016737 35.422 0.32013 1.9219
28 0.00010228 53.117 0.32019 1.9297
29 0.00015008 35.282 0.32019 1.9219
30 0.00014663 43.36 0.32013 1.9297
31 0.00021696 28.953 0.32013 1.9219
32 9.9659E-5 57.446 0.32013 1.9375
33 0.00014365 45.782 0.32013 1.9375
34 4.1008E-5 78.282 0.32013 1.9375
35 0.00015938 39.992 0.32007 1.9219
36 0.00013435 49.157 0.32007 1.9375
37 0.00010562 55.672 0.32007 1.9297
38 0.00014031 43.672 0.32007 1.9297
39 0.00022066 32.266 0.32007 1.9375
40 0.00013316 45.5 0.32007 1.9219
41 0.00034106 18.586 0.32007 1.9063
42 8.6308E-5 59.414 0.32007 1.9375
43 0.00016642 40.313 0.32007 1.9297
44 0.00023604 30.508 0.32001 1.9297
45 4.9949E-5 72.18 0.32007 1.9375
46 0.00010419 55.399 0.32007 1.9219
47 6.1632E-5 70.29 0.32001 1.9375
48 0.0001899 34 0.32001 1.9297
49 0.00015521 44.11 0.32001 1.9375
50 0.00017667 38.446 0.32001 1.9375
51 0.00014341 44.375 0.32001 1.9297
52 0.00018823 36.657 0.32001 1.9375
53 0.00019694 33.586 0.31995 1.9219
54 3.8863E-5 77.922 0.32001 1.9297
55 9.6679E-5 58.782 0.31995 1.9219
56.000001 0.00018346 34.563 0.31989 1.9375
57 0.0003165 20.031 0.31995 1.9297
58 0.00016415 38.758 0.31995 1.9219
59 -0.00012207 121.72 0.31995 1.9375
60 -4.7803E-5 102.47 0.31995 1.9375
61 -0.00012648 118.85 0.31995 1.9375
62 -0.00012124 120.63 0.31995 1.9375
63 -0.00016427 128.27 0.31995 1.9297
64.000001 -0.00010264 116.97 0.31989 1.9375
65 -7.7367E-5 112.63 0.31995 1.9375
66 -1.5855E-5 94.008 0.31989 1.9375
67 -0.00012696 119.52 0.31989 1.9453
68 -8.5235E-5 111.51 0.31983 1.9375
69 -3.3975E-5 99.001 0.31989 1.9375
70 -2.9087E-5 100.77 0.31989 1.9375
71 4.971E-5 73.969 0.31989 1.9297
72 -4.5777E-5 104.28 0.31989 1.9453
73 -6.0439E-5 108.09 0.31989 1.9453
74 -4.8161E-5 104.23 0.31989 1.9375
75 2.7776E-5 81.141 0.31989 1.9375
76 0.00016952 45.149 0.31977 1.9375
77 -6.8069E-5 108.88 0.31983 1.9375
78 9.2984E-5 61.383 0.31977 1.9375
79 7.9275E-5 66.258 0.31983 1.9453
80 -8.9408E-6 91.446 0.31983 1.9531
81 0.00014734 51.258 0.31977 1.9531
82 5.5909E-5 75.454 0.31983 1.9531
83 4.6611E-5 76.086 0.31977 1.9453
84 9.5368E-5 63.485 0.31977 1.9453
85 8.7142E-5 66.899 0.31977 1.9453
86 8.4639E-5 67.876 0.31977 1.9531
87 0.00015342 49.024 0.3197 1.9453
88 9.5249E-5 63.891 0.31977 1.9375
89 0.0002234 38.274 0.3197 1.9453
90 -1.0014E-5 91.743 0.31977 1.9375
91 -0.00010157 117.98 0.3197 1.9375
92 -3.8863E-5 101.9 0.3197 1.9375
93 -1.657E-5 96.219 0.3197 1.9375
94 5.0307E-5 71.844 0.3197 1.9375
95 2.3961E-5 82.383 0.3197 1.9375
96 7.4864E-5 69.321 0.3197 1.9375
97 0.00013721 53.649 0.31964 1.9453
98 0.00013411 52 0.31964 1.9375
99.000001 -1.6928E-5 94.485 0.3197 1.9453
100 -0.00010181 113.38 0.3197 1.9453
