Alpha(210mT) X DEG X DEG
270 -0.00021362 94.321 0.93085 1.5781
264.98 -0.0017243 121.58 0.93091 1.5781
260.11 -0.0024872 132.29 0.93079 1.5781
255.18 -0.0030384 138.41 0.93067 1.5859
250.27 -0.0031891 139.93 0.93055 1.5938
245.33 -0.0036411 143.07 0.93024 1.5938
240.37 -0.0039215 145.53 0.93024 1.5781
235.27 -0.0039711 145.99 0.93018 1.5781
230.29 -0.0040856 146.2 0.93006 1.5781
225.27 -0.0041886 147.02 0.92993 1.5703
220.35 -0.0042267 147.47 0.92993 1.5703
215.31 -0.0043354 147.95 0.92975 1.5703
210.4 -0.0043087 147.7 0.92969 1.5703
205.5 -0.004263 147.78 0.92969 1.5703
200.43 -0.0038967 145.12 0.92969 1.5703
195.44 -0.0039559 145.1 0.92963 1.5625
190.25 -0.0038414 144.55 0.92963 1.5547
185.25 -0.0036259 143.23 0.92963 1.5625
179.86 -0.0026188 132.86 0.92963 1.5625
174.8 0.00081063 74.079 0.92945 1.5703
169.87 0.0017281 58.485 0.92945 1.5703
164.84 0.0023442 50.242 0.92963 1.5703
159.94 0.0024414 49.602 0.92939 1.5703
154.84 0.0025597 48.328 0.92963 1.5703
149.99 0.0028496 45.149 0.92969 1.5703
144.98 0.0025368 48.782 0.92981 1.5703
140.01 0.0026531 47.485 0.92981 1.5703
135.23 0.0029068 44.461 0.92993 1.5703
130.09 0.0028668 45.016 0.93 1.5703
124.98 0.00276 46.282 0.93006 1.5703
120.06 0.0027046 46.399 0.93012 1.5703
115.31 0.0026627 46.594 0.93006 1.5781
110.14 0.0023499 50.532 0.93018 1.5781
105.31 0.0021858 52.899 0.9303 1.5781
100.09 0.0016747 59.282 0.93042 1.5781
95.07 0.0011025 68.61 0.93067 1.5781
89.89 6.485E-5 88.844 0.93055 1.5781
84.77 -0.0016518 120.93 0.93073 1.5781
79.63 -0.0026875 134.53 0.93055 1.5781
74.74 -0.0034161 140.95 0.93042 1.5781
69.79 -0.0037117 143.6 0.93049 1.5703
64.89 -0.0036697 143.32 0.93024 1.5703
59.93 -0.0038834 144.82 0.93018 1.5703
54.95 -0.0039673 145.32 0.93012 1.5703
50 -0.0042267 147.31 0.92987 1.5703
45.1 -0.0043202 147.75 0.92987 1.5703
40.09 -0.0043202 147.36 0.92981 1.5703
35.09 -0.0045815 149.3 0.92981 1.5703
30.23 -0.004509 148.86 0.92975 1.5781
25.26 -0.0047188 149.92 0.92969 1.5703
20.3 -0.0048027 149.87 0.92969 1.5703
15.37 -0.0046082 149.69 0.92975 1.5781
10.13 -0.0043717 147.84 0.92969 1.5703
5.16 -0.0040169 145.3 0.92963 1.5781
-0.02 -0.0030899 137.83 0.92951 1.5703
-5.02 0.00038147 82.11 0.92945 1.5781
-9.97 0.001091 68.907 0.92939 1.5859
-15.05 0.0017243 58.985 0.92939 1.5859
-19.94 0.0021076 53.547 0.92951 1.5859
-24.77 0.0022984 51.328 0.92951 1.5859
-29.82 0.0025921 48.063 0.92951 1.5703
-34.69 0.0028897 45.164 0.92969 1.5781
-39.65 0.0032921 40.828 0.92975 1.5781
-44.54 0.0031643 42.633 0.92975 1.5781
-49.55 0.003273 41.032 0.92975 1.5781
-54.52 0.003109 42.563 0.92975 1.5781
-60.43 0.0032063 41.86 0.93 1.5781
-65.36 0.0029049 44.883 0.92981 1.5703
-70.36 0.0028916 44.5 0.93012 1.5781
-75.42 0.0025139 48.602 0.93036 1.5703
-80.46 0.0021649 53.078 0.9303 1.5781
-85.42 0.0018673 56.563 0.93036 1.5781
-90 0.00054169 79.001 0.93042 1.5703
