Alpha(210mT) X DEG X DEG
270 0.00073624 75.196 0.93915 1.5703
264.98 -0.0011082 111.98 0.93927 1.5703
260.11 -0.0021877 128.43 0.93927 1.5703
255.18 -0.0027828 134.75 0.93921 1.5625
250.27 -0.0031338 138.7 0.93903 1.5703
245.33 -0.0032864 140.72 0.93885 1.5703
240.37 -0.0037193 143.43 0.93885 1.5703
235.27 -0.0037537 143.74 0.93879 1.5703
230.29 -0.003685 143.65 0.93873 1.5625
225.27 -0.0037899 144.34 0.9386 1.5703
220.35 -0.0040398 145.5 0.93848 1.5703
215.31 -0.0037384 144.2 0.93836 1.5703
210.4 -0.0038281 145.47 0.9383 1.5703
205.5 -0.0036755 143.77 0.9383 1.5625
200.43 -0.003746 143.65 0.93824 1.5625
195.44 -0.0033245 140.75 0.93805 1.5547
190.25 -0.0031281 138.99 0.93793 1.5625
185.25 -0.0029183 136.55 0.93781 1.5625
179.86 -0.0020886 127.25 0.93775 1.5547
174.8 0.0015202 61.485 0.93769 1.5625
169.87 0.0023499 50.227 0.93775 1.5625
164.84 0.0028381 45.211 0.93787 1.5547
159.94 0.0031033 42.336 0.93781 1.5547
154.84 0.0032997 40.586 0.93793 1.5547
149.99 0.0033589 40.586 0.93793 1.5625
144.98 0.0034084 40.141 0.93799 1.5625
140.01 0.0036679 37.852 0.93811 1.5625
135.23 0.0037117 37.586 0.93811 1.5703
130.09 0.0036278 38.75 0.93817 1.5703
124.98 0.0036125 38.61 0.93848 1.5703
120.06 0.0036354 38.305 0.93805 1.5703
115.31 0.0033741 40.703 0.9383 1.5703
110.14 0.0032044 41.547 0.9386 1.5703
105.31 0.0029316 44.305 0.93866 1.5703
100.09 0.0024929 48.86 0.93879 1.5703
95.07 0.0019302 55.875 0.93891 1.5703
89.89 0.00078392 74.672 0.93891 1.5781
84.77 -0.0012398 114.09 0.93903 1.5703
79.63 -0.0021896 128.28 0.93885 1.5703
74.74 -0.0027275 134.94 0.93885 1.5703
69.79 -0.0031376 138.81 0.93873 1.5703
64.89 -0.0032864 140.2 0.9386 1.5703
59.93 -0.0034218 141.31 0.93836 1.5703
54.95 -0.0035973 143.09 0.93824 1.5703
50 -0.0033989 142.02 0.93817 1.5703
45.1 -0.0035801 142.95 0.93781 1.5781
40.09 -0.0036869 143.91 0.93787 1.5703
35.09 -0.0035114 142.58 0.93769 1.5781
30.23 -0.0035324 143.56 0.93744 1.5781
25.26 -0.0036278 143.7 0.93708 1.5859
20.3 -0.0034199 142 0.93714 1.5859
15.37 -0.0034065 141.96 0.9372 1.5781
10.13 -0.0030766 138.92 0.93726 1.5703
5.16 -0.0027046 135.17 0.93702 1.5703
-0.02 -0.0016308 120.92 0.93671 1.5781
-5.02 0.001894 55.657 0.93659 1.5703
-9.97 0.0026837 46.438 0.93689 1.5703
-15.05 0.0030308 42.672 0.93702 1.5703
-19.94 0.003088 42.594 0.93714 1.5625
-24.77 0.0034313 39.227 0.93738 1.5703
-29.82 0.0034733 39.602 0.93738 1.5703
-34.69 0.003603 38.524 0.93775 1.5625
-39.65 0.0035668 38.547 0.93763 1.5703
-44.54 0.0034466 39.696 0.93769 1.5703
-49.55 0.0032005 41.571 0.93805 1.5703
-54.52 0.0030613 43.125 0.93817 1.5703
-60.43 0.0031948 41.813 0.93836 1.5703
-65.36 0.0032635 40.805 0.93811 1.5703
-70.36 0.0031796 41.547 0.93811 1.5703
-75.42 0.0029144 44.11 0.93842 1.5703
-80.46 0.0025902 47.477 0.93848 1.5781
-85.42 0.001997 54.453 0.93848 1.5703
-90 0.0011501 67.751 0.9386 1.5703
