I1(135deg) X DEG X DEG
1.9 0.0012002 55.375 0.96839 1.8438
1.8 0.0010705 58.414 0.96833 1.8516
1.7 0.00091792 62.11 0.96845 1.8438
1.6 0.00078488 66.477 0.96857 1.8359
1.5 0.0006156 70.399 0.96869 1.8359
1.4 0.00070429 67.454 0.96875 1.8359
1.3 0.00087452 63.508 0.96881 1.8359
1.2 0.00097657 60.25 0.96881 1.8359
1.1 0.00086928 63.492 0.96869 1.8359
1 0.00087262 63.055 0.96881 1.8359
0.9 0.00094176 61.203 0.969 1.8359
0.8 0.00090313 61.953 0.96881 1.8359
0.7 0.00086308 63.461 0.96888 1.8359
0.6 0.00071335 68.594 0.96881 1.8359
0.5 0.00088931 62.313 0.96894 1.8359
0.4 0.0008483 63.571 0.96912 1.8281
0.3 0.00090838 62.836 0.96912 1.8281
0.2 0.00095559 61.649 0.969 1.8281
0.1 0.0010529 58.313 0.96906 1.8281
1.110223E-16 0.00093651 61.586 0.96912 1.8281
-0.1 0.00092698 62.032 0.96906 1.8359
-0.2 0.00088692 62.11 0.96906 1.8281
-0.3 0.00088215 62.133 0.969 1.8359
-0.4 0.00073481 67.407 0.96888 1.8359
-0.5 0.00080586 64.977 0.96881 1.8359
-0.6 -0.00317 152.61 0.96888 1.8359
-0.7 -0.005888 164.88 0.96888 1.8359
-0.8 -0.0061875 165.18 0.96894 1.8359
-0.9 -0.0061536 165.53 0.96906 1.8281
-1 -0.0057998 164.37 0.96888 1.8359
-1.1 0.00037861 77.368 0.96888 1.8281
-1.2 0.00037098 78.086 0.96881 1.8281
-1.3 0.00045729 74.266 0.96875 1.8359
-1.4 0.00042629 76.219 0.96881 1.8359
-1.5 0.00053788 72.688 0.969 1.8359
-1.6 0.00062657 69.29 0.96906 1.8281
-1.7 0.00070095 67.719 0.96894 1.8359
-1.8 0.00048924 74.032 0.96912 1.8359
-1.9 0.00086785 62.446 0.969 1.8359
-2 0.00086689 62.758 0.96888 1.8359
