I1(135deg) X DEG X DEG
-2 0.00059081 70.758 0.96857 1.8594
-1.9 0.00075865 66.071 0.96857 1.8516
-1.8 0.00066758 68.836 0.96869 1.8594
-1.7 0.00067807 67.899 0.96863 1.8594
-1.6 0.00065041 69.18 0.96875 1.8516
-1.5 0.0007782 64.907 0.96875 1.8516
-1.4 0.00050021 73.204 0.96875 1.8516
-1.3 0.00037098 77.907 0.96875 1.8516
-1.2 0.00041533 76.305 0.96881 1.8438
-1.1 0.00030089 79.829 0.96881 1.8516
-1 0.00017357 84.024 0.96881 1.8516
-0.9 0.00020695 83.133 0.96888 1.8516
-0.8 0.00014877 85.071 0.96888 1.8516
-0.7 0.0002451 81.282 0.96888 1.8438
-0.6 0.00016737 84.352 0.96888 1.8516
-0.5 9.7752E-5 86.704 0.96894 1.8438
-0.4 0.00014067 85.047 0.96894 1.8438
-0.3 -2.5273E-5 90.727 0.969 1.8438
-0.2 1.6689E-5 89.477 0.96888 1.8516
-0.1 3.6717E-5 88.743 0.96888 1.8516
1.110223E-16 2.9564E-5 88.821 0.96881 1.8594
0.1 0.00012636 85.626 0.96888 1.8516
0.2 0.00015974 84.657 0.96888 1.8516
0.3 0.00017309 83.985 0.96894 1.8516
0.4 0.00028658 80.305 0.96881 1.8594
0.5 0.0002718 80.696 0.96881 1.8594
0.6 -0.00017691 96.524 0.96881 1.8594
0.7 -0.0059719 165.33 0.96875 1.8594
0.8 -0.0064173 165.95 0.969 1.8516
0.9 -0.006371 166.73 0.96906 1.8516
1 -0.0063229 166.42 0.969 1.8516
1.1 -0.0062399 165.47 0.96888 1.8594
1.2 -0.00083876 114.51 0.969 1.8516
1.3 0.0005312 72.735 0.96906 1.8516
1.4 0.00065947 69.11 0.969 1.8516
1.5 0.00057984 71.282 0.96912 1.8438
1.6 0.00042725 76.071 0.96918 1.8438
1.7 0.00050831 73.071 0.96906 1.8516
1.8 0.0004201 76.04 0.96912 1.8516
1.9 0.00041199 76.571 0.96906 1.8594
