I1(135deg) X DEG X DEG
1.9 6.3897E-5 88.743 0.80951 1.7266
1.8 5.436E-5 88.821 0.80933 1.7266
1.7 0.0001297 87.141 0.80927 1.7266
1.6 4.8161E-5 89.055 0.80933 1.7266
1.5 0.00016546 86.532 0.80939 1.7266
1.4 0.00017595 86.157 0.80939 1.7266
1.3 9.7275E-5 87.836 0.80933 1.7188
1.2 0.00011015 87.961 0.80951 1.7266
1.1 9.1076E-5 88.094 0.80951 1.7266
1 3.3856E-5 89.29 0.80939 1.7188
0.9 -8.9646E-5 91.852 0.80939 1.7188
0.8 0.00018597 86.313 0.80933 1.7266
0.7 0.00013495 87.04 0.80945 1.7266
0.6 6.3897E-5 88.657 0.80945 1.7266
0.5 8.297E-5 88.571 0.80945 1.7266
0.4 0.00010109 87.743 0.80957 1.7266
0.3 0.00011921 87.454 0.80945 1.7188
0.2 0.00017119 86.641 0.80933 1.7188
0.1 0.00022125 85.555 0.80939 1.7188
1.110223E-16 0.00031662 83.68 0.80927 1.7188
-0.1 0.00042296 81.454 0.80927 1.7188
-0.2 0.00080872 73.719 0.80915 1.7266
-0.3 0.00098897 70.493 0.80927 1.7266
-0.4 0.0012889 65.493 0.80927 1.7266
-0.5 0.00099994 70.563 0.80927 1.7266
-0.6 -0.0079394 161.27 0.80927 1.7266
-0.7 -0.010184 165.06 0.80933 1.7266
-0.8 -0.010416 165.24 0.80933 1.7266
-0.9 -0.010369 165.45 0.80915 1.7266
-1 -0.0088473 163.13 0.80921 1.7266
-1.1 0.0010371 69.196 0.80945 1.7266
-1.2 0.00097848 70.172 0.80939 1.7266
-1.3 0.00077248 74.266 0.80933 1.7266
-1.4 0.0010252 69.368 0.80939 1.7266
-1.5 0.0012455 65.11 0.80933 1.7266
-1.6 0.001369 63.11 0.80927 1.7266
-1.7 0.0012026 65.602 0.80927 1.7266
-1.8 0.0010595 68.438 0.80927 1.7266
-1.9 0.0012536 64.938 0.80921 1.7266
-2 0.0013642 63.188 0.80933 1.7266
