I1(135deg) X DEG X DEG
-2 -0.0003376 96.969 0.80945 1.7109
-1.9 -0.00029898 96.008 0.80939 1.7109
-1.8 -0.00056935 101.78 0.80939 1.7109
-1.7 -0.00068379 104.1 0.80945 1.7109
-1.6 -0.00081826 106.2 0.80939 1.7109
-1.5 -0.00083113 106.38 0.80945 1.7109
-1.4 -0.00084639 106.68 0.80945 1.7031
-1.3 -0.0006795 103.67 0.80939 1.7031
-1.2 -0.00045777 98.743 0.80933 1.7031
-1.1 -0.00033331 96.501 0.80945 1.7031
-1 -0.00014353 93.11 0.80945 1.7031
-0.9 -9.203E-5 91.711 0.80939 1.7031
-0.8 -0.00014305 92.774 0.80957 1.7031
-0.7 -0.00023747 94.813 0.80951 1.7031
-0.6 -0.00026274 95.313 0.80945 1.7031
-0.5 -0.00032521 96.633 0.80933 1.7031
-0.4 -0.00024605 94.977 0.80945 1.7031
-0.3 -0.0005498 100.97 0.80927 1.7109
-0.2 -0.00037718 97.766 0.80933 1.7109
-0.1 -0.0001092 92.219 0.80933 1.7031
1.110223E-16 -0.00021505 94.157 0.80939 1.7109
0.1 -9.5368E-5 91.938 0.80939 1.7188
0.2 -0.00017262 93.876 0.80933 1.7188
0.3 0.00013733 86.93 0.80945 1.7188
0.4 0.00016976 86.415 0.80945 1.7266
0.5 0.00029087 83.899 0.80939 1.7266
0.6 -0.00033474 97.688 0.80939 1.7188
0.7 -0.010297 165.79 0.80939 1.7188
0.8 -0.010922 166.62 0.80927 1.7188
0.9 -0.010922 166.9 0.80933 1.7188
1 -0.010922 167.06 0.80933 1.7188
1.1 -0.010922 166.56 0.80939 1.7188
1.2 -0.0025163 131.4 0.80945 1.7188
1.3 0.00012016 87.501 0.80945 1.7188
1.4 -2.718E-5 90.649 0.80939 1.7188
1.5 -0.00027037 95.532 0.80939 1.7188
1.6 -0.00024176 94.696 0.80951 1.7188
1.7 -0.00041437 98.438 0.80939 1.7109
1.8 -0.00025129 95.415 0.80933 1.7109
1.9 -0.00038004 97.493 0.80933 1.7109
