Alpha(210mT) X DEG X DEG
270 0.00057221 58.289 0.95783 1.5703
264.98 0.00026131 74.219 0.95795 1.5703
260.11 3.0518E-5 87.633 0.95856 1.5703
255.18 -0.00025749 106.97 0.95905 1.5703
250.27 -0.0007 128.56 0.95923 1.5625
245.33 -0.0010681 140.71 0.95929 1.5625
240.37 -0.0014401 148.47 0.95923 1.5625
235.27 -0.0016384 152.27 0.95948 1.5547
230.29 -0.0021038 157.69 0.9596 1.5547
225.27 -0.0023937 160.5 0.9596 1.5625
220.35 -0.0028954 164.39 0.95923 1.5703
215.31 -0.003336 165.91 0.95911 1.5703
210.4 -0.0035629 166.81 0.95929 1.5703
205.5 -0.0040894 168.72 0.95935 1.5703
200.43 -0.0044441 169.65 0.95899 1.5703
195.44 -0.0049897 170.63 0.95935 1.5625
190.25 -0.0054989 171.91 0.95893 1.5625
185.25 -0.0059262 172.37 0.95868 1.5703
179.86 -0.0066376 173.41 0.95868 1.5703
174.8 -0.006691 173.38 0.95758 1.5703
169.87 -0.0061455 172.6 0.9571 1.5781
164.84 -0.0056153 172.03 0.95697 1.5781
159.94 -0.0052662 171.4 0.95661 1.5859
154.84 -0.0050755 170.82 0.95642 1.5781
149.99 -0.0047932 169.71 0.95606 1.5938
144.98 -0.0038967 167.77 0.956 1.5938
140.01 -0.003933 167.64 0.95636 1.5859
135.23 -0.0035153 166.17 0.95588 1.5938
130.09 -0.002964 163.56 0.95606 1.5938
124.98 -0.0027294 161.81 0.95624 1.5781
120.06 -0.0024624 160.27 0.95624 1.5781
115.31 -0.0018501 154.45 0.95618 1.5938
110.14 -0.0014 147.81 0.95636 1.5859
105.31 -0.00069046 127.6 0.95661 1.5781
100.09 -0.0003109 109.45 0.95703 1.5703
95.07 0.00011253 82.985 0.95728 1.5703
89.89 0.00055313 58.414 0.9574 1.5703
84.77 0.00068474 53.289 0.95758 1.5703
79.63 0.00029183 72.29 0.95832 1.5703
74.74 -0.00016785 100.45 0.95868 1.5625
69.79 -0.0005703 123.05 0.95862 1.5703
64.89 -0.0010033 138.31 0.95844 1.5703
59.93 -0.0012779 145.34 0.95887 1.5703
54.95 -0.0017052 152.9 0.95905 1.5703
50 -0.0023918 160.19 0.95923 1.5625
45.1 -0.0024185 160.24 0.95905 1.5703
40.09 -0.0029659 163.52 0.95923 1.5703
35.09 -0.0033016 165.59 0.95948 1.5703
30.23 -0.0035839 166.85 0.95948 1.5625
25.26 -0.004076 168.44 0.95923 1.5703
20.3 -0.0044041 169.3 0.95929 1.5703
15.37 -0.0047799 170.31 0.95911 1.5703
10.13 -0.0052281 170.95 0.95899 1.5703
5.16 -0.005827 171.99 0.95887 1.5703
-0.02 -0.0063057 172.56 0.9585 1.5781
-5.02 -0.0066033 172.55 0.95801 1.5703
-9.97 -0.0057621 171.6 0.95722 1.5859
-15.05 -0.0053711 170.77 0.95673 1.5859
-19.94 -0.0048676 169.99 0.95667 1.5781
-24.77 -0.0043717 168.52 0.95642 1.5859
-29.82 -0.0037766 167.12 0.95673 1.5781
-34.69 -0.0033837 165.49 0.95679 1.5781
-39.65 -0.0030289 163.81 0.95673 1.5781
-44.54 -0.0027447 161.9 0.95667 1.5781
-49.55 -0.0020657 156.98 0.95661 1.5703
-54.52 -0.0015888 151.16 0.95685 1.5703
-60.43 -0.001173 141.91 0.95661 1.5703
-65.36 -0.00076104 128.27 0.95581 1.5859
-70.36 -0.0003109 108.58 0.95655 1.5703
-75.42 0.00022507 76.555 0.95655 1.5703
-80.46 0.00063324 56.141 0.95661 1.5703
-85.42 0.0010815 41.844 0.9571 1.5703
-90 0.0013619 35.133 0.95722 1.5703
270 0.0016365 31.281 0.95514 1.5625
264.98 0.0013866 35.149 0.95728 1.5703
260.11 0.00091172 47.469 0.95795 1.5625
255.18 0.00062752 57.422 0.95832 1.5469
250.27 -1.7166E-5 90.711 0.95844 1.5547
245.33 -0.00026322 106.17 0.95881 1.5547
240.37 -0.0004406 115.06 0.95868 1.5625
235.27 -0.00092698 134.89 0.95887 1.5625
230.29 -0.0014458 147.35 0.95899 1.5625
225.27 -0.0019245 153.86 0.95905 1.5625
220.35 -0.0023174 157.9 0.95893 1.5625
215.31 -0.0027027 161.24 0.95862 1.5625
210.4 -0.0030117 162.6 0.95826 1.5703
205.5 -0.0031357 163.74 0.95856 1.5625
200.43 -0.0037556 166.7 0.95862 1.5547
195.44 -0.0042 167.64 0.95844 1.5547
190.25 -0.0047531 169.33 0.95826 1.5547
185.25 -0.0053215 170.29 0.95838 1.5547
179.86 -0.0059758 171.88 0.95826 1.5547
174.8 -0.0056229 171.25 0.95752 1.5469
169.87 -0.0051327 170.3 0.95697 1.5547
164.84 -0.0047531 169.27 0.95618 1.5703
159.94 -0.0044384 168.28 0.95569 1.5781
154.84 -0.0039864 167.06 0.95539 1.5781
149.99 -0.003561 165.53 0.95533 1.5703
144.98 -0.0032158 163.75 0.95539 1.5703
140.01 -0.0026818 160.78 0.9552 1.5781
135.23 -0.0024471 159.15 0.95508 1.5781
130.09 -0.0021095 155.77 0.95545 1.5703
124.98 -0.0015183 148.07 0.95539 1.5781
120.06 -0.0011826 141.2 0.95575 1.5703
115.31 -0.00088311 132.38 0.95545 1.5781
110.14 -0.00035858 110.82 0.95594 1.5703
105.31 0.00021362 76.922 0.95624 1.5625
100.09 0.00080872 50.578 0.95636 1.5469
95.07 0.0010033 45.703 0.95642 1.5547
89.89 0.0017834 29.961 0.95661 1.5547
84.77 0.0016918 30.617 0.95722 1.5469
79.63 0.0011196 41.266 0.95789 1.5469
74.74 0.00061989 58.766 0.95783 1.5469
69.79 0.00045777 66.032 0.95826 1.5391
64.89 -0.00037003 109.9 0.9582 1.5391
59.93 -0.00078011 128.94 0.95789 1.5469
54.95 -0.0011177 138.48 0.95813 1.5391
50 -0.0015869 147.87 0.95813 1.5391
45.1 -0.0017815 151.18 0.9582 1.5391
40.09 -0.0024643 157.76 0.9582 1.5391
35.09 -0.0028534 160.96 0.95832 1.5391
30.23 -0.0031948 163.71 0.95801 1.5391
25.26 -0.003439 165.11 0.95789 1.5391
20.3 -0.0037804 166.06 0.95789 1.5313
15.37 -0.0044289 167.99 0.95765 1.5391
10.13 -0.005045 169.56 0.95728 1.5469
5.16 -0.0051766 170.28 0.95697 1.5469
-0.02 -0.0058194 171.17 0.95716 1.5391
-5.02 -0.0057812 171.34 0.9563 1.5469
-9.97 -0.0052567 170.34 0.95575 1.5469
-15.05 -0.004942 169.29 0.95539 1.5469
-19.94 -0.0046559 168.59 0.95459 1.5547
-24.77 -0.0039673 166.48 0.95453 1.5469
-29.82 -0.0034599 164.84 0.95459 1.5547
-34.69 -0.003006 162.16 0.95466 1.5469
-39.65 -0.0027733 160.66 0.95459 1.5469
-44.54 -0.0021973 155.99 0.95478 1.5469
-49.55 -0.0018845 151.78 0.9549 1.5469
-54.52 -0.0014076 144.27 0.95472 1.5469
-60.43 -0.00095749 134.16 0.95478 1.5547
-65.36 -0.0003891 111.39 0.95472 1.5469
-70.36 -1.5259E-5 90.368 0.9549 1.5469
-75.42 0.00042343 67.508 0.95478 1.5469
-80.46 0.00097657 47.555 0.95539 1.5469
-85.42 0.001461 35.375 0.95527 1.5469
-90 0.0018883 28.555 0.95551 1.5469
270 0.001833 29.797 0.95551 1.5469
264.98 0.0016785 32.891 0.95588 1.5469
260.11 0.0014458 36.414 0.95612 1.5469
255.18 0.00083352 51.117 0.95642 1.5391
250.27 0.00043488 67.79 0.95655 1.5391
245.33 0.0001564 81.751 0.95661 1.5391
240.37 -0.00019455 100.01 0.95703 1.5313
235.27 -0.00076676 126.77 0.95703 1.5313
230.29 -0.0012512 141.38 0.95673 1.5391
225.27 -0.0016823 148.5 0.95667 1.5391
220.35 -0.0018101 150.41 0.95649 1.5391
215.31 -0.002182 155.36 0.95691 1.5234
210.4 -0.0025845 158.87 0.95691 1.5234
205.5 -0.0030842 162.12 0.95655 1.5313
200.43 -0.0036106 164.74 0.95661 1.5313
195.44 -0.004036 166.64 0.95618 1.5313
190.25 -0.0044098 167.63 0.95606 1.5313
185.25 -0.0048867 169.13 0.956 1.5391
179.86 -0.0057011 170.61 0.95612 1.5234
174.8 -0.0055084 170.13 0.95533 1.5391
169.87 -0.0050259 169.09 0.95466 1.5391
164.84 -0.0045109 167.82 0.95466 1.5391
159.94 -0.004057 166.49 0.95472 1.5391
154.84 -0.003645 164.33 0.95478 1.5391
149.99 -0.0033589 163.24 0.95441 1.5469
144.98 -0.0027828 159.55 0.95435 1.5469
140.01 -0.0022698 156.08 0.95466 1.5469
135.23 -0.0021668 153.75 0.95478 1.5469
130.09 -0.0016689 148 0.95502 1.5469
124.98 -0.0012741 140.59 0.95502 1.5469
120.06 -0.00065422 121.06 0.95533 1.5547
115.31 -0.0004406 112.51 0.95551 1.5469
110.14 7.8202E-5 86.547 0.95539 1.5469
105.31 0.00065232 58.5 0.95557 1.5469
100.09 0.0010414 45.664 0.95563 1.5391
95.07 0.0013428 39.024 0.95588 1.5234
89.89 0.0020332 28.828 0.95618 1.5234
84.77 0.00206 28.344 0.95661 1.5234
79.63 0.0014095 37.696 0.95716 1.5234
74.74 0.00099755 47.782 0.95703 1.5234
