Ieff(90deg) X DEG X DEG
-9.82 0.0057469 26.11 0.93164 0.062501
-9.82 0.0057192 26.492 0.93152 0.062501
-9.82 0.005847 26.375 0.93158 0.062501
-9.82 0.0058756 25.625 0.93152 0.062501
-9.82 0.0058575 25.82 0.93152 0.062501
-9.82 0.005847 26.305 0.93152 0.062501
-9.17 0.0059462 25.664 0.93152 0.054688
-9.17 0.0057946 26.211 0.93158 0.062501
-9.17 0.0057316 26.633 0.9314 0.054688
-9.17 0.0057783 25.906 0.93146 0.054688
-9.17 0.0058069 26.11 0.9314 0.046875
-9.17 0.0058298 25.875 0.9314 0.054688
-8.55 0.0060206 25.61 0.9314 0.046875
-8.55 0.0059538 25.188 0.9314 0.054688
-8.55 0.00593 25.453 0.9314 0.054688
-8.55 0.0059405 25.68 0.93128 0.046875
-8.55 0.0058985 25.563 0.9314 0.054688
-8.55 0.0058718 25.36 0.93134 0.046875
-7.93 0.0057831 26.266 0.93128 0.054688
-7.93 0.0057268 26.453 0.93134 0.046875
-7.93 0.0057497 25.899 0.93128 0.046875
-7.93 0.0056191 26.594 0.93134 0.046875
-7.93 0.005558 26.891 0.93122 0.054688
-7.93 0.0054884 27.055 0.93122 0.046875
-7.36 0.0054846 27.039 0.93122 0.046875
-7.36 0.0053072 28.36 0.93122 0.046875
-7.36 0.0051384 29.063 0.93122 0.046875
-7.36 0.0051995 28.149 0.93122 0.054688
-7.36 0.0052729 28.008 0.93122 0.046875
-7.36 0.0053254 27.922 0.93122 0.046875
-6.76 0.0053759 27.352 0.93122 0.046875
-6.76 0.005416 27.524 0.93122 0.046875
-6.76 0.005333 27.688 0.93128 0.046875
-6.76 0.0052462 28 0.93116 0.046875
-6.76 0.0052595 27.969 0.93128 0.046875
-6.76 0.005333 27.836 0.93122 0.046875
-6.2 0.0054551 27.461 0.93128 0.046875
-6.2 0.0056219 26.32 0.93128 0.046875
-6.2 0.0055895 26.68 0.9311 0.046875
-6.2 0.005704 26.039 0.93116 0.046875
-6.2 0.005745 25.914 0.9311 0.046875
-5.6 0.0059328 25.235 0.93122 0.046875
-5.6 0.0059405 25.391 0.93116 0.046875
-5.6 0.0059214 25.508 0.93116 0.046875
-5.6 0.005889 25.719 0.93128 0.046875
-5.6 0.0055609 27.274 0.93122 0.046875
-5.6 0.0055189 27.141 0.93116 0.046875
-5.07 0.0054713 27.57 0.93122 0.046875
-5.07 0.0054636 27.43 0.93128 0.046875
-5.07 0.0054951 27.75 0.93128 0.046875
-5.07 0.0055323 27.11 0.9311 0.046875
-5.07 0.0054884 27.266 0.93103 0.046875
-5.07 0.0055609 27.031 0.93122 0.039063
-4.5 0.0054865 27.539 0.93103 0.046875
-4.5 0.0054255 27.43 0.93116 0.039063
-4.5 0.0054016 27.563 0.93122 0.046875
-4.5 0.0053826 27.625 0.93103 0.03125
-4.5 0.0053273 28.063 0.9311 0.039063
-3.96 0.005251 28.024 0.93103 0.046875
-3.96 0.00527 27.797 0.93091 0.039063
-3.96 0.0052386 28.274 0.93103 0.046875
-3.96 0.0051279 28.547 0.9311 0.03125
-3.96 0.0050745 28.852 0.93116 0.039063
-3.96 0.0050783 29.11 0.93103 0.039063
-3.4 0.0051661 28.68 0.93103 0.039063
-3.4 0.0051508 28.985 0.93116 0.039063
-3.4 0.0051766 28.672 0.93103 0.039063
-3.4 0.0052176 28.742 0.93103 0.039063
-3.4 0.0050612 28.992 0.93085 0.03125
-2.86 0.0050555 29.258 0.93103 0.039063
-2.86 0.0051318 29.055 0.93091 0.03125
-2.86 0.005065 29.445 0.93091 0.03125
-2.86 0.0050059 29.367 0.93085 0.039063
-2.86 0.0048151 30.945 0.93091 0.03125
-2.86 0.0048218 30.625 0.93103 0.023438
-2.29 0.004942 30.07 0.93091 0.023438
-2.29 0.0048914 30.203 0.93085 0.03125
-2.29 0.0049277 30.063 0.93091 0.03125
-2.29 0.0049057 30.07 0.93097 0.023438
-2.02 0.0048895 30.274 0.93091 0.023438
-2.02 0.0048733 30.57 0.93085 0.023438
-2.02 0.0047751 30.688 0.93061 0.03125
-1.74 0.004941 29.86 0.93085 0.03125
-1.74 0.004879 30.141 0.93073 0.023438
-1.47 0.0049801 29.883 0.93073 0.023438
-1.47 0.0049677 29.797 0.93079 0.023438
-1.47 0.0048209 30.711 0.93079 0.023438
-1.2 0.0048542 30.539 0.93061 0.023438
-1.2 0.0048037 30.774 0.93079 0.023438
-1.2 0.0047751 30.742 0.93079 0.023438
-0.93 0.0047474 30.922 0.93073 0.023438
-0.93 0.0045672 31.735 0.93055 0.023438
-0.93 0.0043755 33.063 0.93067 0.023438
-0.66 0.0043764 32.891 0.93049 0.023438
-0.66 0.0043993 33.25 0.93049 0.015625
-0.52 0.0043955 32.867 0.93061 0.015625
-0.4 0.0043164 33.407 0.93061 0.023438
-0.25 0.0044394 32.719 0.93049 0.0078126
-0.25 0.0044012 33.985 0.93067 0.015625
-0.07 0.0044451 33.258 0.93055 0.015625
-0.02 0.0044213 33.25 0.93055 0.015625
0.12 0.0043211 33.547 0.93042 0.023438
0.2 0.0043164 34.196 0.93036 0.015625
0.28 0.0041485 34.774 0.93055 0.015625
0.43 0.0040007 36.211 0.93036 0.015625
0.52 0.0038758 37.36 0.93024 0.015625
0.6 0.0038691 37.055 0.93049 0.023438
0.72 0.0038052 37.266 0.93042 0.015625
0.81 0.0038338 37.094 0.93055 0.0078126
0.89 0.0036679 38.953 0.93042 0.015625
1 0.0034838 39.688 0.93049 0.015625
1.12 -0.0012732 113.1 0.93055 0.0078126
1.22 -0.0012608 112.77 0.93042 0.015625
1.32 -0.0012941 113.25 0.93061 0.0078126
