I2(45deg) X DEG X DEG
9.9 4.9591E-5 89.235 0.92987 0.093751
9.8 -2.0027E-5 90.321 0.92981 0.085938
9.7 -5.7221E-6 90.063 0.92969 0.085938
9.6 3.8147E-6 89.883 0.92981 0.085938
9.5 0.00016689 87.321 0.92969 0.093751
9.4 0.00024891 86.001 0.92981 0.093751
9.3 0.00028324 85.43 0.92981 0.093751
9.2 0.0003233 84.711 0.92981 0.093751
9.1 0.00036907 84.133 0.92975 0.085938
9 0.00043202 83.141 0.92993 0.093751
8.9 0.00043679 83.001 0.92987 0.085938
8.8 0.00035858 84.219 0.92987 0.093751
8.7 0.00038147 83.961 0.92981 0.085938
8.6 0.00035572 84.243 0.92969 0.093751
8.5 0.00031758 84.915 0.92975 0.085938
8.4 0.00024033 86.141 0.92987 0.093751
8.3 0.00026894 85.735 0.92975 0.093751
8.2 0.00027466 85.54 0.92975 0.093751
8.1 0.00035286 84.469 0.92993 0.093751
8 0.00026512 85.766 0.92981 0.093751
7.9 0.00035095 84.243 0.92981 0.093751
7.8 0.0003891 83.719 0.92981 0.093751
7.7 0.00034714 84.524 0.92975 0.085938
7.6 0.00042153 83.251 0.92987 0.093751
7.5 0.00038052 83.782 0.92981 0.093751
7.4 0.00049305 81.985 0.92975 0.093751
7.3 0.00052643 81.555 0.92981 0.093751
7.2 0.00051976 81.579 0.92987 0.093751
7.1 0.0005312 81.297 0.92975 0.093751
7 0.00063992 79.797 0.92975 0.093751
6.9 0.00065708 79.508 0.92987 0.093751
6.8 0.00068188 78.969 0.92987 0.093751
6.7 0.00076962 77.696 0.93 0.10156
6.6 0.00071717 78.641 0.93 0.10156
6.5 0.00073243 78.376 0.93 0.10156
6.4 0.00073052 78.282 0.92993 0.10156
6.3 0.00077725 77.696 0.92993 0.10156
6.2 0.00076962 77.766 0.93 0.10156
6.1 0.00086403 76.251 0.92987 0.10156
6 0.00088406 76.001 0.93 0.10938
5.9 0.00092602 75.422 0.93 0.10156
5.8 0.00092984 75.196 0.93 0.10938
5.7 0.00095654 74.751 0.93 0.10156
5.6 0.00098039 74.594 0.93006 0.10938
5.5 0.0010786 73.016 0.92993 0.10156
5.4 0.0011673 71.665 0.93 0.10938
5.3 0.0013332 69.368 0.93006 0.10938
5.2 0.0014257 67.883 0.93012 0.10938
5.1 0.0014677 67.641 0.93018 0.10938
5 0.0013924 68.399 0.93 0.10938
4.9 0.0013943 68.266 0.93 0.10938
4.8 0.0015011 67.016 0.93 0.10938
4.7 0.0015144 66.805 0.92981 0.11719
4.6 0.0016213 65.126 0.93 0.10938
4.5 0.0016985 64.485 0.93006 0.10938
4.4 0.0017958 63.047 0.93006 0.10938
4.3 0.0018024 62.899 0.93012 0.10938
4.2 0.0018559 62.133 0.93006 0.11719
4.1 0.0019617 60.547 0.93006 0.11719
4 0.0019531 60.328 0.93012 0.10938
3.9 0.0019655 60.477 0.93006 0.11719
3.8 0.0021353 58.594 0.93012 0.10938
3.7 0.0022059 57.789 0.93012 0.11719
3.6 0.0022946 56.164 0.93006 0.10938
3.5 0.0023375 56.157 0.93012 0.11719
3.4 0.0023689 55.617 0.93006 0.10938
3.3 0.00241 54.883 0.93006 0.125
3.2 0.0024624 54.508 0.93 0.10938
3.1 0.0025673 53.563 0.93006 0.11719
3 0.0026045 52.953 0.93012 0.11719
2.9 0.0025644 53.391 0.93006 0.125
2.8 0.0026417 52.407 0.93006 0.125
2.7 0.0027113 51.844 0.93012 0.125
2.6 0.0027695 51.094 0.93012 0.125
2.5 0.0027504 51.43 0.93012 0.125
2.4 0.0028277 50.875 0.93012 0.125
2.3 0.0028591 50.422 0.93018 0.125
2.2 0.0028315 50.625 0.93012 0.125
2.1 0.0029411 49.407 0.93018 0.125
2 0.0030432 48.203 0.93018 0.125
1.9 0.003068 48.383 0.9303 0.125
1.8 0.0031328 47.625 0.93024 0.125
1.7 0.0031929 47.196 0.9303 0.125
1.6 0.0032625 46.328 0.93018 0.125
1.5 0.0031958 47.071 0.93036 0.125
1.4 0.0032797 46.43 0.93042 0.125
1.3 0.0033512 45.68 0.9303 0.125
1.2 0.0033608 45.508 0.93036 0.13281
1.1 0.0034504 44.289 0.93018 0.125
1 0.0034991 44.086 0.93036 0.125
0.9 0.0036345 43.133 0.93036 0.13281
0.8 0.0037108 42.532 0.93024 0.125
0.7 0.0038624 41.352 0.93024 0.13281
0.6 0.0039931 40.399 0.93036 0.125
0.5 0.0041571 39.172 0.93036 0.13281
0.4 0.0043049 38.242 0.93042 0.125
0.3 0.0044432 37.102 0.93036 0.13281
0.2 0.0045319 36.641 0.9303 0.13281
0.1 0.0046721 35.68 0.93024 0.13281
5.5511151E-16 0.0047407 35.157 0.93036 0.125
-0.1 0.0048523 34.516 0.9303 0.13281
-0.2 0.0048504 34.977 0.93036 0.13281
-0.3 0.0049677 33.922 0.93042 0.13281
-0.4 0.0049944 33.797 0.93042 0.13281
-0.5 0.0050907 33.422 0.93055 0.13281
-0.6 0.0050431 33.586 0.93024 0.14063
-0.7 0.0051985 32.516 0.93036 0.13281
-0.8 0.005312 32.039 0.93024 0.125
-0.9 0.0054684 31.258 0.93036 0.13281
-1 0.0055991 30.719 0.93042 0.13281
-1.1 0.0053406 31.625 0.93024 0.13281
-1.2 0.0053263 31.695 0.9303 0.14063
-1.3 0.0053377 31.961 0.9303 0.14844
-1.4 0.0052386 32.141 0.93018 0.14063
-1.5 0.0052357 32.235 0.93024 0.13281
-1.6 0.0052519 32.516 0.93036 0.13281
-1.7 0.0050259 33.094 0.93012 0.13281
-1.8 0.0051518 32.289 0.93024 0.13281
-1.9 0.0051766 32.532 0.93024 0.13281
-2 0.0052119 32.016 0.93012 0.13281
-2.1 0.0053292 31.289 0.93012 0.13281
-2.2 0.005332 31.492 0.93018 0.13281
-2.3 0.005353 31.211 0.93006 0.125
