Ieff(90deg) X DEG X DEG
9.76 7.7248E-5 88.766 0.93091 0.023438
9.76 0.00010967 88.235 0.93085 0.03125
9.14 0.00012112 88.055 0.93097 0.039063
8.49 0.00012493 88.008 0.93085 0.039063
7.9 8.8692E-5 88.563 0.93091 0.03125
7.3 0.00022125 86.368 0.93073 0.039063
6.74 0.00044728 82.922 0.93079 0.03125
6.74 0.00052548 81.735 0.93079 0.039063
6.14 0.00062371 80.165 0.93085 0.039063
5.49 0.00073529 78.493 0.93085 0.03125
5.04 0.00085926 76.688 0.93079 0.039063
4.64 0.00091553 75.688 0.93085 0.039063
3.93 0.00094128 75.383 0.93079 0.039063
3.93 0.00078106 77.86 0.93061 0.046875
3.06 0.00083447 77.172 0.93073 0.046875
2.25 0.00077439 77.719 0.93055 0.039063
1.9 0.00088978 76.071 0.93055 0.046875
1.7 0.00090123 76.008 0.93055 0.046875
1.01 0.0010557 73.446 0.93049 0.046875
0.51 0.001174 71.696 0.93055 0.046875
0 0.0013094 70.032 0.93036 0.046875
-0.49 0.0015278 67.071 0.93036 0.046875
-0.99 0.0013113 70.008 0.93036 0.046875
-1.47 -0.0035801 134.31 0.93049 0.046875
-2.04 -0.0034924 133.34 0.93049 0.039063
-2.57 -0.0033827 132.81 0.93067 0.046875
-2.86 -0.0031052 130.31 0.93061 0.046875
-3.68 -0.0022707 122.07 0.93055 0.046875
-4.24 -0.0014391 111.32 0.93073 0.046875
-4.24 -0.0013247 110.2 0.93073 0.046875
-4.78 -0.00045491 96.985 0.93085 0.046875
-5.32 0.00030709 85.118 0.93079 0.046875
-5.88 0.00043106 83.211 0.93085 0.046875
-6.48 0.00069046 78.899 0.93079 0.046875
-7.07 0.00043869 83.133 0.93079 0.046875
-7.64 0.00038624 83.876 0.93073 0.046875
-8.23 0.00051308 81.836 0.93091 0.046875
-8.23 0.00059223 80.626 0.93091 0.054688
-8.86 0.00064373 79.93 0.93085 0.046875
-9.48 0.00054264 81.532 0.93091 0.054688
-10.13 0.00047589 82.415 0.93085 0.046875
