Ieff(90deg) X DEG X DEG
-9.82 0.00013733 87.672 0.93036 0
-9.82 0.00028515 85.258 0.93055 0
-9.17 0.00037003 83.883 0.93049 0
-8.55 0.00054932 81.047 0.93042 -0.0078126
-7.93 0.00048638 82.047 0.93055 0
-7.36 0.00047112 82.188 0.93042 0
-6.76 0.00063706 79.641 0.93042 0
-6.76 0.00063324 79.743 0.93042 -0.0078126
-6.2 0.00078297 77.336 0.93042 0
-5.6 0.00069428 78.774 0.93049 0
-5.07 0.00071717 78.422 0.93036 0
-4.5 0.000597 80.297 0.93042 0
-3.96 0.00068093 78.946 0.93024 0
-3.4 0.0008173 76.954 0.93018 0
-2.86 0.00095082 74.672 0.93024 0
-2.29 0.0011873 71.016 0.93018 0
-2.02 0.0012379 70.719 0.93024 -0.0078126
-1.47 0.0012789 69.766 0.93012 0
-0.93 0.0013304 69.18 0.93 0
-0.52 0.0012322 70.735 0.93012 0
-0.02 0.0012722 70.126 0.92993 0
0.52 0.0010529 73.235 0.93 0.0078126
1 0.00091458 75.243 0.93006 0.0078126
1.49 -0.0042067 139.74 0.93018 0.0078126
2.01 -0.003995 138.11 0.93024 0
2.56 -0.0039654 137.92 0.93055 0.0078126
2.97 -0.0037966 136.56 0.93036 0
3.68 -0.0025768 125.89 0.93049 0
4.22 -0.0010691 107.04 0.93042 0.0078126
4.78 -0.00040722 96.508 0.93055 -0.0078126
4.78 -0.0005455 98.836 0.93042 0
5.32 -0.00032997 95.29 0.93061 0
5.86 -0.00039673 96.501 0.93061 0.0078126
6.45 -0.00036621 95.922 0.93061 0
7.07 -0.00041676 96.696 0.93073 0.0078126
7.61 -0.00048828 97.766 0.93055 0
8.21 -0.00079823 102.79 0.93067 0
8.21 -0.00078011 102.24 0.93073 0.0078126
8.83 -0.00066185 100.38 0.93085 0
9.45 -0.00088406 103.84 0.93073 0
10.1 -0.0010881 106.7 0.93085 0.0078126
