I1(135deg) X DEG X DEG
-10 -0.00017548 93.719 0.93238 0.03125
-9.9 -5.0545E-5 90.915 0.93238 0.039063
-9.8 -0.00012016 92.649 0.93238 0.023438
-9.7 -8.4878E-5 91.805 0.93226 0.03125
-9.6 -8.8692E-5 91.805 0.93219 0.023438
-9.5 -8.0109E-5 91.766 0.93207 0.023438
-9.4 -0.000103 92.235 0.93201 0.023438
-9.3 -0.00020027 94.227 0.93164 0.03125
-9.2 -0.00015926 93.446 0.93207 0.03125
-9.1 -0.00023937 95.024 0.93189 0.023438
-9 -0.00022793 94.985 0.93183 0.023438
-8.9 -0.00026226 95.415 0.93189 0.023438
-8.8 -0.00030422 96.368 0.93183 0.023438
-8.7 -0.00044537 99.172 0.93183 0.015625
-8.6 -0.00049687 100.45 0.93164 0.023438
-8.5 -0.00044537 99.376 0.93164 0.015625
-8.4 -0.00039673 98.344 0.93158 0.0078126
-8.3 -0.00038815 98.329 0.93183 0.015625
-8.2 -0.00045681 99.446 0.93171 0.0078126
-8.1 -0.00076294 105.67 0.93171 0.0078126
-8 -0.00087357 108.2 0.93158 0
-7.9 -0.00099374 110.38 0.93164 0.0078126
-7.8 -0.0011482 112.54 0.93152 0
-7.7 -0.0013561 116.26 0.93152 0
-7.6 -0.0013743 116.64 0.9314 0
-7.5 -0.001277 115.09 0.93146 0
-7.4 -0.0013189 115.59 0.93128 0
-7.3 -0.0013142 115.84 0.93146 0
-7.2 -0.0013294 115.82 0.9314 0
-7.1 -0.0013771 116.67 0.93146 0
-7 -0.0014649 117.42 0.93146 0
-6.9 -0.001708 121.71 0.93122 0
-6.8 -0.0019741 125.46 0.9314 0
-6.7 -0.0020952 126.44 0.93128 -0.015625
-6.6 -0.0022011 128.2 0.93128 0
-6.5 -0.0022221 128.91 0.93116 -0.0078126
-6.4 -0.002223 128.33 0.93122 -0.0078126
-6.3 -0.0023289 129.85 0.93116 -0.015625
-6.2 -0.0024166 130.86 0.93122 -0.015625
-6.1 -0.0025292 132.39 0.9311 -0.0078126
-6 -0.0025063 131.52 0.93122 -0.015625
-5.9 -0.0026426 133.41 0.9311 -0.0078126
-5.8 -0.0026808 133.84 0.93116 -0.015625
-5.7 -0.0026941 134.08 0.93103 -0.015625
-5.6 -0.0026054 132.81 0.93116 -0.015625
-5.5 -0.0026121 133.17 0.9311 -0.015625
-5.4 -0.0026989 134.22 0.93097 -0.023438
-5.3 -0.0025559 132.05 0.93103 -0.015625
-5.2 -0.0028477 135.63 0.93097 -0.023438
-5.1 -0.002985 136.58 0.9311 -0.023438
-5 -0.0030756 138.08 0.93091 -0.023438
-4.9 -0.0031119 137.32 0.93091 -0.023438
-4.8 -0.003233 139.09 0.93085 -0.03125
-4.7 -0.0032082 139.07 0.93085 -0.015625
-4.6 -0.0032683 139.15 0.93085 -0.023438
-4.5 -0.0033741 139.99 0.93085 -0.03125
-4.4 -0.0035019 140.96 0.93091 -0.023438
-4.3 -0.0035648 141.31 0.93097 -0.03125
-4.2 -0.003624 142.24 0.93073 -0.03125
-4.1 -0.0038462 143.77 0.93091 -0.03125
-4 -0.0039015 143.72 0.93073 -0.03125
-3.9 -0.0039454 143.76 0.93079 -0.03125
-3.8 -0.0040827 144.96 0.93073 -0.03125
-3.7 -0.0042668 146.9 0.93079 -0.03125
-3.6 -0.0044604 147.56 0.93073 -0.03125
-3.5 -0.0043888 147.06 0.93079 -0.03125
-3.4 -0.0043955 147 0.93091 -0.03125
-3.3 -0.0045014 147.75 0.93079 -0.03125
-3.2 -0.0046063 148.43 0.93073 -0.03125
-3.1 -0.0046015 148 0.93085 -0.03125
-3 -0.0047207 149.32 0.93091 -0.03125
-2.9 -0.0048228 149.71 0.93079 -0.039063
-2.8 -0.0048971 150.01 0.93073 -0.03125
-2.7 -0.004942 149.77 0.93073 -0.03125
-2.6 -0.0049324 150.45 0.93055 -0.046875
-2.5 -0.0049572 150.02 0.93079 -0.03125
-2.4 -0.0052557 151.27 0.93073 -0.03125
-2.3 -0.0053301 151.38 0.93085 -0.03125
-2.2 -0.0055189 152.66 0.93079 -0.03125
-2.1 -0.0055266 152.66 0.93067 -0.03125
-2 -0.0055065 152.33 0.93079 -0.03125
-1.9 -0.0056095 152.82 0.93079 -0.03125
-1.8 -0.0057145 153.59 0.93079 -0.03125
-1.7 -0.0059691 154.43 0.93073 -0.03125
-1.6 -0.0060959 154.62 0.93067 -0.03125
-1.5 -0.0061055 155.05 0.93067 -0.03125
-1.4 -0.0060101 154.66 0.93073 -0.03125
-1.3 -0.0059147 153.65 0.93067 -0.039063
-1.2 -0.0059605 154.16 0.93061 -0.03125
-1.1 -0.0061398 154.99 0.93067 -0.03125
-1 -0.0061913 154.6 0.93073 -0.039063
-0.9 -0.006299 154.52 0.93085 -0.039063
-0.8 -0.0062275 155.06 0.93073 -0.039063
-0.7 -0.0061646 154.82 0.93085 -0.03125
-0.6 -0.0062113 155.11 0.93073 -0.039063
-0.5 -0.0062285 154.82 0.93085 -0.039063
-0.4 -0.0062065 155.05 0.93079 -0.046875
-0.3 -0.006259 154.97 0.93073 -0.046875
-0.2 -0.0063506 155.25 0.93073 -0.046875
-0.1 -0.0064202 155.02 0.93085 -0.046875
5.5511151E-16 -0.0064993 156.04 0.93085 -0.039063
0.1 -0.0066071 155.9 0.93079 -0.046875
0.2 -0.0065537 155.91 0.93067 -0.046875
0.3 -0.006527 156.13 0.93061 -0.039063
0.4 -0.0064774 155.65 0.93079 -0.046875
0.5 -0.0065727 155.81 0.93067 -0.046875
0.6 -0.0065394 155.31 0.93061 -0.039063
0.7 -0.0070725 157.38 0.93055 -0.046875
0.8 -0.012776 166.52 0.93042 -0.054688
0.9 -0.013234 167.06 0.93049 -0.046875
1 -0.013352 167.37 0.93042 -0.046875
1.1 -0.013355 167.22 0.93055 -0.054688
1.2 -0.013041 166.84 0.93049 -0.046875
1.3 -0.0067969 156.52 0.93049 -0.039063
1.4 -0.0067416 156.39 0.93042 -0.054688
1.5 -0.0066367 155.82 0.93061 -0.054688
1.6 -0.0066939 156.17 0.93042 -0.054688
1.7 -0.0067835 156.36 0.9303 -0.054688
1.8 -0.0068789 156.1 0.93012 -0.054688
1.9 -0.0067559 156 0.93018 -0.054688
2 -0.0067788 155.91 0.93036 -0.054688
2.1 -0.0067692 156.41 0.93042 -0.054688
2.2 -0.00665 155.53 0.93042 -0.054688
2.3 -0.006608 155.01 0.93036 -0.054688
2.4 -0.0065594 155.44 0.93024 -0.054688
2.5 -0.006341 154.84 0.93024 -0.054688
2.6 -0.0063963 154.7 0.93018 -0.054688
2.7 -0.0065937 155.41 0.93012 -0.054688
2.8 -0.0066862 156.02 0.92993 -0.054688
2.9 -0.0064593 155.09 0.93024 -0.054688
3 -0.0064707 154.78 0.93024 -0.054688
3.1 -0.0066214 155.33 0.93024 -0.054688
3.2 -0.006814 155.82 0.93024 -0.054688
3.3 -0.0069361 156.31 0.93024 -0.054688
3.4 -0.0069495 155.98 0.93024 -0.054688
3.5 -0.0069561 156.36 0.93018 -0.054688
3.6 -0.0070515 156.59 0.9303 -0.054688
3.7 -0.0070887 156.35 0.9303 -0.046875
3.8 -0.0071287 156.61 0.93036 -0.054688
3.9 -0.0073118 157.09 0.93042 -0.054688
4 -0.0075045 157.47 0.93024 -0.054688
4.1 -0.0077553 158.04 0.93018 -0.046875
4.2 -0.0078946 158.17 0.9303 -0.046875
4.3 -0.0078488 158.7 0.93024 -0.046875
4.4 -0.0078135 158.53 0.93018 -0.054688
4.5 -0.0078097 158.08 0.9303 -0.054688
4.6 -0.0077601 158.38 0.9303 -0.054688
4.7 -0.0078173 158.32 0.93036 -0.054688
4.8 -0.0078736 158.48 0.93018 -0.046875
4.9 -0.0077267 158.25 0.93042 -0.046875
5 -0.0077553 158.01 0.93036 -0.054688
5.1 -0.0077525 157.81 0.93049 -0.054688
5.2 -0.0077992 158.38 0.93018 -0.054688
5.3 -0.0077505 158.4 0.93018 -0.054688
5.4 -0.0079165 158.68 0.9303 -0.054688
5.5 -0.007967 158.86 0.93036 -0.054688
5.6 -0.007886 158.44 0.93049 -0.054688
5.7 -0.0078574 158.53 0.93024 -0.046875
5.8 -0.007844 158.51 0.93018 -0.054688
5.9 -0.0079022 158.53 0.93006 -0.054688
6 -0.007762 158.28 0.93006 -0.054688
6.1 -0.0078297 158.39 0.93 -0.054688
6.2 -0.0077334 158.36 0.93006 -0.046875
6.3 -0.0078498 158.31 0.93 -0.054688
6.4 -0.007638 157.57 0.93 -0.054688
6.5 -0.0076933 157.76 0.93012 -0.054688
6.6 -0.0077353 157.79 0.93 -0.054688
6.7 -0.0078526 158.32 0.93012 -0.054688
6.8 -0.0080119 158.67 0.93036 -0.046875
6.9 -0.0080453 158.48 0.93024 -0.054688
7 -0.0079489 158.57 0.93018 -0.054688
7.1 -0.0079165 158.35 0.93018 -0.054688
7.2 -0.0078707 158.16 0.9303 -0.054688
7.3 -0.0077811 158.3 0.93006 -0.054688
7.4 -0.0077477 158.14 0.93012 -0.054688
7.5 -0.007824 158.34 0.93012 -0.054688
7.6 -0.0078736 158.38 0.93 -0.054688
7.7 -0.0078612 158.25 0.93012 -0.054688
7.8 -0.0078173 158.22 0.93012 -0.046875
7.9 -0.0077076 158.01 0.93018 -0.054688
8 -0.0075531 157.4 0.93018 -0.054688
8.1 -0.0075903 157.66 0.93018 -0.054688
8.2 -0.0076828 157.85 0.93012 -0.054688
8.3 -0.0076952 157.8 0.93012 -0.054688
8.4 -0.0078345 158.16 0.93 -0.062501
8.5 -0.0077868 158.25 0.93012 -0.054688
8.6 -0.0078831 158.2 0.92987 -0.054688
8.7 -0.0079632 158.44 0.92981 -0.054688
8.8 -0.0078793 158.07 0.92993 -0.054688
8.9 -0.0078555 158.11 0.93 -0.054688
9 -0.0079241 158.12 0.92987 -0.054688
9.1 -0.0079632 158.34 0.93 -0.054688
9.2 -0.007989 158.73 0.93 -0.054688
9.3 -0.0079261 158.63 0.93 -0.054688
9.4 -0.0080901 158.81 0.93006 -0.054688
9.5 -0.0080004 158.63 0.93018 -0.054688
9.6 -0.0079747 158.66 0.93018 -0.054688
9.7 -0.0079041 158.38 0.93024 -0.046875
9.8 -0.0079156 158.22 0.93018 -0.054688
9.9 -0.0079957 158.77 0.93018 -0.054688
