I1(135deg) X DEG X DEG
-10 -5.7221E-5 90.821 0.93146 0.023438
-9.9 -0.00019074 92.985 0.93128 0.03125
-9.8 8.7738E-5 88.586 0.93103 0.039063
-9.7 2.5749E-5 89.524 0.9314 0.023438
-9.6 -3.4332E-5 90.524 0.9314 0.03125
-9.5 -9.3461E-5 91.454 0.93116 0.023438
-9.4 -6.6758E-6 90.079 0.93134 0.03125
-9.3 -6.0082E-5 90.915 0.9314 0.023438
-9.2 0 89.993 0.93158 0.023438
-9.1 0.00012589 88.063 0.93134 0.023438
-9 0.0002451 86.118 0.93152 0.03125
-8.9 0.00027561 85.688 0.9314 0.03125
-8.8 0.00034714 84.61 0.93122 0.03125
-8.7 0.00033665 84.805 0.93128 0.039063
-8.6 0.00045967 82.766 0.93128 0.03125
-8.5 0.00045014 83.016 0.93146 0.046875
-8.4 0.00061608 80.508 0.93128 0.039063
-8.3 0.0006466 80.047 0.93122 0.039063
-8.2 0.00065518 79.805 0.93128 0.039063
-8.1 0.00056649 81.336 0.93128 0.046875
-8 0.00070286 79.282 0.9314 0.046875
-7.9 0.00068188 79.54 0.9314 0.046875
-7.8 0.00063706 80.079 0.93134 0.046875
-7.7 0.00058747 81.079 0.9314 0.046875
-7.6 0.00047112 82.751 0.93134 0.046875
-7.5 0.00049496 82.258 0.9314 0.046875
-7.4 0.00054932 81.555 0.93128 0.046875
-7.3 0.0007124 78.915 0.93128 0.046875
-7.2 0.00083924 76.977 0.93152 0.039063
-7.1 0.00073052 78.821 0.9314 0.046875
-7 0.00066185 79.805 0.93152 0.046875
-6.9 0.0006733 79.696 0.93152 0.046875
-6.8 0.00069714 79.118 0.93152 0.046875
-6.7 0.00070858 79.126 0.93158 0.046875
-6.6 0.00077248 78.04 0.93152 0.046875
-6.5 0.00065708 79.79 0.93146 0.046875
-6.4 0.00067902 79.485 0.93152 0.046875
-6.3 0.00078011 78.102 0.93146 0.046875
-6.2 0.00086594 76.797 0.93158 0.054688
-6.1 0.0008545 76.915 0.93158 0.046875
-6 0.0008173 77.516 0.93128 0.046875
-5.9 0.00090313 76.18 0.93146 0.054688
-5.8 0.0010443 74.29 0.93158 0.046875
-5.7 0.0010023 74.774 0.93152 0.054688
-5.6 0.0011606 72.501 0.9314 0.046875
-5.5 0.0012198 71.626 0.93146 0.054688
-5.4 0.0012159 71.688 0.93152 0.046875
-5.3 0.0013371 70.047 0.93146 0.046875
-5.2 0.0013323 70.305 0.93152 0.054688
-5.1 0.0014343 68.446 0.9314 0.054688
-5 0.0014506 68.391 0.93152 0.054688
-4.9 0.0015736 66.665 0.93152 0.054688
-4.8 0.0015812 66.516 0.9314 0.062501
-4.7 0.0015144 67.633 0.93152 0.054688
-4.6 0.0015898 66.696 0.93152 0.054688
-4.5 0.0017271 64.883 0.93146 0.062501
-4.4 0.0018101 63.649 0.93158 0.070313
-4.3 0.0018749 63.125 0.93152 0.070313
-4.2 0.0019169 62.571 0.93146 0.070313
-4.1 0.0019512 62.157 0.93164 0.062501
-4 0.0019636 61.758 0.93152 0.062501
-3.9 0.0019045 62.446 0.93158 0.070313
-3.8 0.0020218 60.922 0.93158 0.070313
-3.7 0.0018625 62.891 0.93146 0.070313
-3.6 0.0017319 64.946 0.93158 0.070313
-3.5 0.0017376 64.633 0.93152 0.070313
-3.4 0.0017424 64.688 0.93158 0.070313
-3.3 0.0017042 64.977 0.93152 0.070313
-3.2 0.0017786 64.126 0.93152 0.070313
-3.1 0.0018473 63.375 0.93158 0.070313
-3 0.0019341 61.867 0.93158 0.070313
-2.9 0.0019379 61.875 0.93152 0.070313
-2.8 0.0019064 62.508 0.93146 0.070313
-2.7 0.0018892 62.703 0.93158 0.070313
-2.6 0.0018711 62.633 0.93152 0.070313
-2.5 0.0019846 61.383 0.93158 0.070313
-2.4 0.0019512 62.008 0.9314 0.062501
-2.3 0.0020886 60.282 0.93164 0.070313
-2.2 0.0020981 59.805 0.93146 0.070313
-2.1 0.0020933 60.039 0.93158 0.070313
-2 0.0021153 60.492 0.93152 0.070313
-1.9 0.0019713 61.352 0.93134 0.070313
-1.8 0.0019884 61.571 0.9314 0.070313
-1.7 0.001915 62.407 0.9314 0.062501
-1.6 0.0018911 62.235 0.9314 0.070313
-1.5 0.0019817 61.305 0.93164 0.078126
-1.4 0.0019169 62.422 0.93146 0.062501
-1.3 0.0019551 61.688 0.93152 0.070313
-1.2 0.0019913 61.282 0.93146 0.070313
-1.1 0.0019779 61.469 0.93158 0.070313
-1 0.0019226 62.367 0.93158 0.070313
-0.9 0.0019283 62.016 0.93152 0.070313
-0.8 0.0020237 60.789 0.93146 0.070313
-0.7 0.0020638 60.164 0.9314 0.070313
-0.6 0.0020991 59.828 0.93158 0.070313
-0.5 0.0020561 60.516 0.93152 0.070313
-0.4 0.0020332 60.61 0.93158 0.070313
-0.3 0.0020409 60.735 0.93171 0.070313
-0.2 0.0021162 59.735 0.93152 0.070313
-0.1 0.0021515 58.985 0.93152 0.070313
5.5511151E-16 0.0022154 58.36 0.93152 0.070313
0.1 0.0021877 58.813 0.93164 0.070313
0.2 0.0023098 57.289 0.93158 0.070313
0.3 0.0023232 57.016 0.93164 0.070313
0.4 0.0024138 56.578 0.93158 0.070313
0.5 0.0024052 56.5 0.93146 0.070313
0.6 0.0022078 58.438 0.93164 0.070313
0.7 0.0018845 62.696 0.93164 0.070313
0.8 -0.0036974 134.9 0.93164 0.070313
0.9 -0.0040846 138.08 0.93146 0.070313
1 -0.0040779 137.67 0.93152 0.070313
1.1 -0.0040655 137.53 0.9314 0.070313
1.2 -0.0038271 135.67 0.93146 0.070313
1.3 0.0023232 57.641 0.93158 0.070313
1.4 0.0024462 55.914 0.93146 0.070313
1.5 0.0024233 56.344 0.93158 0.070313
1.6 0.0023232 57.492 0.93158 0.070313
1.7 0.0025005 55.688 0.93152 0.070313
1.8 0.0025578 55.047 0.93158 0.070313
1.9 0.0025854 54.524 0.93158 0.070313
2 0.0025797 54.407 0.93152 0.070313
2.1 0.0025997 54.508 0.93164 0.070313
2.2 0.0027866 52.157 0.93152 0.070313
2.3 0.0028248 51.953 0.93158 0.070313
2.4 0.0028782 51.149 0.93152 0.070313
2.5 0.0029507 50.703 0.93152 0.070313
2.6 0.0030279 50.203 0.93177 0.070313
2.7 0.0028687 51.555 0.93158 0.070313
2.8 0.0029516 50.532 0.93152 0.070313
2.9 0.0028877 51.524 0.93158 0.070313
3 0.0028219 51.844 0.93158 0.070313
3.1 0.0029106 51.172 0.93164 0.070313
3.2 0.0029173 51.328 0.93158 0.070313
3.3 0.0029173 50.883 0.93158 0.070313
3.4 0.0029097 50.703 0.93164 0.070313
3.5 0.0027657 53.11 0.93171 0.070313
3.6 0.002841 51.657 0.93164 0.070313
3.7 0.0028982 51.242 0.93158 0.070313
3.8 0.0029364 50.977 0.93158 0.070313
3.9 0.002985 50.289 0.93164 0.070313
4 0.0030289 50.086 0.93158 0.070313
4.1 0.0029993 50.133 0.93152 0.070313
4.2 0.0030165 50.336 0.93164 0.070313
4.3 0.002882 51.453 0.93152 0.070313
4.4 0.002883 51.5 0.93164 0.070313
4.5 0.002861 51.203 0.93152 0.070313
4.6 0.0027437 52.602 0.93158 0.070313
4.7 0.0027533 52.149 0.93158 0.070313
4.8 0.002635 53.657 0.9314 0.070313
4.9 0.0027838 52.203 0.93158 0.070313
5 0.0027542 52.414 0.93152 0.070313
5.1 0.0028439 51.039 0.93152 0.078126
5.2 0.0030117 50.149 0.93177 0.085938
5.3 0.0029945 49.852 0.93152 0.070313
5.4 0.0030012 50.086 0.93171 0.078126
