Ieff(0deg) X DEG X DEG
2.72 -3.4332E-5 101.09 0.92102 -0.10938
2.64 7.5341E-5 70.141 0.92212 -0.078126
2.49 -0.00016499 147.8 0.9206 -0.10938
2.42 -4.5777E-5 103.98 0.92145 -0.10156
2.28 -5.6267E-5 112.61 0.92072 -0.10156
2.2 -2.0027E-5 98.555 0.92139 -0.078126
2.14 -0.00015164 159.87 0.92048 -0.10938
2 -0.000247 172.51 0.92005 -0.125
1.94 -0.00039387 157.33 0.92066 -0.085938
1.8 -0.00029373 147.91 0.92109 -0.078126
1.74 -0.00032711 155.28 0.92066 -0.093751
1.61 -0.00031567 154.19 0.92048 -0.10156
1.54 -0.00012016 132.64 0.92078 -0.085938
1.41 6.3897E-5 66.297 0.92115 -0.085938
1.3 8.5831E-5 68.008 0.92164 -0.078126
1.22 -5.3406E-5 108.65 0.92048 -0.085938
1.1 -0.00014782 140.7 0.92029 -0.093751
1.04 0.00014687 42.922 0.92102 -0.093751
0.91 1.0491E-5 82.969 0.92078 -0.085938
0.79 0.00015926 50.68 0.92115 -0.078126
0.74 0.00021553 38.5 0.92096 -0.093751
0.61 0.00019741 30.711 0.9206 -0.10156
0.5 0.00019169 51.969 0.92139 -0.085938
0.39 0.00014973 50.141 0.92096 -0.085938
0.33 7.248E-5 58.422 0.92084 -0.10938
0.21 0.00022316 40.594 0.92115 -0.085938
0.1 0.00020504 49.524 0.92115 -0.078126
0.04 0.00039864 31.133 0.92145 -0.078126
-0.07 0.00035668 35.813 0.92176 -0.078126
-0.18 0.00047302 37.946 0.92286 -0.062501
-0.29 0.00039101 43.258 0.92279 -0.062501
-0.4 0.00046444 30.047 0.92225 -0.070313
-0.46 0.00023079 50.891 0.92225 -0.062501
-0.59 -0.0054646 176.99 0.9217 -0.070313
-0.69 -0.0055294 176.89 0.922 -0.078126
-0.81 -0.0055848 176.98 0.922 -0.078126
-0.91 -0.0055895 176.47 0.92255 -0.054688
-0.97 -0.0057154 177.49 0.92176 -0.070313
-1.08 -0.0054465 176.45 0.92292 -0.054688
-1.2 -0.0055828 176.88 0.92188 -0.070313
-1.3 -0.0057202 176.16 0.92255 -0.054688
-1.4 -0.0056839 176.57 0.92182 -0.070313
-1.51 -0.0056134 177.2 0.92194 -0.078126
-1.57 -0.0056868 176.49 0.92237 -0.054688
-1.68 -0.0057307 176.79 0.92182 -0.070313
-1.79 -0.0057554 177.75 0.9209 -0.093751
-1.9 -0.0055733 176.31 0.92243 -0.062501
-2.01 -0.005682 176.79 0.92164 -0.062501
-2.11 -0.0056095 176.81 0.92151 -0.078126
-2.17 -0.0058527 177.02 0.92102 -0.078126
-2.28 -0.0059052 176.82 0.92127 -0.054688
-2.39 -0.005457 176.52 0.92182 -0.054688
-2.5 -0.0048619 176.66 0.92157 -0.070313
-2.62 -0.0023022 170.3 0.92249 -0.054688
-2.67 -0.00031758 135.73 0.92145 -0.054688
-2.78 -8.9646E-5 105.66 0.92206 -0.054688
-2.89 0.00016117 68.297 0.92322 -0.023438
