Ieff(0deg) X DEG X DEG
-2.89 -0.0019102 -175.77 0.91822 -0.19531
-2.8 -0.0017862 -176.95 0.91816 -0.1875
-2.72 -0.0017634 -176.73 0.91828 -0.19531
-2.56 -0.001421 -176.01 0.91925 -0.16406
-2.48 -0.0016975 -174.25 0.9181 -0.19531
-2.41 -0.001606 -173.61 0.91785 -0.20313
-2.27 -0.001564 -176.02 0.91846 -0.17188
-2.19 -0.0015164 -176.57 0.91852 -0.1875
-2.12 -0.0014362 -172.38 0.9184 -0.17969
-1.99 -0.0014315 -176.5 0.91883 -0.16406
-1.92 -0.0015812 179.68 0.91913 -0.16406
-1.79 -0.001502 -174.68 0.91877 -0.17969
-1.66 -0.0017958 -177.92 0.91864 -0.17969
-1.58 -0.0019484 -176.27 0.91864 -0.17188
-1.46 -0.0018282 -175.41 0.91871 -0.17969
-1.4 -0.0017128 -175.87 0.9184 -0.17188
-1.27 -0.0016022 178.18 0.91999 -0.14063
-1.22 -0.0016422 -179.91 0.91925 -0.15625
-1.08 -0.0016413 -175.12 0.91846 -0.17969
-0.97 -0.0014544 -174.27 0.91864 -0.16406
-0.91 -0.0013123 -179.65 0.91919 -0.14844
-0.78 -0.0013504 -174.2 0.91907 -0.16406
-0.66 -0.0014801 -173.2 0.91858 -0.16406
-0.6 -0.0014324 -177.56 0.91901 -0.16406
-0.49 -0.0014553 -174.99 0.91895 -0.17188
-0.42 -0.0014649 -174.52 0.91864 -0.17188
-0.32 -0.0016813 -178.4 0.91895 -0.15625
-0.2 -0.0016909 -178.31 0.91938 -0.15625
-0.1 -0.0016756 -178.07 0.91962 -0.15625
0 -0.0015888 -176.09 0.91901 -0.16406
0.08 -0.0014048 -175.56 0.91962 -0.14844
0.23 -0.0014305 -178.84 0.91987 -0.13281
0.3 -0.0013828 -174.65 0.91919 -0.15625
0.4 -0.0015383 -178.91 0.91956 -0.14844
0.52 -0.0023289 -179.56 0.91987 -0.13281
0.62 -0.0072613 -179.43 0.91956 -0.14844
0.74 -0.0075608 -179.41 0.91901 -0.15625
0.79 -0.007597 179.78 0.91956 -0.13281
0.91 -0.0075531 179.95 0.91956 -0.13281
1.01 -0.0074425 -179.79 0.91974 -0.13281
1.12 -0.0073376 179.56 0.92029 -0.125
1.23 -0.0074005 179.33 0.92023 -0.125
1.29 -0.007453 -179.56 0.91925 -0.14844
1.4 -0.0074301 -179.54 0.91938 -0.15625
1.51 -0.0074358 -178.81 0.91889 -0.15625
1.61 -0.0073805 -179.5 0.91962 -0.15625
1.73 -0.0073786 -179.95 0.91931 -0.14844
1.79 -0.0072394 -179.45 0.91925 -0.14063
1.9 -0.0072422 179.46 0.92029 -0.125
2.01 -0.007144 -179.56 0.91962 -0.14063
2.12 -0.0071488 -179.53 0.91895 -0.15625
2.23 -0.0069552 -179.93 0.91962 -0.13281
2.34 -0.0067578 179.92 0.91993 -0.13281
2.4 -0.0066281 -179.23 0.91925 -0.15625
2.51 -0.0056086 -179.27 0.91925 -0.15625
2.61 -0.0040341 179.23 0.92017 -0.13281
2.72 -0.0016165 179.54 0.91993 -0.125
