I2(45deg) X DEG X DEG
9.9 0.0052615 7.0547 0.91999 -0.054688
9.8 0.0050526 6.4297 0.9184 -0.062501
9.7 0.0050431 6.8985 0.91864 -0.054688
9.6 0.0052395 7.3907 0.92005 -0.03125
9.5 0.0050631 7.4532 0.91889 -0.054688
9.4 0.0051699 7.2891 0.91962 -0.03125
9.3 0.005002 7.1641 0.91883 -0.046875
9.2 0.0050802 7.2735 0.91925 -0.054688
9.1 0.0051737 7.6797 0.91974 -0.046875
9 0.0049658 7.2891 0.91828 -0.062501
8.9 0.0051537 7.5703 0.91938 -0.046875
8.8 0.0050507 7.3438 0.91828 -0.054688
8.7 0.0051556 7.3282 0.91901 -0.054688
8.6 0.0052061 7.375 0.9198 -0.039063
8.5 0.0052185 7.5703 0.91919 -0.039063
8.4 0.0051298 7.461 0.91883 -0.046875
8.3 0.0051632 7.9532 0.91999 -0.03125
8.2 0.0051689 7.4844 0.91889 -0.046875
8.1 0.0052157 7.7422 0.91907 -0.054688
8 0.0052138 7.875 0.91931 -0.046875
7.9 0.0050259 7.75 0.91828 -0.054688
7.8 0.005271 8.2032 0.91974 -0.046875
7.7 0.0054369 7.75 0.91987 -0.039063
7.6 0.0054398 7.4141 0.91931 -0.046875
7.5 0.005558 7.9844 0.91999 -0.039063
7.4 0.0054999 7.8594 0.9195 -0.054688
7.3 0.0055466 7.6485 0.91931 -0.046875
7.2 0.0054179 8.1876 0.91974 -0.039063
7.1 0.0054455 8.0235 0.91938 -0.054688
7 0.005518 7.6094 0.91889 -0.054688
6.9 0.005209 7.7657 0.91779 -0.062501
6.8 0.0053358 8.211 0.91895 -0.054688
6.7 0.0053788 7.8203 0.91858 -0.062501
6.6 0.0054636 8.1876 0.91968 -0.046875
6.5 0.0054512 8.1954 0.91913 -0.046875
6.4 0.0055218 8.0704 0.91925 -0.054688
6.3 0.0054484 7.9375 0.91913 -0.054688
6.2 0.0052166 8.2657 0.91846 -0.062501
6.1 0.0051108 8.3204 0.91803 -0.070313
6 0.0052271 8.9063 0.91931 -0.054688
5.9 0.0050421 8.1641 0.91816 -0.078126
5.8 0.0050297 8.5626 0.91858 -0.054688
5.7 0.0050011 8.7501 0.91828 -0.078126
5.6 0.0049963 8.7344 0.91816 -0.078126
5.5 0.0048342 8.3751 0.91724 -0.085938
5.4 0.0049773 9.3438 0.91956 -0.054688
5.3 0.0049019 9.1329 0.9184 -0.078126
5.2 0.0048542 9.1798 0.91828 -0.078126
5.1 0.004757 9.0001 0.91803 -0.078126
5 0.0048304 9.086 0.91803 -0.078126
4.9 0.0047894 9.0235 0.91755 -0.093751
4.8 0.0048352 9.1954 0.91901 -0.054688
4.7 0.0047884 9.3751 0.9184 -0.078126
4.6 0.0047198 9.5548 0.91846 -0.078126
4.5 0.0046625 9.8126 0.91889 -0.070313
4.4 0.004571 9.8985 0.91803 -0.078126
4.3 0.0045042 9.4844 0.91736 -0.10156
4.2 0.0045929 10.164 0.91822 -0.085938
4.1 0.0045452 10.133 0.9181 -0.070313
4 0.0046292 10.445 0.91895 -0.062501
3.9 0.0046072 10.188 0.91761 -0.10156
3.8 0.0047446 9.3282 0.91779 -0.085938
3.7 0.004714 9.2032 0.91718 -0.093751
3.6 0.0049878 9.6016 0.91864 -0.078126
3.5 0.0049076 9.7188 0.91846 -0.085938
3.4 0.0047665 9.3594 0.9173 -0.10156
3.3 0.0047484 9.2969 0.91681 -0.093751
3.2 0.0047999 9.7423 0.91742 -0.10938
3.1 0.0046807 9.3048 0.91706 -0.10938
3 0.0046463 9.9923 0.91791 -0.093751
