I2(45deg) X DEG X DEG
-10 0.00052929 -44.711 0.91449 -0.26563
-9.9 0.00063038 -40.563 0.91456 -0.25781
-9.8 0.00072766 -38.789 0.91462 -0.26563
-9.7 0.00075055 -36.258 0.91468 -0.25781
-9.6 0.00084973 -31.125 0.91486 -0.25
-9.5 0.00079632 -30.867 0.91492 -0.25
-9.4 0.00096322 -27.539 0.91486 -0.25781
-9.3 0.00096703 -27.406 0.9148 -0.25
-9.2 0.0010119 -24.93 0.9151 -0.23438
-9.1 0.001133 -25.274 0.91486 -0.25
-9 0.0012226 -18.461 0.9151 -0.22656
-8.9 0.0014124 -14.719 0.91584 -0.21094
-8.8 0.0012999 -19.86 0.91498 -0.23438
-8.7 0.0012083 -23.242 0.9148 -0.25
-8.6 0.0011845 -25.328 0.9148 -0.25781
-8.5 0.0014219 -19.11 0.91492 -0.23438
-8.4 0.0015574 -16.063 0.91498 -0.23438
-8.3 0.0016184 -13.922 0.91529 -0.22656
-8.2 0.0016222 -17.57 0.9148 -0.23438
-8.1 0.001811 -11.344 0.91565 -0.21094
-8 0.0017681 -16.461 0.91492 -0.23438
-7.9 0.00177 -12.695 0.91523 -0.22656
-7.8 0.0018339 -12.359 0.91523 -0.21094
-7.7 0.0018835 -12.93 0.91523 -0.21875
-7.6 0.0018568 -12.508 0.91516 -0.21875
-7.5 0.0019522 -8.9766 0.91577 -0.20313
-7.4 0.0020457 -8.2266 0.91571 -0.19531
-7.3 0.0019264 -11.969 0.91516 -0.21094
-7.2 0.0020466 -9.0313 0.91577 -0.1875
-7.1 0.0020418 -10.375 0.91571 -0.19531
-7 0.0019684 -12.688 0.91523 -0.22656
-6.9 0.0018492 -9.4376 0.91541 -0.1875
-6.8 0.0019894 -10.352 0.91559 -0.21094
-6.7 0.0020399 -12.695 0.91529 -0.21875
-6.6 0.0020952 -11.172 0.91523 -0.21094
-6.5 0.0020914 -10.289 0.91541 -0.20313
-6.4 0.0022087 -8.4376 0.91577 -0.19531
-6.3 0.0023346 -11.586 0.91516 -0.21094
-6.2 0.0023413 -8.211 0.91577 -0.19531
-6.1 0.0024281 -8.4532 0.91577 -0.19531
-6 0.0024214 -7.1719 0.9162 -0.20313
-5.9 0.0023928 -8.461 0.91602 -0.1875
-5.8 0.0023651 -8.1485 0.91608 -0.20313
-5.7 0.0024023 -7.7266 0.91614 -0.19531
-5.6 0.0024386 -9.0313 0.91571 -0.19531
-5.5 0.0024119 -5.9219 0.91651 -0.17969
-5.4 0.0024233 -6.6328 0.91639 -0.1875
-5.3 0.002389 -7.836 0.91596 -0.19531
-5.2 0.0023851 -7.3438 0.91608 -0.1875
-5.1 0.0024195 -7.0625 0.91639 -0.17969
-5 0.0023995 -8.3126 0.91608 -0.19531
-4.9 0.0025005 -5.0235 0.91687 -0.15625
-4.8 0.002553 -4.961 0.91693 -0.16406
-4.7 0.002533 -6.4766 0.91663 -0.17969
-4.6 0.002491 -6.1328 0.91639 -0.1875
-4.5 0.0026283 -5.5469 0.91657 -0.15625
-4.4 0.002656 -5.6328 0.91681 -0.17188
-4.3 0.0026226 -5.2813 0.91681 -0.16406
-4.2 0.0024824 -6.2891 0.91614 -0.17969
-4.1 0.00276 -3.9063 0.91712 -0.15625
-4 0.0027857 -5.4844 0.917 -0.16406
-3.9 0.0028649 -3.5391 0.91712 -0.15625
-3.8 0.0028515 -3.7422 0.91718 -0.15625
-3.7 0.002861 -4.0157 0.917 -0.15625
-3.6 0.0029497 -4.5235 0.917 -0.15625
-3.5 0.0028553 -4.3594 0.917 -0.15625
-3.4 0.0030079 -3.4141 0.91742 -0.14844
-3.3 0.0029144 -4.0157 0.91712 -0.15625
-3.2 0.0029631 -3.5938 0.91755 -0.14844
-3.1 0.0030165 -3.1563 0.91767 -0.14063
-3 0.0030499 -2.0781 0.91834 -0.13281
-2.9 0.0029669 -2.3359 0.9181 -0.13281
-2.8 0.0028524 -2.0234 0.91773 -0.13281
-2.7 0.0029898 -2.5547 0.91797 -0.13281
-2.6 0.0031109 -2.2266 0.91858 -0.125
-2.5 0.0029631 -1.625 0.91803 -0.13281
-2.4 0.0031939 0.25781 0.91907 -0.10938
-2.3 0.0030832 -2.8984 0.91779 -0.13281
-2.2 0.0031595 -2.0313 0.91803 -0.13281
-2.1 0.0030232 -3.5469 0.91767 -0.13281
-2 0.003026 -3.6016 0.91748 -0.14063
-1.9 0.0032311 -1.8906 0.91834 -0.125
-1.8 0.0032044 -1.3359 0.9184 -0.11719
-1.7 0.003212 -0.38281 0.91858 -0.10938
-1.6 0.0032749 -0.27344 0.91852 -0.10938
-1.5 0.0033417 -0.52344 0.91852 -0.11719
-1.4 0.0033922 -1.3125 0.91846 -0.10938
-1.3 0.0035858 0.24219 0.91919 -0.10938
-1.2 0.0037117 0.21094 0.91913 -0.10938
-1.1 0.003664 0.70313 0.91913 -0.10938
-1 0.0037413 0.21094 0.91919 -0.10156
-0.9 0.003727 -0.26563 0.91889 -0.11719
