Ieff(90deg) X DEG X DEG
2.72 0.0017986 72.993 0.96527 -0.1875
2.57 0.0016527 74.344 0.96552 -0.19531
2.5 0.001606 74.93 0.96534 -0.19531
2.43 0.0017929 73.063 0.96503 -0.1875
2.29 0.0017605 73.391 0.96515 -0.19531
2.22 0.001914 71.797 0.96497 -0.17969
2.09 0.0022679 68.961 0.96485 -0.1875
2.02 0.0020237 71.18 0.96503 -0.1875
1.88 0.0022154 69.313 0.96491 -0.1875
1.81 0.0024052 67.774 0.96485 -0.1875
1.68 0.0024157 67.665 0.96485 -0.1875
1.61 0.0024672 67.477 0.96509 -0.1875
1.49 0.0025616 66.368 0.96473 -0.1875
1.42 0.0027075 65.204 0.96473 -0.17969
1.26 0.0028944 63.532 0.96454 -0.17188
1.23 0.0029793 62.891 0.96454 -0.17969
1.12 0.0029869 62.985 0.96466 -0.17969
1 0.002882 63.836 0.96442 -0.17188
0.93 0.0028973 63.516 0.96454 -0.16406
0.81 0.0029926 62.985 0.96454 -0.17969
0.69 0.0032187 61.36 0.96436 -0.15625
0.57 0.0030613 62.383 0.96466 -0.16406
0.51 0.0032425 60.844 0.96448 -0.15625
0.4 0.0032931 60.664 0.96442 -0.14844
0.28 0.0032892 60.719 0.96442 -0.15625
0.22 0.0034647 59.344 0.96442 -0.15625
0.11 0.0033474 60.117 0.96436 -0.14844
0 0.0034218 59.86 0.96436 -0.15625
-0.14 0.0034886 59.125 0.96442 -0.15625
-0.2 0.0036812 57.586 0.96412 -0.14844
-0.31 0.0035725 58.43 0.96424 -0.14844
-0.38 0.0035324 58.797 0.96436 -0.15625
-0.52 0.0036946 57.438 0.96412 -0.14844
-0.63 0.0034876 59.016 0.9643 -0.14063
-0.69 0.0036564 57.883 0.96418 -0.14063
-0.79 -0.00058747 96.282 0.96412 -0.14844
-0.91 -0.0023604 111.93 0.9643 -0.14063
-1.02 -0.0022707 110.98 0.96436 -0.14844
-1.08 -0.0020342 108.95 0.96436 -0.14844
-1.18 -0.0017023 106.3 0.9643 -0.14063
-1.29 -0.00080014 97.649 0.96466 -0.15625
-1.4 0.0024176 67.532 0.96418 -0.14063
-1.51 0.0039063 55.93 0.96418 -0.14063
-1.63 0.0042973 53.391 0.96399 -0.14844
-1.68 0.0043402 53.289 0.96412 -0.14844
-1.79 0.0044842 52.172 0.96393 -0.14844
-1.91 0.0047732 50.289 0.96381 -0.14063
-2.01 0.0046511 51.219 0.96399 -0.15625
-2.12 0.0045939 51.914 0.96399 -0.15625
-2.18 0.0046807 50.883 0.96381 -0.14063
-2.29 0.0045901 51.5 0.96387 -0.14063
-2.4 0.0044871 52.297 0.96412 -0.14844
-2.51 0.0047531 50.625 0.96381 -0.14844
-2.62 0.0048809 49.774 0.96363 -0.14063
-2.68 0.0046358 51.219 0.96399 -0.14063
