Ieff(90deg) X DEG X DEG
-2.69 0.00026798 87.501 0.96607 -0.19531
-2.62 0.00032425 86.86 0.96619 -0.20313
-2.47 0.00047493 85.391 0.96619 -0.20313
-2.4 0.00037956 86.329 0.96637 -0.20313
-2.33 0.00014114 88.719 0.96619 -0.19531
-2.19 7.3433E-5 89.251 0.96613 -0.21094
-2.11 0.00060273 84.336 0.96613 -0.21094
-1.98 -6.485E-5 90.61 0.96595 -0.21094
-1.91 -3.2425E-5 90.141 0.96595 -0.20313
-1.78 0.00024891 87.579 0.96595 -0.21094
-1.71 -4.8638E-5 90.376 0.96619 -0.20313
-1.59 7.1526E-5 89.36 0.96595 -0.21094
-1.52 0.00034332 86.719 0.96625 -0.21875
-1.46 0.00013065 88.876 0.96625 -0.21094
-1.27 0.00023174 87.774 0.96601 -0.21094
-1.2 0.00034619 86.704 0.96582 -0.21875
-1.15 0.00029087 87.258 0.96607 -0.22656
-1 7.5341E-5 89.305 0.96613 -0.21875
-0.9 0.00023842 87.751 0.9657 -0.22656
-0.84 -8.4878E-5 90.836 0.96613 -0.21875
-0.71 0.00014591 88.602 0.96613 -0.22656
-0.58 -2.9564E-5 90.305 0.96595 -0.22656
-0.52 0.00040341 86.063 0.96595 -0.22656
-0.4 0.00016308 88.274 0.96601 -0.22656
-0.29 0.00030709 87.094 0.96582 -0.23438
-0.25 0.00010395 88.946 0.96576 -0.21875
-0.11 0.00040531 86.102 0.96564 -0.23438
-0.01 0.00039292 86.29 0.9657 -0.22656
0.11 0.00017643 88.407 0.96564 -0.22656
0.21 0.00023651 87.719 0.96607 -0.23438
0.29 0.00020313 87.899 0.96589 -0.21875
0.42 0.00026608 87.532 0.96558 -0.21875
0.47 0.00037956 86.399 0.96552 -0.22656
0.61 -1.2398E-5 90.133 0.96564 -0.22656
0.71 -5.1499E-5 90.594 0.96564 -0.23438
0.8 -0.0061074 135.29 0.96601 -0.21875
0.88 -0.006136 135.35 0.96576 -0.21875
1 -0.0059405 134.31 0.96601 -0.23438
1.1 -0.0058718 134.15 0.96601 -0.22656
1.22 -0.005332 131.25 0.96595 -0.21875
1.32 -0.0044823 126.52 0.96625 -0.21875
1.37 -0.0031538 117.6 0.96576 -0.21875
1.49 -0.00076962 97.196 0.96595 -0.21875
1.59 -0.00029087 92.797 0.96589 -0.21094
1.7 0.00031853 86.946 0.96589 -0.21875
1.82 -0.00010204 90.969 0.96589 -0.21094
1.92 0.00056172 84.555 0.96534 -0.21094
1.98 0.0004158 85.891 0.9657 -0.21094
2.09 0.00098706 80.555 0.96527 -0.21094
2.21 0.00096226 80.883 0.96552 -0.21875
2.33 0.0011406 79.204 0.9654 -0.21094
2.37 0.0012093 78.641 0.96564 -0.21094
2.48 0.001236 78.297 0.9654 -0.21094
2.6 0.00086976 81.758 0.9657 -0.21094
2.72 0.00083542 82.001 0.96558 -0.20313
