I1(135deg) X DEG X DEG
9.9 -0.00093747 -109.9 0.96259 -0.078126
9.8 -0.00087548 -108.36 0.96259 -0.078126
9.7 -0.00067425 -104.61 0.96271 -0.078126
9.6 -0.00071145 -105.79 0.96283 -0.078126
9.5 -0.00043774 -100.12 0.96271 -0.078126
9.4 -0.00037861 -98.001 0.96271 -0.078126
9.3 -0.00015831 -93.493 0.96277 -0.078126
9.2 0.00015831 -85.985 0.96283 -0.062501
9.1 -0.00030899 -97.649 0.96283 -0.062501
9 -7.6294E-5 -91.876 0.96289 -0.062501
8.9 -0.00037289 -98.79 0.96277 -0.062501
8.8 -0.00014687 -94.501 0.96277 -0.062501
8.7 0.00013447 -86.985 0.96296 -0.070313
8.6 -9.5368E-5 -92.422 0.96308 -0.078126
8.5 -0.0002985 -97.454 0.96289 -0.070313
8.4 1.5259E-5 -89.907 0.96296 -0.062501
8.3 -9.9183E-5 -92.102 0.96277 -0.070313
8.2 -0.00021076 -94.672 0.96289 -0.062501
8.1 -0.00025273 -96.454 0.96277 -0.062501
8 -7.248E-5 -91.672 0.96302 -0.070313
7.9 -0.00016976 -94.149 0.96308 -0.070313
7.8 -0.00060654 -104.81 0.96289 -0.062501
7.7 -0.00041676 -101.52 0.96308 -0.062501
7.6 -0.0002861 -97.344 0.96296 -0.070313
7.5 0.00017262 -85.469 0.96283 -0.062501
7.4 7.1526E-5 -88.438 0.96289 -0.070313
7.3 -1.6213E-5 -90.79 0.96302 -0.070313
7.2 -0.00021839 -95.665 0.96302 -0.078126
7.1 -0.00081921 -111.45 0.96289 -0.070313
7 -0.00034237 -99.407 0.96302 -0.070313
6.9 -0.00022507 -95.688 0.96296 -0.078126
6.8 -0.00026417 -96.93 0.96302 -0.078126
6.7 -0.00059986 -106.11 0.96277 -0.070313
6.6 -0.00031471 -98.227 0.9632 -0.078126
6.5 -0.00019074 -94.024 0.96302 -0.070313
6.4 -0.00022507 -95.719 0.96296 -0.054688
6.3 -0.00050545 -103.13 0.96277 -0.070313
6.2 -0.00019741 -94.985 0.96289 -0.070313
6.1 -0.00053025 -103.31 0.96302 -0.070313
6 -0.00049019 -103.15 0.9632 -0.062501
5.9 -0.00053883 -103.19 0.96302 -0.062501
5.8 -0.00072003 -107.92 0.96296 -0.070313
5.7 -0.00082207 -111.51 0.96308 -0.070313
5.6 6.5804E-5 -88.618 0.96308 -0.062501
5.5 -0.00017166 -94.29 0.96326 -0.070313
5.4 -0.00071907 -107.83 0.96314 -0.070313
5.3 -0.00038147 -99.516 0.96302 -0.070313
5.2 -9.5368E-7 -90.094 0.96326 -0.070313
5.1 -0.00034142 -99.352 0.96289 -0.070313
5 -0.00039959 -100.34 0.96302 -0.070313
4.9 -0.0002842 -97.227 0.96308 -0.062501
4.8 -0.00031853 -98.524 0.9632 -0.078126
4.7 -0.00010967 -92.266 0.96308 -0.062501
4.6 -0.0004015 -101.07 0.96302 -0.054688
4.5 -0.0004654 -102.25 0.96302 -0.062501
4.4 -3.1472E-5 -90.829 0.96308 -0.070313
4.3 -0.00036049 -99.407 0.96296 -0.062501
4.2 -2.0981E-5 -90.657 0.96308 -0.070313
4.1 0.00030232 -82.118 0.96308 -0.070313
4 -5.1499E-5 -91.266 0.96302 -0.062501
3.9 -0.00042439 -102.13 0.96302 -0.062501
3.8 -0.0005827 -105.31 0.96308 -0.062501
3.7 0.00013352 -86.493 0.96308 -0.062501
3.6 -0.00055027 -103.74 0.96289 -0.062501
3.5 5.5313E-5 -88.985 0.96314 -0.062501
3.4 0.00042534 -78.813 0.96314 -0.054688
3.3 3.624E-5 -88.954 0.96308 -0.054688
3.2 -0.00033093 -99.43 0.96302 -0.054688
3.1 -0.00017357 -94.829 0.9632 -0.054688
3 -2.9564E-5 -90.977 0.96302 -0.062501
2.9 -0.00051499 -103.91 0.96302 -0.054688
2.8 -0.00041294 -100.9 0.96308 -0.054688
2.7 -0.00023174 -96.313 0.96314 -0.054688
2.6 2.1935E-5 -89.329 0.96308 -0.062501
2.5 -0.00014401 -93.415 0.96308 -0.054688
2.4 -0.00021076 -95.602 0.96308 -0.054688
2.3 -0.00021553 -95.571 0.96302 -0.054688
2.2 -4.4823E-5 -90.977 0.96314 -0.062501
2.1 -0.00012589 -94.016 0.96302 -0.054688
2 -0.00022888 -96.758 0.9632 -0.062501
1.9 9.4414E-5 -87.329 0.9632 -0.062501
1.8 -0.00014877 -93.571 0.9632 -0.054688
1.7 0.0001545 -86.204 0.96326 -0.054688
1.6 0.0002451 -84.352 0.9632 -0.062501
1.5 -0.0001154 -92.391 0.96326 -0.062501
1.4 -0.00023842 -96.751 0.9632 -0.054688
1.3 1.2398E-5 -89.969 0.9632 -0.054688
1.2 -0.00013638 -93.102 0.9632 -0.062501
1.1 0.00013542 -85.883 0.9632 -0.054688
1 -1.0491E-5 -89.985 0.9632 -0.062501
0.9 0.00034046 -80.696 0.96326 -0.062501
0.8 0.00019264 -84.594 0.96332 -0.054688
0.7 8.7738E-5 -87.133 0.96332 -0.054688
0.6 -8.9646E-5 -93.055 0.9632 -0.054688
0.5 0.00036335 -80.469 0.96326 -0.054688
0.4 0.0002203 -83.047 0.96326 -0.054688
0.3 0.00014114 -86.094 0.9632 -0.054688
0.2 0.00024319 -84.047 0.96332 -0.062501
0.1 0.00016213 -85.336 0.96326 -0.054688
5.5511151E-16 0.00038433 -79.274 0.96338 -0.054688
-0.1 0.00042153 -79.032 0.96332 -0.054688
-0.2 0.00010395 -86.969 0.96332 -0.062501
-0.3 0.0005169 -74.665 0.96344 -0.054688
-0.4 9.4414E-5 -87.336 0.96332 -0.054688
-0.5 0.00021076 -84.211 0.96332 -0.070313
-0.6 0.00031758 -80.219 0.96357 -0.062501
-0.7 -0.0022507 -138.97 0.96344 -0.062501
-0.8 -0.0061388 -161.56 0.96326 -0.062501
-0.9 -0.0058861 -160.6 0.96326 -0.062501
