I1(135deg) X DEG X DEG
-10 -0.00066185 -107.99 0.9643 -0.13281
-9.9 -0.000597 -105.84 0.96412 -0.13281
-9.8 -0.00023461 -97.04 0.96418 -0.13281
-9.7 -0.00037766 -101.1 0.96412 -0.13281
-9.6 -2.0027E-5 -90.399 0.96418 -0.13281
-9.5 0.00012398 -86.68 0.96436 -0.14844
-9.4 -4.8638E-5 -91.774 0.96418 -0.13281
-9.3 0.00031185 -80.438 0.96412 -0.13281
-9.2 -0.00040054 -101.76 0.96399 -0.13281
-9.1 -0.00028229 -99.094 0.96405 -0.13281
-9 3.7194E-5 -88.954 0.96418 -0.13281
-8.9 0.00017262 -85.204 0.96399 -0.13281
-8.8 -0.00017071 -95.477 0.96412 -0.13281
-8.7 0.00031948 -80.399 0.96418 -0.13281
-8.6 0.00020313 -82.751 0.96405 -0.13281
-8.5 0.00028897 -80.813 0.96412 -0.13281
-8.4 0.00015259 -85.891 0.96405 -0.13281
-8.3 6.6758E-6 -89.735 0.96399 -0.125
-8.2 0 -89.735 0.96399 -0.125
-8.1 9.7275E-5 -87.571 0.96418 -0.13281
-8 -0.0002842 -98.719 0.96412 -0.125
-7.9 -3.1472E-5 -89.344 0.9643 -0.13281
-7.8 -5.7221E-6 -89.821 0.96424 -0.14063
-7.7 0.00042629 -78.641 0.9643 -0.14063
-7.6 0.00042343 -77.485 0.96405 -0.13281
-7.5 0.00066567 -70.407 0.96405 -0.125
-7.4 0.00063134 -71.407 0.96424 -0.13281
-7.3 0.00069142 -71.547 0.96412 -0.13281
-7.2 0.00065613 -71.696 0.96418 -0.13281
-7.1 0.00048638 -76.977 0.9643 -0.13281
-7 0.00036049 -80.665 0.96412 -0.14063
-6.9 0.00051785 -74.93 0.96418 -0.13281
-6.8 0.00034428 -79.001 0.96405 -0.13281
-6.7 0.00023937 -83.758 0.96424 -0.14063
-6.6 0.00054646 -73.93 0.96412 -0.13281
-6.5 0.00047112 -76.219 0.96436 -0.13281
-6.4 0.00027371 -81.766 0.96418 -0.13281
-6.3 0.00060273 -75.047 0.96418 -0.14063
-6.2 0.00018692 -84.001 0.96424 -0.13281
-6.1 0.00026322 -81.766 0.96418 -0.13281
-6 0.00053502 -75.516 0.96412 -0.13281
-5.9 0.00061226 -75.086 0.96418 -0.13281
-5.8 0.00043679 -77.188 0.96424 -0.13281
-5.7 0.00027847 -81.657 0.96418 -0.13281
-5.6 -1.9074E-5 -91.805 0.96405 -0.14063
-5.5 0.00034142 -79.235 0.9643 -0.13281
-5.4 0.00047589 -76.133 0.9643 -0.13281
-5.3 0.00035572 -81.211 0.9643 -0.13281
-5.2 0.00054169 -76.758 0.96436 -0.13281
-5.1 0.00058651 -73.829 0.9643 -0.13281
