Alpha(210mT) X DEG X DEG
270 0.00030709 82.672 0.93201 -0.03125
264.98 0.0006218 75.165 0.93219 -0.03125
260.11 0.00077343 72.251 0.93219 -0.03125
255.18 0.00061894 75.297 0.93226 -0.03125
250.27 0.00047875 78.79 0.93238 -0.03125
245.33 0.0002451 84.133 0.93232 -0.023438
240.37 1.6213E-5 89.633 0.93244 -0.03125
235.27 -0.00033856 97.954 0.93232 -0.03125
230.29 -0.00066185 104.81 0.93238 -0.023438
225.27 -0.0009737 111.11 0.93256 -0.023438
220.35 -0.0013056 117.92 0.9325 -0.03125
215.31 -0.0016642 123.48 0.93256 -0.03125
210.4 -0.0020762 129.66 0.93256 -0.03125
205.5 -0.0022431 132.13 0.93274 -0.03125
200.43 -0.002595 135.37 0.9328 -0.023438
195.44 -0.0030022 139.82 0.93287 -0.023438
190.25 -0.0034247 143.85 0.93293 -0.023438
185.25 -0.0037871 146.56 0.93293 -0.015625
179.86 -0.0041638 149.02 0.93299 -0.015625
174.8 -0.0045223 151.02 0.93287 -0.0078126
169.87 -0.0048428 152.43 0.93299 -0.0078126
164.84 -0.0047179 152.27 0.93299 -0.015625
159.94 -0.0046492 151.78 0.93287 -0.015625
154.84 -0.0043679 150.41 0.9328 -0.0078126
149.99 -0.0042248 149.26 0.93293 -0.015625
144.98 -0.0038882 147.49 0.93299 0
140.01 -0.0036621 145.58 0.93293 -0.0078126
135.23 -0.0034399 144.41 0.93287 -0.0078126
130.09 -0.003026 140.84 0.93274 -0.015625
124.98 -0.0027895 138.28 0.93293 -0.0078126
120.06 -0.0025578 136.71 0.93268 -0.0078126
115.31 -0.0023461 133.77 0.93293 -0.0078126
110.14 -0.0020275 129.21 0.93268 -0.0078126
105.31 -0.0018702 126.63 0.93262 -0.0078126
100.09 -0.0017567 125.22 0.93274 -0.0078126
95.07 -0.0015049 121.23 0.93274 -0.0078126
89.89 -0.0013399 118.23 0.93299 0
84.77 -0.00092602 110.05 0.93293 -0.0078126
79.63 -0.00089455 109.56 0.93317 -0.0078126
74.74 -0.00084687 108.14 0.93293 -0.0078126
69.79 -0.00087262 108.65 0.93311 -0.0078126
64.89 -0.00098706 110.94 0.93329 -0.0078126
59.93 -0.0011521 114.03 0.93329 0
54.95 -0.0013428 117.3 0.93329 0
50 -0.001482 118.79 0.93335 0
45.1 -0.0017548 124.36 0.93341 0
40.09 -0.0019798 126.78 0.9336 0
35.09 -0.0021935 129.68 0.93366 0
30.23 -0.0024815 133.05 0.93372 0
25.26 -0.0028115 136.24 0.93372 0
20.3 -0.003108 139.16 0.93366 -0.0078126
15.37 -0.0034094 141.97 0.93372 0
10.13 -0.0036755 144.49 0.93366 -0.0078126
5.16 -0.0039768 146.66 0.9336 -0.0078126
-0.02 -0.0044165 149.63 0.93348 -0.0078126
-5.02 -0.0048399 150.87 0.93341 -0.0078126
-9.97 -0.0050078 152.16 0.93329 -0.0078126
-15.05 -0.0049792 151.89 0.93323 0
-19.94 -0.0048094 151.4 0.93335 0
-24.77 -0.004632 150.38 0.93311 -0.0078126
-29.82 -0.0042868 147.98 0.93317 -0.0078126
-34.69 -0.0041275 147.41 0.93329 -0.0078126
-39.65 -0.003994 146.74 0.93329 0
-44.54 -0.0037642 144.59 0.93329 0
-49.55 -0.0035134 142.73 0.93329 0
-54.52 -0.0031481 141.27 0.93329 0.0078126
-60.43 -0.0028448 137.16 0.93329 0
