Ieff(0deg) AUX DEG
-9.91 1.7983 -107.23
-9.26 1.7007 -108.02
-9.26 1.7002 -108.79
-8.6 1.6011 -109.56
-7.98 1.5049 -110.31
-7.39 1.4082 -111.09
-6.82 1.311 -111.87
-6.23 1.2129 -112.66
-6.23 1.207 -113.42
-5.63 1.1089 -114.2
-5.06 1.0098 -114.95
-4.53 0.91163 -115.73
-3.96 0.80957 -116.45
-3.4 0.70606 -117.26
-2.84 0.6128 -118.05
-2.28 0.50538 -118.82
-2.01 0.45654 -119.57
-1.46 0.35742 -120.34
-1.05 0.27783 -121.12
-0.5 0.18164 -121.88
0 0.086915 -122.66
0.52 0.011719 -123.44
0.99 0.10059 -124.2
1.49 0.18897 -125
2.02 0.29053 -125.73
2.56 0.38819 -126.51
2.97 0.46436 -127.27
3.68 0.58789 -128.04
4.22 0.68311 -128.83
4.78 0.78565 -129.59
4.78 0.79102 -130.36
5.32 0.87696 -131.14
5.89 0.97754 -131.93
6.48 1.0801 -132.68
7.07 1.1768 -133.45
7.67 1.2759 -134.2
8.26 1.3716 -134.97
8.26 1.375 -135.77
8.88 1.4731 -136.52
9.54 1.5752 -137.31
10.19 1.6763 -138.11
