I1(135deg) AUX DEG X DEG
-10 0.16162 87.188 0 0
-9.9 0.15381 86.422 0 0
-9.8 0.1543 85.665 0 0
-9.7 0.15283 84.868 0 0
-9.6 0.1543 84.063 0 0
-9.5 0.1499 83.305 0 0
-9.4 0.14795 82.501 0 0
-9.3 0.14697 81.735 0 0
-9.2 0.14356 80.961 0 0
-9.1 0.15088 80.18 0 0
-9 0.14941 79.415 0 0
-8.9 0.14356 78.61 0 0
-8.8 0.14697 77.829 0 0
-8.7 0.13916 77.071 0 0
-8.6 0.14307 76.274 0 0
-8.5 0.14014 75.501 0 0
-8.4 0.14063 74.727 0 0
-8.3 0.14307 73.93 0 0
-8.2 0.14063 73.157 0 0
-8.1 0.13525 72.376 0 0
-8 0.13428 71.586 0 0
-7.9 0.13623 70.805 0 0
-7.8 0.13721 70.047 0 0
-7.7 0.13232 69.243 0 0
-7.6 0.13232 68.493 0 0
-7.5 0.13086 67.688 0 0
-7.4 0.12842 66.907 0 0
-7.3 0.12647 66.126 0 0
-7.2 0.12354 65.376 0 0
-7.1 0.12207 64.563 0 0
-7 0.12354 63.805 0 0
-6.9 0.12354 63.039 0 0
-6.8 0.11621 62.227 0 0
-6.7 0.11865 61.43 0 0
-6.6 0.11572 60.688 0 0
-6.5 0.11768 59.867 0 0
-6.4 0.11426 59.102 0 0
-6.3 0.11328 58.313 0 0
-6.2 0.11133 57.532 0 0
-6.1 0.11133 56.766 0 0
-6 0.10986 55.969 0 0
-5.9 0.1084 55.219 0 0
-5.8 0.10986 54.399 0 0
-5.7 0.10498 53.625 0 0
-5.6 0.10352 52.867 0 0
-5.5 0.098633 52.063 0 0
-5.4 0.10059 51.289 0 0
-5.3 0.098633 50.5 0 0
-5.2 0.094727 49.75 0 0
-5.1 0.093262 48.961 0 0
-5 0.094727 48.149 0 0
-4.9 0.092774 47.414 0 0
-4.8 0.091309 46.617 0 0
-4.7 0.089844 45.789 0 0
-4.6 0.086915 45.047 0 0
-4.5 0.086915 44.274 0 0
-4.4 0.082032 43.477 0 0
-4.3 0.080567 42.711 0 0
-4.2 0.08252 41.914 0 0
-4.1 0.079102 41.117 0 0
-4 0.073243 40.367 0 0
-3.9 0.073243 39.586 0 0
-3.8 0.071778 38.782 0 0
-3.7 0.069825 38.016 0 0
-3.6 0.068848 37.258 0 0
-3.5 0.066895 36.446 0 0
-3.4 0.065918 35.696 0 0
-3.3 0.066895 34.907 0 0
-3.2 0.062012 34.102 0 0
-3.1 0.060547 33.344 0 0
-3 0.060547 32.547 0 0
-2.9 0.057617 31.766 0 0
-2.8 0.056153 30.985 0 0
-2.7 0.053223 30.195 0 0
-2.6 0.055176 29.422 0 0
-2.5 0.05127 28.649 0 0
-2.4 0.050293 27.852 0 0
-2.3 0.05127 27.078 0 0
-2.2 0.047364 26.297 0 0
-2.1 0.043946 25.5 0 0
-2 0.042481 24.766 0 0
-1.9 0.042969 23.953 0 0
-1.8 0.039551 23.18 0 0
-1.7 0.038086 22.391 0 0
-1.6 0.036133 21.617 0 0
-1.5 0.033203 20.828 0 0
-1.4 0.033203 20.039 0 0
-1.3 0.028809 19.235 0 0
-1.2 0.026856 18.453 0 0
-1.1 0.024414 17.719 0 0
-1 0.025879 16.93 0 0
-0.9 0.023926 16.141 0 0
-0.8 0.020996 15.375 0 0
-0.7 0.018555 14.578 0 0
-0.6 0.016602 13.766 0 0
-0.5 0.018555 13 0 0
-0.4 0.013184 12.203 0 0
-0.3 0.013672 11.461 0 0
-0.2 0.0078126 10.649 0 0
-0.1 0.0092774 9.8985 0 0
5.5511151E-16 0.0078126 9.1016 0 0
0.1 0.0039063 8.3126 0 0
0.2 0.0029297 7.5625 0 0
0.3 0.0014649 6.7813 0 0
0.4 0.0029297 5.9766 0 0
0.5 0.0029297 5.1953 0 0
0.6 0.0014649 4.4453 0 0
0.7 0.0058594 3.6406 0 0
0.8 0.0073243 2.8594 0 0
0.9 0.010254 2.0625 0 0
1 0.010742 1.3125 0 0
1.1 0.013184 0.52344 0 0
1.2 0.016602 -0.26563 0 0
1.3 0.019531 -1.0234 0 0
1.4 0.019531 -1.8125 0 0
1.5 0.021485 -2.6094 0 0
1.6 0.022949 -3.4063 0 0
1.7 0.022461 -4.1641 0 0
1.8 0.026856 -4.961 0 0
1.9 0.028809 -5.7422 0 0
2 0.030274 -6.5235 0 0
2.1 0.033203 -7.2969 0 0
2.2 0.033203 -8.086 0 0
2.3 0.034668 -8.8438 0 0
2.4 0.036621 -9.6251 0 0
2.5 0.039551 -10.399 0 0
2.6 0.042969 -11.172 0 0
2.7 0.042969 -11.992 0 0
2.8 0.04541 -12.774 0 0
2.9 0.045899 -13.547 0 0
3 0.047364 -14.305 0 0
3.1 0.051758 -15.102 0 0
3.2 0.050293 -15.899 0 0
3.3 0.0542 -16.672 0 0
3.4 0.0542 -17.469 0 0
3.5 0.053223 -18.235 0 0
3.6 0.059571 -19.016 0 0
3.7 0.059082 -19.789 0 0
3.8 0.06543 -20.594 0 0
3.9 0.061035 -21.375 0 0
4 0.066895 -22.149 0 0
4.1 0.065918 -22.906 0 0
4.2 0.068848 -23.703 0 0
4.3 0.06836 -24.492 0 0
4.4 0.072754 -25.281 0 0
4.5 0.071778 -26.039 0 0
4.6 0.074219 -26.82 0 0
4.7 0.074707 -27.594 0 0
4.8 0.079102 -28.383 0 0
4.9 0.080567 -29.164 0 0
