I2(45deg) AUX DEG X DEG
9.9 1.5811 91.883 0 0
9.8 1.5772 91.11 0 0
9.7 1.5645 90.321 0 0
9.6 1.5586 89.54 0 0
9.5 1.5527 88.751 0 0
9.4 1.5464 87.969 0 0
9.3 1.5386 87.18 0 0
9.2 1.5278 86.407 0 0
9.1 1.5205 85.618 0 0
9 1.5142 84.868 0 0
8.9 1.5005 84.047 0 0
8.8 1.4902 83.305 0 0
8.7 1.481 82.508 0 0
8.6 1.4712 81.719 0 0
8.5 1.461 80.938 0 0
8.4 1.4487 80.172 0 0
8.3 1.4409 79.399 0 0
8.2 1.4253 78.586 0 0
8.1 1.4136 77.821 0 0
8 1.4023 77.055 0 0
7.9 1.3892 76.251 0 0
7.8 1.3779 75.469 0 0
7.7 1.3608 74.704 0 0
7.6 1.3525 73.899 0 0
7.5 1.336 73.126 0 0
7.4 1.3242 72.352 0 0
7.3 1.311 71.547 0 0
7.2 1.2988 70.813 0 0
7.1 1.2803 70.024 0 0
7 1.2686 69.219 0 0
6.9 1.2549 68.446 0 0
6.8 1.2393 67.688 0 0
6.7 1.2271 66.868 0 0
6.6 1.2119 66.126 0 0
6.5 1.1934 65.313 0 0
6.4 1.1807 64.54 0 0
6.3 1.166 63.782 0 0
6.2 1.1533 63.016 0 0
6.1 1.1353 62.196 0 0
6 1.1196 61.438 0 0
5.9 1.1089 60.649 0 0
5.8 1.0889 59.86 0 0
5.7 1.0723 59.086 0 0
5.6 1.0591 58.313 0 0
5.5 1.0386 57.516 0 0
5.4 1.0264 56.742 0 0
5.3 1.0083 55.93 0 0
5.2 0.99268 55.164 0 0
5.1 0.97461 54.399 0 0
5 0.96094 53.617 0 0
4.9 0.94239 52.852 0 0
4.8 0.92432 52.078 0 0
4.7 0.91358 51.274 0 0
4.6 0.89502 50.5 0 0
4.5 0.87891 49.688 0 0
4.4 0.86426 48.946 0 0
4.3 0.84327 48.141 0 0
4.2 0.82618 47.383 0 0
4.1 0.81104 46.617 0 0
4 0.79395 45.821 0 0
3.9 0.77637 45.055 0 0
3.8 0.75831 44.258 0 0
3.7 0.73487 43.492 0 0
3.6 0.72413 42.68 0 0
3.5 0.71045 41.914 0 0
3.4 0.6875 41.141 0 0
3.3 0.67237 40.336 0 0
3.2 0.65235 39.578 0 0
3.1 0.63575 38.789 0 0
3 0.61719 37.992 0 0
2.9 0.59717 37.235 0 0
2.8 0.57911 36.453 0 0
2.7 0.5625 35.649 0 0
2.6 0.54395 34.883 0 0
2.5 0.52686 34.11 0 0
2.4 0.50733 33.36 0 0
2.3 0.48926 32.524 0 0
2.2 0.47217 31.766 0 0
2.1 0.44922 31.016 0 0
2 0.43506 30.195 0 0
1.9 0.41651 29.406 0 0
1.8 0.3999 28.649 0 0
1.7 0.38037 27.844 0 0
1.6 0.36231 27.07 0 0
1.5 0.34082 26.289 0 0
1.4 0.32715 25.492 0 0
1.3 0.30518 24.719 0 0
1.2 0.28711 23.969 0 0
1.1 0.26856 23.195 0 0
1 0.25195 22.391 0 0
0.9 0.23194 21.586 0 0
0.8 0.21191 20.836 0 0
0.7 0.19531 20.039 0 0
0.6 0.17725 19.274 0 0
0.5 0.15869 18.492 0 0
0.4 0.14307 17.727 0 0
0.3 0.12354 16.938 0 0
0.2 0.10254 16.141 0 0
0.1 0.082032 15.367 0 0
5.5511151E-16 0.062989 14.578 0 0
-0.1 0.045899 13.813 0 0
-0.2 0.030274 13.016 0 0
-0.3 0.0073243 12.242 0 0
-0.4 0.012207 11.445 0 0
-0.5 0.030274 10.649 0 0
-0.6 0.050293 9.9063 0 0
-0.7 0.068848 9.1251 0 0
-0.8 0.088379 8.3516 0 0
-0.9 0.10791 7.5782 0 0
-1 0.12842 6.7813 0 0
-1.1 0.14502 5.9922 0 0
-1.2 0.16357 5.2188 0 0
-1.3 0.18164 4.4219 0 0
-1.4 0.2002 3.6484 0 0
-1.5 0.22119 2.8672 0 0
-1.6 0.23975 2.0781 0 0
-1.7 0.25635 1.2813 0 0
-1.8 0.2749 0.53907 0 0
-1.9 0.2959 -0.25 0 0
-2 0.31152 -1.0391 0 0
-2.1 0.33399 -1.7891 0 0
-2.2 0.35156 -2.5938 0 0
-2.3 0.36524 -3.3516 0 0
-2.4 0.3877 -4.1641 0 0
-2.5 0.4043 -4.9375 0 0
-2.6 0.41992 -5.7188 0 0
-2.7 0.4419 -6.5 0 0
-2.8 0.45996 -7.2969 0 0
-2.9 0.47364 -8.0626 0 0
-3 0.49512 -8.8438 0 0
-3.1 0.51612 -9.6094 0 0
-3.2 0.53125 -10.406 0 0
-3.3 0.54834 -11.172 0 0
-3.4 0.56788 -11.953 0 0
-3.5 0.58692 -12.727 0 0
-3.6 0.60498 -13.5 0 0
-3.7 0.61866 -14.289 0 0
-3.8 0.63868 -15.055 0 0
-3.9 0.65528 -15.859 0 0
-4 0.67237 -16.641 0 0
-4.1 0.69092 -17.445 0 0
-4.2 0.71045 -18.203 0 0
-4.3 0.72461 -18.977 0 0
-4.4 0.74414 -19.735 0 0
-4.5 0.76075 -20.539 0 0
-4.6 0.77637 -21.32 0 0
-4.7 0.79493 -22.11 0 0
-4.8 0.80957 -22.899 0 0
-4.9 0.82813 -23.656 0 0
-5 0.84327 -24.453 0 0
-5.1 0.86328 -25.235 0 0
-5.2 0.87989 -26.008 0 0
-5.3 0.89551 -26.789 0 0
-5.4 0.91504 -27.586 0 0
-5.5 0.9292 -28.336 0 0
-5.6 0.94727 -29.117 0 0
-5.7 0.96387 -29.938 0 0
-5.8 0.97901 -30.695 0 0
-5.9 0.9961 -31.461 0 0
-6 1.0142 -32.25 0 0
-6.1 1.0303 -33.055 0 0
-6.2 1.0483 -33.844 0 0
-6.3 1.0615 -34.602 0 0
-6.4 1.0786 -35.367 0 0
-6.5 1.0943 -36.149 0 0
-6.6 1.1123 -36.922 0 0
-6.7 1.126 -37.719 0 0
-6.8 1.1455 -38.524 0 0
-6.9 1.1582 -39.313 0 0
-7 1.1753 -40.071 0 0
-7.1 1.19 -40.836 0 0
-7.2 1.2056 -41.617 0 0
-7.3 1.2193 -42.407 0 0
-7.4 1.2378 -43.164 0 0
-7.5 1.25 -43.985 0 0
-7.6 1.2695 -44.742 0 0
-7.7 1.2822 -45.524 0 0
-7.8 1.2974 -46.313 0 0
-7.9 1.3125 -47.094 0 0
-8 1.3291 -47.852 0 0
-8.1 1.3433 -48.664 0 0
-8.2 1.3584 -49.414 0 0
-8.3 1.3692 -50.211 0 0
-8.4 1.3828 -51 0 0
-8.5 1.3999 -51.766 0 0
-8.6 1.4131 -52.578 0 0
-8.7 1.4253 -53.321 0 0
-8.8 1.4409 -54.125 0 0
-8.9 1.4561 -54.899 0 0
-9 1.4697 -55.649 0 0
-9.1 1.4854 -56.438 0 0
-9.2 1.4976 -57.258 0 0
-9.3 1.5093 -58.016 0 0
-9.4 1.5205 -58.805 0 0
-9.5 1.5371 -59.578 0 0
-9.6 1.5479 -60.407 0 0
-9.7 1.5615 -61.188 0 0
-9.8 1.5752 -61.961 0 0
-9.9 1.5845 -62.813 0 0
-10 1.5938 -63.602 0 0
