Ieff(90deg) AUX DEG
9.76 1.794 -59.516
9.76 1.7876 -60.258
9.14 1.6929 -61.032
8.49 1.5933 -61.805
7.9 1.4985 -62.61
7.3 1.4038 -63.36
6.74 1.3032 -64.133
6.74 1.3018 -64.876
6.14 1.2012 -65.688
5.49 1.0908 -66.446
5.04 1.0083 -67.219
4.64 0.93946 -67.993
3.93 0.80957 -68.774
3.93 0.81104 -69.54
3.06 0.6543 -70.305
2.25 0.50391 -71.071
1.9 0.43994 -71.813
1.7 0.40332 -72.61
1.01 0.27588 -73.391
0.51 0.1875 -74.157
0 0.098633 -74.907
-0.49 0.0039063 -75.688
-0.99 0.097657 -76.469
-1.47 0.18652 -77.219
-2.04 0.29151 -77.993
-2.57 0.3877 -78.774
-2.86 0.43994 -79.547
-3.68 0.58838 -80.29
-4.24 0.69336 -81.102
-4.24 0.6919 -81.844
-4.78 0.78858 -82.594
-5.32 0.87989 -83.383
-5.88 0.97901 -84.149
-6.48 1.0776 -84.93
-7.07 1.1797 -85.704
-7.64 1.2725 -86.461
-8.23 1.3692 -87.211
-8.23 1.3735 -88.024
-8.86 1.4673 -88.774
-9.48 1.5679 -89.555
-10.13 1.6699 -90.329
