Alpha(210mT) AUX DEG
270 0.0029297 41.93
264.98 0.018555 41.18
260.11 0.034668 40.391
255.18 0.05127 39.641
250.27 0.063965 38.852
245.33 0.081055 38.102
240.37 0.10059 37.313
235.27 0.11768 36.524
230.29 0.1294 35.774
225.27 0.14795 35.024
220.35 0.15576 33.641
215.31 0.16602 32.891
210.4 0.17676 32.102
205.5 0.18457 31.336
200.43 0.19385 30.578
195.44 0.19971 29.797
190.25 0.20313 29.008
185.25 0.20459 28.235
179.86 0.20947 27.492
174.8 0.20654 26.688
169.87 0.20459 25.914
164.84 0.20313 25.164
159.94 0.19727 24.375
154.84 0.18799 23.61
149.99 0.1836 22.852
144.98 0.1709 22.102
140.01 0.16309 21.328
135.23 0.14795 20.539
130.09 0.13867 19.766
124.98 0.12354 18.985
120.06 0.10986 18.227
115.31 0.093262 17.477
110.14 0.076661 16.703
105.31 0.057617 15.914
100.09 0.042969 15.149
95.07 0.020996 14.399
89.89 0.0029297 13.633
84.77 0.016602 12.852
79.63 0.032227 12.094
74.74 0.05127 11.274
69.79 0.063965 10.524
64.89 0.081055 9.7735
59.93 0.10352 8.9844
54.95 0.11865 8.2188
50 0.13232 7.4532
45.1 0.14649 6.6641
40.09 0.15527 5.9141
35.09 0.16797 5.1328
30.23 0.17969 4.3438
25.26 0.18799 3.6016
20.3 0.19092 2.8203
15.37 0.20166 2.0469
10.13 0.20654 1.2656
5.16 0.20557 0.53125
-0.02 0.20752 -0.25
-5.02 0.20752 -1.0313
-9.97 0.20264 -1.7656
-15.05 0.20166 -2.5469
-19.94 0.19385 -3.3281
-24.77 0.1875 -4.1016
-29.82 0.18604 -4.8438
-34.69 0.1709 -5.625
-39.65 0.16211 -6.4141
-44.54 0.15235 -7.1953
-49.55 0.14209 -8.5469
-54.52 0.12207 -9.3126
-60.43 0.10645 -10.063
-65.36 0.089844 -10.836
-70.36 0.073243 -11.586
-75.42 0.053223 -12.406
-80.46 0.036621 -13.164
-85.42 0.020996 -13.93
-90 0.0078126 -14.703
270 0.0039063 -15.836
264.98 0.013672 -16.586
260.11 0.034668 -17.391
255.18 0.05127 -18.156
250.27 0.069825 -18.906
245.33 0.08252 -19.68
240.37 0.10205 -20.477
235.27 0.11621 -21.219
230.29 0.13281 -22.039
225.27 0.1416 -22.758
220.35 0.1543 -24.125
215.31 0.16895 -24.883
210.4 0.17578 -25.656
205.5 0.1875 -26.422
200.43 0.19238 -27.195
195.44 0.19873 -27.961
190.25 0.20459 -28.727
185.25 0.20947 -29.5
179.86 0.20166 -30.274
174.8 0.20752 -31.039
169.87 0.20313 -31.805
164.84 0.20264 -32.578
159.94 0.19531 -33.375
154.84 0.1919 -34.125
149.99 0.18018 -34.891
144.98 0.17383 -35.688
140.01 0.16211 -36.43
135.23 0.1499 -37.188
130.09 0.13721 -37.992
124.98 0.12061 -38.735
120.06 0.11133 -39.516
115.31 0.094239 -40.266
110.14 0.074219 -41.094
105.31 0.057617 -41.844
100.09 0.043946 -42.594
95.07 0.021485 -43.344
89.89 0.0043946 -44.133
84.77 0.013672 -44.914
79.63 0.033203 -45.696
74.74 0.048828 -46.485
69.79 0.06836 -47.235
64.89 0.084961 -47.985
59.93 0.09961 -48.774
54.95 0.11426 -49.532
50 0.13086 -50.313
45.1 0.14795 -51.071
40.09 0.1543 -51.844
35.09 0.16895 -52.633
30.23 0.17529 -53.383
25.26 0.18652 -54.133
20.3 0.19727 -54.93
15.37 0.19824 -55.688
10.13 0.20264 -56.453
5.16 0.20459 -57.227
-0.02 0.20654 -58.032
-5.02 0.20654 -58.805
-9.97 0.20264 -59.555
-15.05 0.20166 -60.328
-19.94 0.19531 -61.078
-24.77 0.19238 -61.844
-29.82 0.18311 -62.633
-34.69 0.17432 -63.438
-39.65 0.16309 -64.165
-44.54 0.15088 -64.938
-49.55 0.13623 -66.266
-54.52 0.12354 -67.071
-60.43 0.10693 -67.821
-65.36 0.086915 -68.61
-70.36 0.071778 -69.376
-75.42 0.055176 -70.141
-80.46 0.036133 -70.907
-85.42 0.019531 -71.672
-90 0.0043946 -72.454
