%Alpha(207mT) X DEG X DEG
0.33 -0.0010834 90.188 0.15656 0.88282
4.95 -0.0045281 90.821 0.15656 0.89844
10.74 -0.0080949 91.485 0.15656 0.77344
15.51 -0.011517 92.102 0.15656 0.97657
20.33 -0.013802 92.516 0.15662 0.875
25.03 -0.01619 92.961 0.15662 0.92188
29.88 -0.018242 93.336 0.15668 0.88282
35.78 -0.02058 93.766 0.15662 0.96094
40.62 -0.021824 93.993 0.15668 0.97657
45.24 -0.023377 94.282 0.15674 1.0078
50.19 -0.024288 94.446 0.15674 1.0469
55.1 -0.025055 94.586 0.1568 1.0469
59.87 -0.025566 94.665 0.1568 1.0547
65.74 -0.025326 94.618 0.15692 0.97657
70.61 -0.024635 94.493 0.15698 0.875
75.67 -0.022888 94.172 0.15698 0.85157
80.63 -0.02047 93.727 0.1571 0.79688
84.84 -0.017796 93.235 0.1571 0.8125
90.17 -0.013043 92.368 0.1571 0.67188
95.43 -0.009018 91.641 0.15723 0.64844
100.55 -0.0055886 91.016 0.15723 0.57813
105.52 -0.0027771 90.501 0.15723 0.50782
110.74 -0.00053025 90.086 0.15723 0.53907
115.67 0.001503 89.719 0.15723 0.46875
120.83 0.0034828 89.36 0.15717 0.42188
124.87 0.0047608 89.126 0.15723 0.38281
129.94 0.0064698 88.821 0.15729 0.23438
134.97 0.0071068 88.696 0.15717 0.32813
140.15 0.0079919 88.54 0.1571 0.32813
145.31 0.0089074 88.376 0.15723 0.1875
150.33 0.0093537 88.29 0.15717 0.22656
155.35 0.0091057 88.329 0.1571 0.28906
160.41 0.0079652 88.54 0.15698 0.48438
165.43 0.0069619 88.719 0.15686 0.51563
170.55 0.0051193 89.055 0.15686 0.55469
175.58 0.0021286 89.602 0.15668 0.71875
180.67 -0.0018234 90.329 0.15662 0.85938
185.75 -0.0051766 90.938 0.15662 0.8125
189.81 -0.0086213 91.571 0.15656 0.90625
195.65 -0.012245 92.243 0.15662 0.98438
200.44 -0.014896 92.727 0.15662 0.92188
205.23 -0.017395 93.188 0.15668 0.94532
210.07 -0.019207 93.508 0.15668 0.85157
215.02 -0.021813 93.993 0.15662 1.0078
220.8 -0.023316 94.266 0.15668 0.95313
225.5 -0.024658 94.508 0.15674 1
230.33 -0.026196 94.797 0.15674 1.1406
235.29 -0.026741 94.891 0.15668 1.0938
240.1 -0.027096 94.946 0.15686 1.0156
244.97 -0.027 94.93 0.15692 1.0313
249.86 -0.026051 94.751 0.15692 0.90625
254.93 -0.024399 94.454 0.15698 0.79688
259.85 -0.022343 94.071 0.1571 0.74219
265.19 -0.018879 93.438 0.15704 0.77344
270.38 -0.013901 92.524 0.15723 0.61719
275.55 -0.0099793 91.805 0.15723 0.5625
280.55 -0.0068932 91.251 0.15717 0.53125
285.57 -0.0034332 90.618 0.15723 0.38281
290.77 -0.0016251 90.29 0.15723 0.48438
295.75 0.00075913 89.852 0.15729 0.4375
299.81 0.0023842 89.563 0.15723 0.33594
304.92 0.0038071 89.297 0.15723 0.27344
310 0.0051613 89.055 0.15723 0.33594
315.24 0.0061303 88.876 0.15723 0.25
320.32 0.0073967 88.649 0.15723 0.20313
325.41 0.0082627 88.485 0.15723 0.10156
330.43 0.0088425 88.383 0.15723 0.054688
335.31 0.0086823 88.407 0.1571 0.22656
340.56 0.0079537 88.547 0.15704 0.3125
345.36 0.006527 88.797 0.15698 0.39844
350.51 0.0043831 89.196 0.15686 0.63282
355.65 0.0018616 89.649 0.1568 0.63282
360.33 -0.0015221 90.274 0.15668 0.77344
0.33 -0.0019035 90.336 0.15662 0.92188
4.95 -0.0052681 90.961 0.15668 0.85938
10.74 -0.0093728 91.704 0.15662 0.92188
15.51 -0.012604 92.305 0.15656 0.96094
20.33 -0.014759 92.696 0.15662 0.85938
25.03 -0.017487 93.204 0.15662 0.9375
29.88 -0.018982 93.469 0.15662 0.89844
