#Alpha(207mT) X DEG X DEG
0.33 -0.0020638 90.376 0.15735 0.5625
4.95 -0.0045166 90.836 0.15729 0.55469
10.74 -0.0087662 91.633 0.15729 0.625
15.51 -0.011879 92.211 0.15729 0.64063
20.33 -0.016403 93.063 0.15723 0.74219
25.03 -0.019127 93.571 0.15723 0.75
29.88 -0.022606 94.219 0.15717 0.70313
35.78 -0.026577 94.961 0.15717 0.70313
40.62 -0.030106 95.618 0.15717 0.72657
45.24 -0.03336 96.219 0.1571 0.82032
50.19 -0.036553 96.813 0.15723 0.74219
55.1 -0.039986 97.454 0.15704 0.94532
59.87 -0.042408 97.899 0.1571 0.92969
65.74 -0.045071 98.368 0.15723 0.79688
70.61 -0.046864 98.696 0.15729 0.64063
75.67 -0.048088 98.907 0.15741 0.59375
80.63 -0.047928 98.876 0.15747 0.46875
84.84 -0.047318 98.751 0.15759 0.51563
90.17 -0.043904 98.118 0.15766 0.42188
95.43 -0.039925 97.383 0.15772 0.34375
100.55 -0.035683 96.594 0.15778 0.25781
105.52 -0.031643 95.852 0.15778 0.1875
110.74 -0.028179 95.219 0.15778 0.14844
115.67 -0.025212 94.665 0.15778 0.22656
120.83 -0.021561 93.985 0.15778 0.16406
124.87 -0.018353 93.399 0.15784 0.03125
129.94 -0.015541 92.876 0.15784 0.0078126
134.97 -0.012539 92.313 0.15784 0.046875
140.15 -0.0098267 91.813 0.15784 0
145.31 -0.0067711 91.251 0.1579 -0.062501
150.33 -0.0040551 90.743 0.15784 -0.10938
155.35 -0.0020332 90.376 0.15778 -0.039063
160.41 -0.00055313 90.094 0.15772 0.10156
165.43 0.00055313 89.891 0.15759 0.23438
170.55 0.0010147 89.805 0.15759 0.32031
175.58 -7.248E-5 90.008 0.15735 0.53907
180.67 -0.0022354 90.415 0.15735 0.66407
185.75 -0.0048828 90.907 0.15729 0.59375
189.81 -0.0077668 91.446 0.15723 0.625
195.65 -0.012516 92.336 0.1571 0.70313
200.44 -0.016258 93.032 0.1571 0.71875
205.23 -0.019974 93.727 0.15717 0.72657
210.07 -0.022945 94.282 0.15717 0.6875
215.02 -0.027085 95.055 0.1571 0.77344
220.8 -0.031075 95.797 0.15717 0.75
225.5 -0.034222 96.368 0.15723 0.76563
230.33 -0.037648 97.016 0.1571 0.8125
235.29 -0.040432 97.532 0.1571 0.85157
240.1 -0.043492 98.094 0.15704 0.89844
244.97 -0.04617 98.586 0.1571 0.90625
249.86 -0.047779 98.86 0.15729 0.71875
254.93 -0.049099 99.094 0.15735 0.61719
259.85 -0.049462 99.141 0.15735 0.60157
265.19 -0.047776 98.829 0.15753 0.4375
270.38 -0.045014 98.321 0.15753 0.46875
275.55 -0.040539 97.501 0.15766 0.32031
280.55 -0.037361 96.915 0.15759 0.4375
285.57 -0.033276 96.165 0.15766 0.34375
290.77 -0.029144 95.399 0.15772 0.22656
295.75 -0.025986 94.813 0.15778 0.22656
299.81 -0.02319 94.29 0.15772 0.20313
304.92 -0.020054 93.704 0.15772 0.1875
310 -0.0163 93.008 0.15778 0.046875
315.24 -0.012692 92.344 0.15778 -0.015625
320.32 -0.0098687 91.821 0.15784 -0.054688
325.41 -0.0075722 91.399 0.15778 0.0078126
330.43 -0.0044022 90.813 0.15778 -0.078126
335.31 -0.0023766 90.43 0.15772 0
340.56 -0.00057984 90.094 0.15766 0.093751
345.36 0.00064469 89.868 0.15753 0.22656
350.51 0.0010758 89.797 0.15741 0.32813
355.65 0.0001297 89.969 0.15729 0.50782
360.33 -0.00081253 90.141 0.15723 0.50782
0.33 -0.00053025 90.094 0.15717 0.46875
4.95 -0.0032044 90.594 0.1571 0.51563
10.74 -0.0079652 91.485 0.15704 0.625
15.51 -0.011612 92.157 0.1571 0.65625
20.33 -0.015053 92.813 0.15704 0.64063
25.03 -0.018238 93.391 0.15704 0.65625
29.88 -0.021462 93.993 0.1571 0.625
35.78 -0.026268 94.907 0.15698 0.72657
40.62 -0.029522 95.508 0.15698 0.72657
45.24 -0.032532 96.063 0.15698 0.74219
50.19 -0.035961 96.704 0.15698 0.79688
55.1 -0.038712 97.211 0.15698 0.78907
59.87 -0.04163 97.751 0.15698 0.875
65.74 -0.043759 98.126 0.15717 0.61719
70.61 -0.045899 98.516 0.15723 0.625
75.67 -0.047112 98.727 0.15729 0.50782
80.63 -0.047943 98.876 0.15735 0.55469
84.84 -0.04636 98.579 0.15741 0.46875
90.17 -0.042912 97.946 0.15747 0.33594
95.43 -0.038803 97.18 0.15747 0.22656
100.55 -0.035366 96.547 0.15759 0.23438
105.52 -0.031452 95.821 0.15766 0.22656
110.74 -0.027493 95.086 0.15759 0.17969
115.67 -0.024037 94.446 0.15766 0.17969
120.83 -0.0215 93.985 0.15766 0.20313
124.87 -0.018383 93.399 0.15766 0.14844
129.94 -0.014923 92.758 0.15772 0
134.97 -0.012386 92.29 0.15772 0.023438
140.15 -0.0090562 91.665 0.15772 -0.078126
145.31 -0.0059891 91.102 0.15766 -0.10156
150.33 -0.0031891 90.579 0.15766 -0.17188
155.35 -0.0016403 90.297 0.15759 -0.015625
160.41 0.0002594 89.946 0.15753 0.0078126
165.43 0.0008812 89.829 0.15735 0.23438
170.55 0.0016365 89.688 0.15735 0.25
175.58 0.00016403 89.961 0.15723 0.50782
180.67 -0.0011177 90.204 0.1571 0.46875
185.75 -0.0046502 90.86 0.15698 0.60938
189.81 -0.0078164 91.461 0.15692 0.72657
195.65 -0.012096 92.251 0.15698 0.67969
200.44 -0.015946 92.985 0.15692 0.72657
205.23 -0.019161 93.579 0.15698 0.65625
210.07 -0.022587 94.211 0.15686 0.72657
215.02 -0.025887 94.821 0.15692 0.69532
220.8 -0.030365 95.649 0.15686 0.77344
225.5 -0.033486 96.243 0.15686 0.78907
230.33 -0.036316 96.735 0.15686 0.79688
235.29 -0.039906 97.407 0.15686 0.92188
240.1 -0.042343 97.86 0.15692 0.78907
244.97 -0.04448 98.243 0.15692 0.65625
249.86 -0.046421 98.594 0.15692 0.61719
254.93 -0.047646 98.821 0.15704 0.46875
259.85 -0.048393 98.946 0.1571 0.46875
265.19 -0.046879 98.665 0.15729 0.35938
270.38 -0.043782 98.094 0.15735 0.3125
275.55 -0.039566 97.313 0.15741 0.20313
280.55 -0.036377 96.735 0.15741 0.25781
285.57 -0.032162 95.954 0.15741 0.14844
290.77 -0.02874 95.313 0.15747 0.14063
295.75 -0.025128 94.657 0.15747 0.11719
299.81 -0.021782 94.024 0.15747 -0.015625
304.92 -0.01825 93.376 0.15753 -0.039063
310 -0.015007 92.774 0.15747 -0.10938
315.24 -0.011776 92.172 0.15753 -0.17188
320.32 -0.0096627 91.79 0.15741 -0.078126
325.41 -0.0065766 91.211 0.15753 -0.10938
330.43 -0.0041466 90.758 0.15759 -0.13281
335.31 -0.0018997 90.344 0.15741 -0.015625
340.56 -0.00031281 90.047 0.15735 0.03125
345.36 0.00077439 89.852 0.15723 0.21094
350.51 0.0014534 89.719 0.1571 0.23438
355.65 0.00072098 89.86 0.15704 0.38281
360.33 -0.00067521 90.118 0.15698 0.48438
0.33 -0.00079346 90.141 0.15698 0.46875
4.95 -0.0036163 90.672 0.15692 0.5625
10.74 -0.0080033 91.485 0.15686 0.65625
15.51 -0.011459 92.133 0.15674 0.59375
20.33 -0.014977 92.805 0.15674 0.67969
25.03 -0.017891 93.344 0.15674 0.53125
29.88 -0.021835 94.079 0.15674 0.60938
35.78 -0.026356 94.922 0.15674 0.70313
40.62 -0.02972 95.555 0.15662 0.76563
45.24 -0.032696 96.11 0.15668 0.76563
50.19 -0.036019 96.727 0.15662 0.82032
55.1 -0.039009 97.282 0.15662 0.875
59.87 -0.041626 97.766 0.15662 0.85938
65.74 -0.044216 98.235 0.15674 0.78907
70.61 -0.04583 98.516 0.15686 0.65625
75.67 -0.047283 98.774 0.15692 0.60938
80.63 -0.047253 98.766 0.15698 0.53907
84.84 -0.045963 98.516 0.15698 0.44531
90.17 -0.042713 97.922 0.1571 0.35156
95.43 -0.038754 97.18 0.15717 0.3125
100.55 -0.034802 96.446 0.15723 0.21094
105.52 -0.031231 95.782 0.15723 0.23438
110.74 -0.027363 95.079 0.15723 0.1875
115.67 -0.023987 94.454 0.15723 0.125
120.83 -0.02029 93.758 0.15723 0.093751
124.87 -0.017601 93.266 0.15729 0.0078126
129.94 -0.014622 92.704 0.15729 0
134.97 -0.011868 92.196 0.15729 0.0078126
140.15 -0.0088273 91.633 0.15729 -0.03125
145.31 -0.0059662 91.094 0.15729 -0.078126
150.33 -0.0037003 90.68 0.15723 -0.062501
155.35 -0.0013809 90.251 0.15723 -0.015625
160.41 -0.00014114 90.016 0.1571 0.14844
165.43 0.0014076 89.727 0.15704 0.14844
170.55 0.0016747 89.68 0.15686 0.3125
175.58 0.00092698 89.821 0.1568 0.4375
180.67 -0.0010338 90.188 0.15668 0.50782
185.75 -0.0042725 90.797 0.15662 0.61719
189.81 -0.0071335 91.329 0.15662 0.63282
195.65 -0.011448 92.133 0.15656 0.60938
200.44 -0.015026 92.805 0.15656 0.60938
205.23 -0.018803 93.516 0.15656 0.60938
210.07 -0.02256 94.219 0.1565 0.67969
215.02 -0.026299 94.922 0.15643 0.70313
220.8 -0.030411 95.68 0.15643 0.72657
225.5 -0.033669 96.29 0.15643 0.75
230.33 -0.036976 96.907 0.15643 0.79688
235.29 -0.040127 97.493 0.15643 0.83594
240.1 -0.043026 98.024 0.15643 0.85938
244.97 -0.045212 98.422 0.15656 0.71875
249.86 -0.047249 98.79 0.15662 0.65625
254.93 -0.048321 98.985 0.15668 0.60938
259.85 -0.048687 99.032 0.15674 0.46094
265.19 -0.047173 98.751 0.15686 0.40625
270.38 -0.044079 98.18 0.15686 0.375
275.55 -0.040108 97.43 0.15692 0.3125
280.55 -0.036396 96.751 0.15704 0.21094
285.57 -0.031952 95.93 0.15704 0.078126
290.77 -0.02821 95.235 0.15704 0.070313
295.75 -0.025509 94.743 0.15698 0.1875
299.81 -0.022579 94.196 0.15704 0.14844
304.92 -0.019077 93.54 0.1571 0.03125
310 -0.015846 92.938 0.15704 -0.015625
315.24 -0.012425 92.297 0.1571 -0.13281
320.32 -0.0095788 91.766 0.1571 -0.10938
325.41 -0.0066796 91.235 0.15704 -0.15625
330.43 -0.004097 90.758 0.15698 -0.14844
335.31 -0.0023003 90.422 0.15698 -0.062501
340.56 -0.00026703 90.04 0.15692 -0.015625
345.36 0.00065232 89.883 0.15686 0.125
350.51 0.0010033 89.805 0.15674 0.28125
355.65 0.00045777 89.907 0.15662 0.38281
360.33 -0.0012779 90.235 0.1565 0.50782
