#Alpha(207mT) X DEG X DEG
0.33 -0.0067902 92.079 0.12964 0.55469
4.95 -0.0063248 91.946 0.12969 0.5625
10.74 -0.0045777 91.407 0.12965 0.64063
15.51 -0.0025025 90.766 0.12969 0.59375
20.33 -0.00034332 90.102 0.12972 0.59375
25.03 0.0022125 89.313 0.1297 0.64063
29.88 0.004921 88.485 0.12976 0.59375
35.78 0.0085602 87.376 0.12975 0.59375
40.62 0.011223 86.563 0.12975 0.63282
45.24 0.013291 85.922 0.12961 0.71875
50.19 0.01635 85.001 0.12959 0.78125
55.1 0.018852 84.243 0.12961 0.79688
59.87 0.021278 83.501 0.12963 0.79688
65.74 0.025421 82.251 0.12969 0.52344
70.61 0.027802 81.547 0.12966 0.64063
75.67 0.030174 80.805 0.12972 0.46094
80.63 0.032227 80.204 0.12974 0.45313
84.84 0.033234 79.899 0.12968 0.375
90.17 0.032791 80.024 0.12967 0.3125
95.43 0.030693 80.626 0.12966 0.3125
100.55 0.028938 81.133 0.12971 0.16406
105.52 0.025978 82.016 0.12971 0.21875
110.74 0.023499 82.774 0.12966 0.25781
115.67 0.021019 83.516 0.12962 0.23438
120.83 0.018692 84.227 0.12975 0.0078126
124.87 0.016632 84.868 0.12973 0.015625
129.94 0.014015 85.657 0.12977 -0.03125
134.97 0.01117 86.532 0.12982 -0.023438
140.15 0.0086518 87.313 0.12988 -0.125
145.31 0.0061951 88.071 0.12987 -0.25781
150.33 0.0037079 88.844 0.12997 -0.3125
155.35 0.00024414 89.915 0.12982 -0.054688
160.41 -0.0024872 90.758 0.12984 0.015625
165.43 -0.0052872 91.641 0.12973 0.23438
170.55 -0.0075302 92.321 0.12966 0.42188
175.58 -0.0089265 92.743 0.12969 0.4375
180.67 -0.0098572 93.032 0.12966 0.59375
185.75 -0.0089646 92.751 0.12975 0.48438
189.81 -0.0074921 92.282 0.12972 0.53907
195.65 -0.005867 91.797 0.12966 0.64844
200.44 -0.0036545 91.118 0.12974 0.61719
205.23 -0.0012512 90.376 0.12972 0.60938
210.07 0.00096131 89.696 0.12966 0.69532
215.02 0.0035324 88.907 0.12976 0.71875
220.8 0.0065461 87.993 0.12973 0.80469
225.5 0.0093461 87.133 0.12976 0.72657
230.33 0.012161 86.274 0.12974 0.77344
235.29 0.014641 85.524 0.12971 0.89844
240.1 0.017746 84.579 0.12979 0.6875
244.97 0.020203 83.829 0.12978 0.70313
249.86 0.023094 82.961 0.12971 0.71094
254.93 0.025192 82.313 0.12985 0.57032
259.85 0.027382 81.657 0.12985 0.45313
265.19 0.028275 81.376 0.12978 0.49219
270.38 0.028053 81.446 0.12972 0.55469
275.55 0.026566 81.868 0.12982 0.38281
280.55 0.024483 82.485 0.12976 0.35938
285.57 0.022255 83.157 0.12987 0.26563
290.77 0.019623 83.946 0.12977 0.32813
295.75 0.017639 84.555 0.12975 0.22656
