#Alpha(207mT) X DEG X DEG
0.33 0.003067 89.211 0.18042 1.8516
4.95 0.009163 87.657 0.18039 1.9609
10.74 0.016346 85.836 0.18021 2.1719
15.51 0.02097 84.665 0.18002 2.4453
20.33 0.026825 83.204 0.18002 2.4531
25.03 0.032238 81.844 0.18012 2.3516
29.88 0.036106 80.899 0.18015 2.5
35.78 0.040909 79.719 0.18012 2.5469
40.62 0.044651 78.813 0.18012 2.4844
45.24 0.04694 78.274 0.18018 2.6563
50.19 0.049046 77.751 0.18015 2.7109
55.1 0.051255 77.235 0.1803 2.6875
59.87 0.053131 76.782 0.18042 2.5547
65.74 0.053326 76.751 0.18045 2.6406
70.61 0.054226 76.524 0.1806 2.4219
75.67 0.051812 77.11 0.18073 2.3906
80.63 0.04776 78.094 0.18073 2.3359
84.84 0.041668 79.579 0.18082 2.3984
90.17 0.033551 81.579 0.18094 2.2734
95.43 0.025955 83.454 0.18103 2.1406
100.55 0.019467 85.071 0.18112 2.0234
105.52 0.013043 86.696 0.18112 2.0469
110.74 0.0072213 88.165 0.18103 2.0781
115.67 0.0031815 89.188 0.18118 1.9453
120.83 -0.0010071 90.251 0.18112 1.9609
124.87 -0.0036125 90.915 0.18118 1.9219
129.94 -0.006115 91.54 0.18118 1.7969
134.97 -0.0088997 92.251 0.18109 1.8438
140.15 -0.010742 92.727 0.18118 1.7031
145.31 -0.011986 93.032 0.18118 1.6484
150.33 -0.012947 93.29 0.18106 1.6875
155.35 -0.013153 93.336 0.18112 1.6094
160.41 -0.013592 93.438 0.181 1.7969
165.43 -0.012001 93.04 0.18094 1.8516
170.55 -0.010475 92.649 0.18076 2.1406
175.58 -0.0061493 91.555 0.18063 2.2344
180.67 -0.00037003 90.086 0.18036 2.4531
185.75 0.0082741 87.883 0.18054 2.2969
189.81 0.013279 86.626 0.18042 2.4688
195.65 0.021229 84.61 0.18048 2.4453
200.44 0.027683 83.001 0.18042 2.4141
205.23 0.033287 81.61 0.18045 2.375
210.07 0.036965 80.711 0.18045 2.5547
215.02 0.041642 79.563 0.18048 2.4844
