Alpha(210mT) X DEG X DEG
270 0.00036907 87.266 0.60547 -0.92188
264.98 0.00046158 86.672 0.60535 -0.92188
260.11 2.6703E-5 89.782 0.60498 -0.92969
255.18 -0.00056267 94.29 0.6048 -0.92188
250.27 -7.0572E-5 90.524 0.60456 -0.92188
245.33 -0.00068665 95.094 0.60419 -0.92188
240.37 -0.00078011 95.876 0.60407 -0.92188
235.27 -0.00048161 93.719 0.60389 -0.91407
230.29 -0.00041104 93.11 0.60346 -0.91407
225.27 0.000247 87.969 0.6034 -0.90625
220.35 0.00045395 86.415 0.60303 -0.90625
215.31 0.00094128 82.805 0.60279 -0.90625
210.4 0.001401 79.251 0.6026 -0.90625
205.5 0.0016937 77.008 0.60236 -0.90625
200.43 0.002449 71.547 0.60224 -0.90625
195.44 0.0026207 70.024 0.60199 -0.90625
190.25 0.0025501 70.586 0.60163 -0.90625
185.25 0.0026808 69.641 0.60157 -0.89844
179.86 0.0035219 63.891 0.60132 -0.90625
174.8 0.004304 58.477 0.60114 -0.89844
169.87 0.0046387 56.578 0.60102 -0.89063
164.84 0.004817 55.844 0.60089 -0.89063
159.94 0.0051995 53.446 0.60077 -0.89844
154.84 0.0057268 50.524 0.60053 -0.89063
149.99 0.0061331 48.063 0.60059 -0.89063
144.98 0.0064411 46.68 0.60047 -0.89844
140.01 0.0071078 43.383 0.60028 -0.89844
135.23 0.007123 43.336 0.6001 -0.89844
130.09 0.0070973 43.727 0.59998 -0.89063
124.98 0.0071202 43.305 0.5998 -0.89063
120.06 0.0071678 43.407 0.59961 -0.89063
115.31 0.0065031 46.391 0.59949 -0.89063
110.14 0.0065565 46.367 0.59943 -0.89063
105.31 0.0066128 45.61 0.59925 -0.88282
100.09 0.0062485 47.508 0.59906 -0.88282
95.07 0.0062027 48.117 0.59906 -0.88282
89.89 0.0060921 48.266 0.59894 -0.88282
84.77 0.0057478 49.805 0.5987 -0.88282
79.63 0.005888 49.571 0.59876 -0.875
74.74 0.0056906 50.836 0.59858 -0.88282
69.79 0.0052252 53.024 0.59827 -0.875
64.89 0.0050421 54.032 0.59827 -0.875
59.93 0.0053711 52.453 0.59827 -0.86719
54.95 0.0054798 51.547 0.59803 -0.875
50 0.0053826 51.953 0.5979 -0.86719
45.1 0.0056 50.977 0.5979 -0.85938
40.09 0.0056439 50.93 0.59766 -0.85938
35.09 0.0059634 49.047 0.59766 -0.85938
30.23 0.0056639 50.391 0.59748 -0.86719
25.26 0.0062027 47.836 0.59742 -0.85938
20.3 0.006608 46.203 0.59723 -0.85938
15.37 0.0068379 44.758 0.59723 -0.85938
10.13 0.0077305 41.555 0.59711 -0.85938
5.16 0.0081959 39.508 0.59693 -0.85938
-0.02 0.0084992 38.141 0.59675 -0.85938
-5.02 0.0090552 36.282 0.59681 -0.85157
-9.97 0.0091477 36.024 0.59662 -0.85938
-15.05 0.0095034 34.664 0.59656 -0.85938
-19.94 0.009347 35.125 0.59662 -0.85938
-24.77 0.0094824 34.93 0.59638 -0.85938
-29.82 0.010249 32.657 0.59638 -0.85938
-34.69 0.010235 32.555 0.59626 -0.85938
-39.65 0.010227 32.789 0.5962 -0.85938
-44.54 0.010454 31.813 0.59601 -0.85938
-49.55 0.010791 30.524 0.59595 -0.85938
-54.52 0.010903 30.719 0.59577 -0.85938
-60.43 0.010649 31.469 0.59583 -0.85938
