Alpha(207mT) X DEG X DEG
0.33 7.6294E-5 89.735 0.46289 0.89844
10.74 0.00022125 89.188 0.46277 1.0078
20.33 0.00024414 89.086 0.46277 1.0313
29.88 0.00032807 88.829 0.46265 1.1328
40.62 0.00035858 88.704 0.46247 1.1328
50.19 0.00035095 88.688 0.46253 1.2734
59.87 0.0002594 89.032 0.4624 1.3438
70.61 7.6295E-6 89.946 0.4624 1.1406
80.63 -3.8147E-5 90.11 0.46247 0.96094
90.17 -0.00028229 91.016 0.46253 0.82032
100.55 -0.00050354 91.922 0.46265 0.63282
110.74 -0.00058747 92.204 0.46265 0.64063
120.83 -0.00065613 92.438 0.46265 0.49219
129.94 -0.00076294 92.876 0.46271 0.45313
140.15 -0.00070191 92.665 0.46277 0.42188
150.33 -0.00064087 92.376 0.46289 0.28125
160.41 -0.00036621 91.305 0.46289 0.42188
170.55 -8.3924E-5 90.282 0.46283 0.80469
180.67 0.00020599 89.258 0.46271 1.0234
189.81 0.00043488 88.461 0.46265 1.2344
200.44 0.00062561 87.805 0.46265 1.1875
210.07 0.00096894 86.649 0.46259 1.2734
220.8 0.00096894 86.688 0.46253 1.375
230.33 0.0010758 86.329 0.46253 1.375
240.1 0.0011902 86.008 0.46259 1.4453
249.86 0.0010452 86.493 0.46265 1.3125
259.85 0.00086976 87.016 0.46271 1.1563
270.38 0.0005951 87.938 0.46283 0.85157
280.55 0.00048065 88.344 0.46289 0.8125
290.77 0.00028992 88.985 0.46308 0.71875
299.81 0.00011444 89.547 0.46314 0.5625
310 -0.0001297 90.438 0.4632 0.33594
320.32 -8.3924E-5 90.274 0.46314 0.35938
330.43 -0.00010681 90.344 0.46326 0.28125
340.56 -0.0001297 90.446 0.46314 0.4375
350.51 8.3924E-5 89.711 0.46308 0.72657
360.33 0.00020599 89.266 0.46295 0.96875
0.33 0.00014496 89.485 0.46301 1.0781
10.74 0.00023651 89.157 0.46277 1.1172
20.33 0.00031281 88.868 0.46265 1.2188
29.88 0.00031281 88.907 0.46259 1.2656
40.62 0.00028992 88.922 0.46253 1.2656
50.19 0.00031281 88.86 0.4624 1.3672
59.87 0.00031281 88.868 0.46234 1.4141
70.61 2.2888E-5 89.899 0.46234 1.2656
80.63 -0.00018311 90.665 0.46247 1.0156
90.17 -0.0003891 91.438 0.46247 0.82813
100.55 -0.0004654 91.719 0.46247 0.74219
110.74 -0.00071717 92.672 0.46259 0.75782
120.83 -0.00078583 92.93 0.46265 0.5625
129.94 -0.00070191 92.626 0.46271 0.47656
140.15 -0.00071717 92.688 0.46271 0.35938
150.33 -0.00074006 92.805 0.46283 0.26563
160.41 -0.00053406 92.001 0.46283 0.40625
170.55 -0.00022125 90.797 0.46283 0.69532
180.67 0.00015259 89.422 0.46271 1.0313
189.81 0.00031281 88.868 0.46271 1.0781
200.44 0.00061035 87.891 0.46265 1.1797
210.07 0.00070954 87.516 0.46265 1.1719
220.8 0.00084687 87.063 0.46253 1.2109
230.33 0.00097657 86.672 0.46265 1.3359
240.1 0.0010605 86.391 0.46259 1.4219
249.86 0.00093079 86.829 0.46271 1.2891
259.85 0.00071717 87.579 0.46271 1.1016
270.38 0.00061799 87.899 0.46277 0.91407
280.55 0.00036621 88.735 0.46277 0.77344
290.77 0.0001297 89.532 0.46301 0.64844
299.81 -2.2888E-5 90.086 0.46308 0.5625
310 -0.00010681 90.391 0.46308 0.40625
320.32 -0.00027466 90.946 0.46314 0.26563
330.43 -0.00042725 91.532 0.4632 0.21875
340.56 -0.0002594 90.915 0.46314 0.38281
350.51 -4.5777E-5 90.157 0.46289 0.72657
360.33 0.00013733 89.501 0.46283 0.97657
0.33 3.8147E-5 89.852 0.46289 0.97657
10.74 0.00020599 89.258 0.46283 1.0859
20.33 0.00017548 89.329 0.46271 1.1016
29.88 0.00018311 89.305 0.46265 1.1719
40.62 0.00031281 88.844 0.46253 1.2891
50.19 0.00027466 88.985 0.46253 1.2891
59.87 0.00021362 89.18 0.4624 1.375
70.61 -4.5777E-5 90.11 0.4624 1.2344
80.63 -0.00019074 90.711 0.4624 1.1016
90.17 -0.00029755 91.086 0.46247 0.89063
100.55 -0.00056458 92.071 0.46253 0.76563
110.74 -0.00084687 93.165 0.46265 0.67188
120.83 -0.00078583 92.961 0.46265 0.58594
129.94 -0.0009079 93.422 0.46271 0.41406
140.15 -0.0009079 93.422 0.46283 0.28125
150.33 -0.00079346 93.008 0.46301 0.16406
160.41 -0.00050354 91.852 0.46289 0.40625
170.55 -0.00012207 90.43 0.46289 0.71875
180.67 6.1036E-5 89.751 0.46271 1.0313
189.81 0.00034332 88.766 0.46271 1.0859
200.44 0.00052643 88.133 0.46265 1.1719
210.07 0.00063324 87.782 0.46265 1.2109
220.8 0.00099946 86.571 0.46265 1.2344
230.33 0.00092316 86.836 0.46265 1.3281
240.1 0.00090027 86.93 0.46265 1.4531
249.86 0.00086213 87.063 0.46265 1.2734
259.85 0.00060273 87.915 0.46277 1.0547
270.38 0.0003891 88.618 0.46283 0.875
280.55 0.00018311 89.321 0.46289 0.78907
290.77 3.0518E-5 89.899 0.46301 0.59375
299.81 -9.9183E-5 90.321 0.46301 0.59375
310 -0.00011444 90.344 0.46314 0.5
320.32 -0.00028229 91.016 0.46314 0.26563
330.43 -0.0003357 91.18 0.46326 0.25
340.56 -0.00016022 90.563 0.46308 0.45313
350.51 -5.3406E-5 90.18 0.46308 0.71875
360.33 2.2888E-5 89.922 0.46295 0.92969
