Alpha(207mT) X DEG X DEG
0.33 0.00014496 -88.571 0.20136 1.2891
10.74 0.00021172 -87.969 0.20117 1.4844
20.33 0.00036621 -86.422 0.20142 1.4531
29.88 0.00045967 -85.524 0.20123 1.5469
40.62 0.00046349 -85.516 0.20136 1.5234
50.19 0.00055313 -84.657 0.20136 1.5703
59.87 0.00066376 -83.579 0.20123 1.6094
70.61 0.0006466 -83.758 0.2013 1.5781
80.63 0.00061799 -84.11 0.20142 1.3906
90.17 0.00065995 -83.735 0.20148 1.2109
100.55 0.00057602 -84.461 0.20154 1.2188
110.74 0.00052453 -85.001 0.20148 1.2734
120.83 0.00045967 -85.626 0.20166 1.0781
129.94 0.00043679 -85.852 0.20172 1.0469
140.15 0.00045395 -85.696 0.20184 0.94532
150.33 0.00035668 -86.571 0.20191 0.89844
160.41 0.00024987 -87.61 0.20172 1.0547
170.55 0.00028801 -87.243 0.2016 1.1953
180.67 0.00017548 -88.297 0.20142 1.4063
189.81 0.00028038 -87.251 0.20136 1.4688
200.44 0.00032044 -86.844 0.2013 1.4688
210.07 0.00039864 -86.11 0.20136 1.5234
220.8 0.00034142 -86.602 0.20136 1.4688
230.33 0.00037003 -86.321 0.20123 1.6016
240.1 0.00045586 -85.516 0.20123 1.6172
249.86 0.00046349 -85.376 0.20123 1.4688
259.85 0.00041771 -85.852 0.20142 1.2891
270.38 0.00040627 -86.086 0.20148 1.0234
280.55 0.00031662 -86.852 0.20142 1.0938
290.77 0.00030899 -86.938 0.20154 1.0625
299.81 0.00027085 -87.36 0.20166 0.89844
310 0.00021553 -87.907 0.2016 0.95313
320.32 0.00024033 -87.626 0.20166 0.82813
330.43 0.00026322 -87.477 0.20178 0.85157
340.56 0.00014496 -88.594 0.20172 0.92969
350.51 0.00016976 -88.344 0.20148 1.2031
360.33 0.00022507 -87.797 0.2013 1.3516
0.33 0.00019836 -88.055 0.20136 1.2734
10.74 0.0002079 -87.985 0.20142 1.2891
20.33 0.00032616 -86.829 0.2013 1.5156
29.88 0.00042153 -85.899 0.20136 1.3984
40.62 0.00050354 -85.133 0.20136 1.4297
50.19 0.00060463 -84.188 0.20123 1.5469
59.87 0.00063706 -83.836 0.20123 1.5469
70.61 0.00061799 -84.055 0.20136 1.4453
80.63 0.00066376 -83.579 0.20154 1.2891
90.17 0.00061226 -84.172 0.2016 1.2109
100.55 0.00058747 -84.391 0.20166 1.1094
110.74 0.00053215 -84.946 0.20154 1.0938
120.83 0.00052643 -84.977 0.20178 1.0078
129.94 0.00046158 -85.602 0.20184 0.88282
140.15 0.00041008 -86.133 0.20191 0.82032
150.33 0.00037194 -86.446 0.20191 0.76563
160.41 0.00024223 -87.68 0.20178 0.96094
170.55 0.00019455 -88.102 0.2016 1.2188
180.67 0.00025559 -87.54 0.20142 1.3516
189.81 0.00024033 -87.641 0.20136 1.5313
200.44 0.00025749 -87.485 0.20136 1.5469
210.07 0.00029183 -87.102 0.20136 1.4453
220.8 0.00032997 -86.782 0.20117 1.6484
230.33 0.00036621 -86.399 0.20117 1.5703
240.1 0.00037194 -86.321 0.20105 1.6797
249.86 0.00037766 -86.297 0.20111 1.5469
259.85 0.00040817 -86.008 0.20123 1.4219
270.38 0.00038719 -86.219 0.20123 1.2344
280.55 0.00033951 -86.672 0.20142 1.1328
290.77 0.00029946 -87.079 0.20154 0.97657
299.81 0.00026703 -87.415 0.2016 0.90625
310 0.00022316 -87.829 0.2016 0.82032
320.32 0.00014877 -88.54 0.20142 1.0234
330.43 0.00015831 -88.461 0.2016 0.85938
340.56 0.00015068 -88.524 0.2016 0.92969
350.51 0.00014114 -88.633 0.20148 1.0781
360.33 0.0001564 -88.477 0.20136 1.3672
0.33 0.00014877 -88.563 0.20142 1.2891
10.74 0.00020218 -88.047 0.20123 1.3906
20.33 0.0003109 -86.985 0.20123 1.4219
29.88 0.00042916 -85.852 0.20117 1.4922
40.62 0.00052643 -84.922 0.20123 1.3906
50.19 0.00055313 -84.657 0.20123 1.5938
59.87 0.00058365 -84.329 0.20111 1.7422
70.61 0.00059319 -84.313 0.2013 1.3906
80.63 0.00063324 -83.938 0.20142 1.3203
90.17 0.00059319 -84.29 0.20148 1.2109
100.55 0.00057793 -84.508 0.2016 0.95313
110.74 0.00052643 -85.008 0.20166 1.0469
120.83 0.00045967 -85.626 0.2016 0.97657
129.94 0.00043488 -85.852 0.20172 0.96094
140.15 0.00037003 -86.493 0.20178 0.91407
150.33 0.00037384 -86.446 0.20178 0.73438
160.41 0.00030518 -87.071 0.2016 1.0625
170.55 0.00018883 -88.18 0.20142 1.3047
180.67 0.00016976 -88.376 0.20142 1.4219
189.81 0.00019264 -88.126 0.2013 1.4531
200.44 0.00025749 -87.461 0.20123 1.3672
210.07 0.00025177 -87.547 0.20123 1.3828
220.8 0.00028801 -87.188 0.20123 1.5
230.33 0.00034523 -86.649 0.20142 1.3203
240.1 0.00033188 -86.719 0.20117 1.4297
249.86 0.00039864 -86.126 0.20123 1.4219
259.85 0.00040436 -86.079 0.20136 1.2188
270.38 0.0004406 -85.711 0.20154 0.99219
280.55 0.00032997 -86.782 0.20154 0.99219
290.77 0.00029183 -87.172 0.20154 0.94532
299.81 0.00022888 -87.743 0.2016 0.89844
310 0.00019646 -88.086 0.20172 0.78125
320.32 0.00016594 -88.407 0.20178 0.79688
330.43 0.00021935 -87.876 0.20178 0.64063
340.56 0.00016594 -88.368 0.2016 0.875
350.51 0.00012398 -88.805 0.20142 1.1328
360.33 0.00016213 -88.415 0.20136 1.2891
