Alpha(207mT) X DEG X DEG
0.33 -3.8147E-6 89.993 0.51593 -5.1563
4.95 -1.5259E-5 90.047 0.51606 -5.1016
10.74 -3.8147E-6 90.047 0.51606 -5.125
15.51 -0.0001297 90.704 0.51618 -4.9844
20.33 -0.00020218 91.047 0.51624 -4.9375
25.03 -0.00024796 91.329 0.5163 -5.0157
29.88 -0.00033188 91.797 0.51648 -4.9453
35.78 -0.00042343 92.274 0.51642 -4.9688
40.62 -0.00050736 92.719 0.51642 -4.961
45.24 -0.00065995 93.555 0.51654 -4.836
50.19 -0.00076676 94.102 0.51673 -4.7657
55.1 -0.00089646 94.782 0.51654 -4.7578
59.87 -0.0010071 95.391 0.51661 -4.7813
65.74 -0.0010719 95.735 0.51648 -4.9063
70.61 -0.0011177 96.032 0.5163 -4.9922
75.67 -0.0012093 96.508 0.51618 -5.0157
80.63 -0.0012169 96.524 0.51624 -5.1328
84.84 -0.0012512 96.79 0.51606 -5.1719
90.17 -0.001297 96.938 0.51612 -5.1641
95.43 -0.0012283 96.633 0.51581 -5.4063
100.55 -0.0012016 96.532 0.51557 -5.4922
105.52 -0.001091 95.922 0.51569 -5.5391
110.74 -0.0011139 96.047 0.51557 -5.5235
115.67 -0.0010452 95.719 0.51551 -5.5547
120.83 -0.00094605 95.18 0.51532 -5.6797
124.87 -0.00092698 95.047 0.51532 -5.6875
129.94 -0.00083924 94.61 0.51502 -5.7657
134.97 -0.00071335 93.907 0.5152 -5.7422
140.15 -0.00062561 93.454 0.51508 -5.836
145.31 -0.00054169 92.985 0.51508 -5.8828
150.33 -0.00045014 92.493 0.51514 -5.8516
155.35 -0.00034332 91.899 0.51514 -5.7969
160.41 -0.00028229 91.524 0.51526 -5.75
165.43 -0.00024033 91.297 0.51557 -5.5391
170.55 -0.00023651 91.29 0.51563 -5.375
175.58 -0.00012207 90.672 0.51581 -5.2891
180.67 -0.00017548 90.922 0.51593 -5.1563
185.75 -0.00018311 90.969 0.51606 -5.0547
189.81 -0.00013352 90.735 0.51624 -4.9688
195.65 -0.00016785 90.883 0.5163 -4.9532
200.44 -0.00027466 91.485 0.51618 -5.0157
205.23 -0.00020981 91.149 0.5163 -4.9922
210.07 -0.00027466 91.477 0.51618 -5.0157
215.02 -0.00041199 92.188 0.51636 -4.9063
220.8 -0.00052262 92.805 0.51636 -4.8907
225.5 -0.00062561 93.391 0.51618 -4.8282
230.33 -0.00070191 93.735 0.51636 -4.8438
235.29 -0.00088883 94.743 0.51624 -4.8594
240.1 -0.00089646 94.758 0.51636 -4.8438
244.97 -0.00093461 95.024 0.51606 -4.9063
249.86 -0.0010567 95.665 0.51593 -5.0078
254.93 -0.0010567 95.618 0.51581 -5.1953
259.85 -0.0010529 95.633 0.51587 -5.1328
265.19 -0.0010872 95.813 0.51557 -5.2891
270.38 -0.0011063 95.907 0.51545 -5.4063
275.55 -0.0010681 95.751 0.5152 -5.5703
280.55 -0.0010567 95.688 0.51514 -5.586
285.57 -0.0010224 95.477 0.5152 -5.5157
290.77 -0.00095368 95.102 0.51508 -5.6563
295.75 -0.00088501 94.805 0.51484 -5.8125
299.81 -0.00087357 94.743 0.5149 -5.7422
304.92 -0.00071717 93.844 0.51484 -5.7891
310 -0.00067139 93.633 0.51471 -5.7735
315.24 -0.00053406 92.899 0.51471 -5.875
320.32 -0.00045395 92.461 0.51459 -5.9453
325.41 -0.00040817 92.235 0.51471 -5.9219
330.43 -0.00031281 91.696 0.51453 -5.9844
335.31 -0.00024796 91.329 0.51465 -5.9063
340.56 -0.00017929 90.961 0.51502 -5.711
345.36 -0.00025559 91.407 0.51514 -5.5157
350.51 -6.485E-5 90.336 0.51526 -5.4844
355.65 -0.00011826 90.61 0.51532 -5.4141
360.33 -0.00014877 90.813 0.51551 -5.2422
0.33 -0.00011826 90.633 0.51575 -5.1563
4.95 -0.000103 90.555 0.51587 -5.0703
10.74 -0.00016022 90.844 0.516 -5.0235
15.51 -0.00026703 91.407 0.51593 -5.086
20.33 -0.00021362 91.133 0.51587 -5.0625
25.03 -0.00029373 91.61 0.51587 -4.8985
29.88 -0.00043488 92.321 0.516 -4.9766
35.78 -0.00053406 92.876 0.51618 -5.0469
40.62 -0.00065995 93.579 0.51618 -4.8594
45.24 -0.0006485 93.477 0.5163 -4.8516
50.19 -0.0008812 94.672 0.51642 -4.7891
55.1 -0.00092698 94.954 0.51654 -4.6563
59.87 -0.0010224 95.438 0.51648 -4.7344
65.74 -0.0010986 95.86 0.51636 -4.836
70.61 -0.0012131 96.493 0.51624 -4.9688
75.67 -0.001297 96.969 0.51593 -5.0078
80.63 -0.0012741 96.891 0.51587 -5.0703
84.84 -0.0013313 97.149 0.51581 -5.2266
90.17 -0.0013161 97.126 0.51563 -5.3203
95.43 -0.0013428 97.282 0.51551 -5.3985
100.55 -0.0012856 97.001 0.51532 -5.5469
105.52 -0.0012322 96.672 0.51539 -5.461
110.74 -0.0011559 96.297 0.51526 -5.6172
115.67 -0.0010796 95.883 0.5152 -5.6407
120.83 -0.0010986 95.985 0.51514 -5.5938
124.87 -0.0009842 95.415 0.51496 -5.75
129.94 -0.00080109 94.407 0.51496 -5.8516
134.97 -0.00074768 94.094 0.5149 -5.836
140.15 -0.0006485 93.555 0.51484 -5.9219
145.31 -0.00057221 93.141 0.51484 -5.8907
150.33 -0.00043869 92.415 0.51484 -6
155.35 -0.00044251 92.415 0.51496 -5.8594
160.41 -0.00032425 91.79 0.5152 -5.7735
