Alpha(50mT) X DEG X DEG
0.2 -0.00037384 90.915 0.54493 1.0625
5.01 -0.00046921 91.157 0.54487 1.2969
9.78 -0.00042343 91.047 0.5448 1.1563
14.66 -0.00038147 90.938 0.5448 1.0625
20.55 -0.00045014 91.126 0.5448 1
25.1 -0.00034714 90.868 0.54468 0.875
29.95 -0.00029755 90.711 0.54468 0.61719
34.87 -0.00033951 90.821 0.54462 0.66407
40.29 -0.00043869 91.086 0.54456 1.1719
45.28 -0.0004921 91.219 0.54474 1.2891
49.72 -0.00066376 91.633 0.54468 1.4688
55.38 -0.0005951 91.461 0.5448 1.3125
60.13 -0.00063324 91.563 0.54474 1.3359
64.95 -0.00056458 91.391 0.54462 1.1875
70.47 -0.00069428 91.704 0.5445 1.2891
75.53 -0.00066376 91.641 0.54462 1.3516
80.51 -0.00067902 91.688 0.54462 1.2813
85.78 -0.00074006 91.907 0.54468 1.2031
89.74 -0.00067902 91.672 0.54462 1.2266
95.07 -0.00066376 91.633 0.54456 1.3125
100.31 -0.00064469 91.586 0.5445 1.2344
105.56 -0.00061035 91.508 0.5445 1.3438
109.76 -0.00063706 91.563 0.54456 1.2813
115.28 -0.00061417 91.508 0.54474 1.2969
120.24 -0.00057602 91.415 0.5448 1.1797
125.66 -0.00061035 91.516 0.54474 1.1641
130.64 -0.00063706 91.563 0.54468 1.3984
134.96 -0.00066376 91.641 0.54468 1.4688
139.98 -0.00053025 91.29 0.54493 1.1328
145.04 -0.00061417 91.532 0.54456 1.4219
150.13 -0.0005951 91.469 0.54456 1.3672
155.11 -0.00057221 91.407 0.54456 1.3984
160.13 -0.00062561 91.54 0.54487 1.3281
165.31 -0.00065232 91.61 0.54456 1.4922
170.46 -0.00064469 91.586 0.54474 1.4609
175.41 -0.00064087 91.579 0.54493 1.3906
180.5 -0.00062561 91.555 0.54474 1.3516
185.59 -0.00073624 91.821 0.54456 1.6641
189.73 -0.00071717 91.774 0.54462 1.5625
195.59 -0.00075531 91.883 0.54468 1.625
200.58 -0.00061417 91.524 0.54474 1.3438
204.76 -0.00051499 91.258 0.54468 0.94532
210.64 -0.00039673 90.977 0.5448 0.6875
215.29 -0.00061417 91.524 0.54456 1.1094
220 -0.00057221 91.407 0.54474 1.1328
225.07 -0.00066376 91.633 0.54474 1.2344
230.76 -0.00079346 91.961 0.54456 1.5703
235.66 -0.00074006 91.836 0.54468 1.4531
240.44 -0.00084305 92.071 0.54474 1.5781
245.47 -0.0009079 92.251 0.54474 1.7266
250.29 -0.00096512 92.391 0.54474 1.8281
255.27 -0.00093842 92.313 0.5448 1.75
260.31 -0.0010376 92.563 0.5448 1.8047
265.31 -0.00094605 92.336 0.5448 1.6406
270.42 -0.00091935 92.282 0.5448 1.6328
275.43 -0.00091172 92.235 0.54487 1.5
280.53 -0.00098039 92.422 0.5448 1.7578
285.7 -0.0010071 92.493 0.54474 1.6719
289.81 -0.00087357 92.165 0.5448 1.625
295.59 -0.00092698 92.29 0.54487 1.7188
299.91 -0.00097657 92.43 0.5445 1.9609
304.84 -0.00096131 92.383 0.54474 1.7813
309.79 -0.0010071 92.485 0.54493 1.75
315.08 -0.0010109 92.508 0.5448 1.875
320.33 -0.00095749 92.391 0.54468 1.9063
325.3 -0.0009079 92.251 0.54468 1.8594
330.31 -0.00096512 92.376 0.54462 1.8125
335.64 -0.0010147 92.524 0.5448 1.8281
340.66 -0.00098039 92.438 0.54474 1.9688
345.61 -0.00092316 92.282 0.54493 1.8359
350.69 -0.00089264 92.211 0.54474 1.7813
354.75 -0.00087738 92.18 0.5448 1.8828
360.21 -0.00074768 91.844 0.54493 1.7344
0.2 -0.0007782 91.922 0.5448 1.7891
5.01 -0.00087738 92.165 0.5448 1.8828
9.78 -0.00084687 92.118 0.5448 1.7891
14.66 -0.00082016 92.024 0.5448 1.7344
20.55 -0.0007782 91.922 0.5448 1.6563
25.1 -0.00088883 92.211 0.54487 1.8125
29.95 -0.0008545 92.133 0.54474 1.8984
34.87 -0.00083161 92.055 0.54468 1.875
40.29 -0.00091172 92.235 0.54499 1.875
45.28 -0.00094986 92.344 0.54456 1.8828
49.72 -0.00088883 92.211 0.54468 1.8672
55.38 -0.00092316 92.258 0.54474 1.9063
60.13 -0.00091935 92.266 0.54474 1.7891
64.95 -0.00086213 92.133 0.54487 1.6953
70.47 -0.00092316 92.274 0.54474 1.9063
75.53 -0.00087357 92.157 0.54487 1.8047
80.51 -0.00099946 92.485 0.54487 1.8672
85.78 -0.00085068 92.102 0.54487 1.6484
89.74 -0.00088501 92.18 0.5448 1.7578
95.07 -0.00096512 92.383 0.54468 1.8984
100.31 -0.00088501 92.188 0.54487 1.6484
105.56 -0.00091553 92.274 0.54462 1.9141
109.76 -0.00093461 92.297 0.54487 1.9219
115.28 -0.0008812 92.18 0.54487 1.8047
120.24 -0.00086594 92.141 0.54474 1.8906
125.66 -0.00083161 92.04 0.54493 1.7031
130.64 -0.0007782 91.915 0.54505 1.625
134.96 -0.00082016 92.024 0.54493 1.7891
139.98 -0.00078202 91.93 0.54493 1.6719
145.04 -0.00074387 91.836 0.54517 1.625
150.13 -0.00083161 92.055 0.54493 1.7813
155.11 -0.00066758 91.665 0.54493 1.5703
160.13 -0.00074006 91.821 0.54505 1.6406
165.31 -0.0008049 92.001 0.54487 1.7578
170.46 -0.00076676 91.899 0.54487 1.7266
175.41 -0.0008049 91.993 0.54487 1.9297
180.5 -0.00076294 91.883 0.54487 1.8203
185.59 -0.00080109 91.977 0.5448 1.7578
189.73 -0.00072861 91.813 0.54493 1.7109
195.59 -0.00080872 91.993 0.54493 1.8828
200.58 -0.00082779 92.04 0.5448 1.7813
204.76 -0.00081635 92.032 0.5448 1.7969
210.64 -0.00084687 92.094 0.54487 1.8281
215.29 -0.00087357 92.149 0.54487 1.7266
220 -0.00081635 92.016 0.54493 1.4922
225.07 -0.0008545 92.126 0.54487 1.8594
230.76 -0.00085068 92.102 0.54493 1.8281
235.66 -0.0009079 92.235 0.54493 1.7266
240.44 -0.00094605 92.344 0.5448 1.9063
245.47 -0.00099183 92.454 0.5448 1.9297
250.29 -0.00103 92.54 0.5448 1.9531
255.27 -0.00094605 92.344 0.54487 1.6328
260.31 -0.00092698 92.297 0.54487 1.7656
265.31 -0.0010796 92.657 0.5448 2
270.42 -0.0010071 92.493 0.54462 1.875
275.43 -0.0010109 92.501 0.54487 1.8281
280.53 -0.00095749 92.36 0.5448 1.7031
285.7 -0.0010567 92.602 0.54487 1.8672
289.81 -0.00094223 92.344 0.5448 1.7578
295.59 -0.00092698 92.282 0.54474 1.7188
299.91 -0.00093461 92.305 0.54505 1.7422
304.84 -0.00098039 92.446 0.54487 1.8203
309.79 -0.00091935 92.274 0.54493 1.7422
315.08 -0.00097275 92.391 0.54487 1.8438
320.33 -0.00090409 92.235 0.54499 1.7031
325.3 -0.00093461 92.336 0.54487 1.6641
