Alpha(50mT) X DEG X DEG
0.2 3.7194E-5 86.571 0.14398 1.0703
5.01 3.8147E-5 86.336 0.14398 0.99219
9.78 4.7684E-5 85.493 0.14398 0.89844
14.66 4.8638E-5 85.461 0.14398 0.88282
20.55 9.2507E-5 81.399 0.14411 0.875
25.1 7.0572E-5 83.157 0.14398 0.875
29.95 8.2017E-5 82.297 0.14404 1.0469
34.87 9.8229E-5 80.805 0.14398 1.0078
40.29 0.00010491 80.126 0.14404 1.0078
45.28 8.7738E-5 81.657 0.14398 0.95313
49.72 0.00011635 79.11 0.14411 0.90625
55.38 0.00011921 78.829 0.14398 0.85938
60.13 0.00010967 79.602 0.14398 0.99219
64.95 0.00010014 80.672 0.14386 1.1484
70.47 0.00010586 79.821 0.14398 0.99219
75.53 0.00011253 79.157 0.14392 0.9375
80.51 0.00011921 78.633 0.14392 0.97657
85.78 0.00012302 78.313 0.1438 0.96875
89.74 0.00010204 80.321 0.14392 1.0313
95.07 8.5831E-5 81.743 0.14392 0.97657
100.31 8.2017E-5 81.969 0.14392 0.95313
105.56 5.8174E-5 84.336 0.14386 1.0469
109.76 7.1526E-5 83.172 0.14398 1.0313
115.28 5.6267E-5 84.477 0.14386 0.97657
120.24 5.8174E-5 84.485 0.14386 1.0078
125.66 4.4823E-5 85.586 0.14386 1.0703
130.64 4.1008E-5 85.977 0.14386 1.1016
134.96 3.2425E-5 86.852 0.14374 1.0859
139.98 1.7166E-5 88.29 0.14374 0.9375
145.04 2.0981E-5 87.946 0.14374 1.0313
150.13 8.5831E-6 89.149 0.14374 0.99219
155.11 -9.5368E-7 90.188 0.14386 0.96094
160.13 2.0981E-5 87.774 0.14362 0.97657
165.31 -3.8147E-6 90.391 0.14374 0.97657
170.46 1.812E-5 88.227 0.14374 1.1094
175.41 3.8147E-6 89.594 0.1438 1.0078
180.5 8.5831E-6 89.094 0.14386 1.1094
185.59 3.0518E-5 86.883 0.14392 1.1016
189.73 1.7166E-5 88.305 0.14392 1.0078
195.59 4.1008E-5 86.133 0.14398 0.97657
200.58 4.8638E-5 85.18 0.14398 1.0078
204.76 3.8147E-5 86.235 0.14392 0.99219
210.64 5.2452E-5 84.868 0.14386 1.2188
