##Alpha(207mT) X DEG X DEG
0.33 -0.00022888 91.305 0.23316 1.3125
10.74 0.00019074 88.813 0.23322 1.3906
20.33 -0.00017548 91.016 0.23309 1.4766
29.88 -0.00018311 91.172 0.23316 1.4219
40.62 -5.3406E-5 90.282 0.23316 1.4063
50.19 -0.00015259 90.813 0.23303 1.6484
59.87 -0.00014496 90.782 0.23297 1.7422
70.61 -0.00051117 93.266 0.23316 1.4453
80.63 -0.00031281 91.961 0.23303 1.3828
90.17 -0.00037384 92.282 0.23316 1.1328
100.55 -0.00037384 92.415 0.23297 1.0234
110.74 -0.00054932 93.657 0.23303 0.77344
120.83 -0.00047302 93.032 0.23291 0.74219
129.94 -0.00070191 94.594 0.23297 0.64063
140.15 -0.00074006 94.688 0.23291 0.60157
150.33 -0.00048065 93.235 0.23297 0.53907
160.41 -0.00062561 94.063 0.23285 0.625
170.55 -0.00057984 93.727 0.23297 0.89063
180.67 0.00017548 88.876 0.23297 1.2422
189.81 0.00017548 88.86 0.23303 1.3438
200.44 0.00022888 88.735 0.23297 1.4531
210.07 0.00060273 86.524 0.23316 1.4609
220.8 0.00058747 86.501 0.23309 1.5703
230.33 0.0006485 86.149 0.23303 1.5703
240.1 0.00070191 85.946 0.23322 1.7266
249.86 0.00067139 86.118 0.23309 1.4844
259.85 0.0008545 85.016 0.23322 1.3594
270.38 0.00049591 87.11 0.23316 1.0781
280.55 0.00049591 86.844 0.23303 0.9375
290.77 0.00039673 87.641 0.23303 0.89063
299.81 0.00041199 87.493 0.23328 0.79688
310 0.00017548 89.016 0.23322 0.67188
320.32 3.0518E-5 89.751 0.23322 0.53125
330.43 -0.00023651 91.422 0.23316 0.50782
340.56 -6.1036E-5 90.243 0.23316 0.70313
350.51 -2.2888E-5 90.079 0.23316 0.92188
360.33 7.6295E-6 89.876 0.23303 1.1875
0.33 0 89.954 0.23328 1.2266
10.74 1.5259E-5 89.907 0.23322 1.4219
20.33 0.00042725 87.297 0.23322 1.4063
29.88 -0.00010681 90.633 0.23328 1.4844
40.62 -0.00048065 92.93 0.23309 1.5391
50.19 0.00021362 88.665 0.23303 1.7266
59.87 -0.00016785 91.047 0.23316 1.625
70.61 -0.00035095 91.985 0.23316 1.5234
80.63 -0.00037384 92.227 0.23303 1.2891
90.17 -0.00028229 91.821 0.23316 1.1094
100.55 -0.00042725 92.688 0.23316 0.94532
110.74 -0.00071717 94.672 0.23309 0.78907
120.83 -0.00052643 93.43 0.23303 0.78125
129.94 -0.00061799 93.977 0.23297 0.64063
140.15 -0.00080872 95.376 0.23297 0.53907
150.33 -0.0008545 95.711 0.23316 0.46094
160.41 -0.00083161 95.251 0.23309 0.70313
170.55 -0.00080872 94.954 0.23328 0.89844
180.67 -0.00011444 90.774 0.23316 1.1875
189.81 -9.1553E-5 90.477 0.23328 1.2734
200.44 5.3406E-5 89.719 0.23303 1.4219
210.07 0.0002594 88.461 0.23322 1.4453
220.8 0.00044251 87.344 0.23316 1.4688
230.33 0.00075531 85.688 0.23316 1.6328
240.1 0.0010681 83.688 0.23316 1.7656
249.86 0.00073243 85.758 0.23322 1.4141
259.85 0.00054169 86.782 0.23316 1.2656
270.38 0.00061799 86.297 0.23316 1.1875
280.55 0.00062561 86.235 0.23322 1.0078
290.77 0.00056458 86.501 0.23322 0.85157
299.81 0.00052643 86.79 0.23316 0.78907
310 6.8665E-5 89.594 0.23322 0.71875
320.32 -9.9183E-5 90.68 0.23328 0.53907
330.43 -0.00014496 90.891 0.23328 0.48438
340.56 6.1036E-5 89.594 0.23322 0.71875
350.51 -0.00014496 90.813 0.23328 0.92969
360.33 5.3406E-5 89.751 0.23309 1.2344
0.33 -7.6295E-6 90.157 0.23316 1.2266
10.74 -7.6295E-6 90.032 0.23316 1.4141
20.33 -9.9183E-5 90.555 0.23322 1.3047
29.88 -1.5259E-5 90.032 0.23316 1.3906
40.62 -3.8147E-5 90.071 0.23328 1.3906
50.19 -0.00015259 90.891 0.23316 1.6172
59.87 -0.00013733 90.782 0.23322 1.6172
70.61 -0.00051117 93.219 0.23309 1.2734
80.63 -9.1553E-5 90.555 0.23316 1.2031
90.17 -0.00047302 92.993 0.23309 1.1172
100.55 -0.00048065 93.016 0.23297 0.92188
110.74 -0.0007782 95.086 0.23316 0.76563
120.83 -0.00070954 94.516 0.23316 0.6875
129.94 -0.0010071 96.618 0.23316 0.61719
140.15 -0.00095368 96.211 0.23297 0.51563
150.33 -0.00087738 95.751 0.23303 0.30469
160.41 -0.00061799 93.844 0.23316 0.61719
170.55 -0.00074006 94.852 0.23309 0.79688
180.67 -0.0001297 90.758 0.23309 1.125
189.81 0.00024414 88.461 0.23328 1.3281
200.44 -9.1553E-5 90.477 0.23328 1.2969
210.07 0.00017548 88.93 0.23328 1.4688
220.8 0.00055695 86.696 0.23334 1.3125
230.33 0.00068665 86.032 0.23322 1.5703
240.1 0.00073243 85.805 0.23303 1.5859
249.86 0.00082398 85.274 0.23328 1.3672
259.85 0.00070954 85.922 0.23328 1.1641
270.38 0.0010224 84.126 0.23334 1.1172
280.55 0.00041962 87.266 0.2334 0.8125
290.77 0.00031281 88.118 0.23334 0.8125
299.81 0.00047302 87.149 0.23334 0.82813
310 -2.2888E-5 90.196 0.23316 0.59375
320.32 -0.00032044 92.008 0.23316 0.50782
330.43 -0.00025177 91.43 0.23328 0.35156
340.56 -0.00027466 91.743 0.23309 0.57813
350.51 -0.00038147 92.391 0.23303 0.94532
360.33 -6.8665E-5 90.477 0.23316 1.2266
