#Alpha(207mT) X DEG X DEG
0.33 0.0003891 89.493 0.61878 0.59375
10.74 0.00019836 89.751 0.61878 0.76563
20.33 0.00017548 89.774 0.61878 0.70313
29.88 2.2888E-5 89.954 0.6189 0.82032
40.62 0.0001297 89.829 0.61878 0.82032
50.19 4.5777E-5 89.954 0.6189 0.92969
59.87 0.00025177 89.672 0.61884 0.92969
70.61 0.00031281 89.594 0.61878 0.875
80.63 0.00042725 89.469 0.61908 0.82032
90.17 0.00074006 89.047 0.61902 0.64844
100.55 0.00094605 88.766 0.61921 0.4375
110.74 0.0008545 88.899 0.61933 0.35938
120.83 0.00094605 88.813 0.61951 0.38281
129.94 0.0011063 88.594 0.61933 0.30469
140.15 0.00093842 88.797 0.61951 0.27344
150.33 0.00097657 88.766 0.61957 0.070313
160.41 0.00061799 89.211 0.61927 0.39844
170.55 0.0002594 89.665 0.6189 0.67188
180.67 -0.0001297 90.149 0.61884 0.875
189.81 -0.00017548 90.219 0.61841 0.95313
200.44 8.3924E-5 89.883 0.61817 0.76563
210.07 2.2888E-5 89.954 0.61835 0.79688
220.8 -0.00017548 90.219 0.61829 1.0078
230.33 -1.5259E-5 90.016 0.61817 1.0859
240.1 -0.00018311 90.204 0.61841 1.1016
249.86 0.00014496 89.813 0.61817 0.92969
259.85 0.00044251 89.469 0.61835 0.79688
270.38 0.00080109 89.001 0.61866 0.57032
280.55 0.0007782 89.024 0.61884 0.53907
290.77 0.00083924 88.969 0.6189 0.53125
299.81 0.0011292 88.626 0.61902 0.32813
310 0.0010758 88.641 0.61945 0.22656
320.32 0.0011749 88.532 0.61914 0.25
330.43 0.0011063 88.633 0.61927 0.30469
340.56 0.00086976 88.922 0.61933 0.53125
350.51 0.00054932 89.313 0.61914 0.64063
360.33 0.00022125 89.727 0.61896 0.79688
0.33 0.00013733 89.829 0.61884 1.0078
10.74 -5.3406E-5 90.079 0.61872 1.0547
20.33 3.8147E-5 89.93 0.61878 1.0078
29.88 3.0518E-5 89.946 0.61872 0.97657
40.62 -6.8665E-5 90.086 0.61866 1.1797
50.19 0.00020599 89.743 0.61866 0.92188
59.87 -6.8665E-5 90.063 0.61829 1.2031
70.61 1.5259E-5 89.977 0.61878 1.1328
80.63 0.0003357 89.571 0.6189 0.78125
90.17 0.00054169 89.297 0.61902 0.94532
100.55 0.0006485 89.157 0.61957 0.61719
110.74 0.0007782 89.008 0.61921 0.69532
120.83 0.0009842 88.743 0.61927 0.46094
129.94 0.00093842 88.797 0.61927 0.51563
140.15 0.00083161 88.946 0.61951 0.42188
150.33 0.0010071 88.719 0.61927 0.38281
160.41 0.00067139 89.157 0.61927 0.65625
170.55 0.00035858 89.547 0.61872 0.79688
180.67 0.00014496 89.821 0.61835 0.99219
189.81 -6.8665E-5 90.063 0.61835 1.0156
200.44 -9.9183E-5 90.11 0.61829 0.98438
210.07 -0.00020599 90.258 0.61811 0.95313
220.8 -7.6294E-5 90.102 0.61799 0.96094
230.33 -0.00011444 90.11 0.61817 0.99219
240.1 -2.2888E-5 90.016 0.61811 1.0156
249.86 0.0002594 89.688 0.61774 0.875
259.85 0.00051117 89.36 0.61817 0.67969
270.38 0.00057984 89.266 0.61853 0.72657
280.55 0.00077057 89.063 0.6186 0.46094
290.77 0.00089264 88.891 0.61853 0.48438
299.81 0.0010529 88.688 0.6189 0.51563
310 0.00097657 88.797 0.61914 0.47656
320.32 0.0012665 88.438 0.61896 0.26563
330.43 0.0012055 88.493 0.61927 0.1875
340.56 0.00086976 88.915 0.6189 0.53907
350.51 0.00055695 89.321 0.6189 0.66407
360.33 0.00039673 89.516 0.61872 0.74219
0.33 0.00026703 89.672 0.61866 1.0078
10.74 9.1553E-5 89.883 0.61829 1.1094
20.33 4.5777E-5 89.93 0.61847 1.0313
29.88 -1.5259E-5 90.032 0.61835 1.0703
40.62 3.0518E-5 89.946 0.61841 1.2109
50.19 -0.00017548 90.188 0.61841 1.1875
59.87 -0.00013733 90.165 0.61841 1.1641
70.61 0 89.993 0.61853 1.0547
80.63 0.00032044 89.571 0.6189 0.89063
90.17 0.0003357 89.571 0.6189 0.96094
100.55 0.00058747 89.251 0.61914 0.5625
110.74 0.00080872 88.954 0.61902 0.625
120.83 0.00076294 89.024 0.61939 0.53125
129.94 0.0007782 89.024 0.61914 0.46875
140.15 0.00092316 88.829 0.61902 0.39063
150.33 0.00084687 88.915 0.61902 0.33594
160.41 0.00055695 89.305 0.61921 0.57032
170.55 0.00031281 89.626 0.61866 0.64844
180.67 -0.00016022 90.18 0.61847 1.0859
189.81 -0.00034332 90.407 0.61847 0.96094
200.44 -0.00027466 90.336 0.61811 1.1094
210.07 -0.00032044 90.391 0.61786 1.2734
220.8 -0.00040436 90.461 0.61811 1.1953
230.33 -0.00019074 90.219 0.61792 1.1328
240.1 -0.00017548 90.211 0.6178 1.2109
249.86 5.3406E-5 89.907 0.61756 1.1641
259.85 0.00021362 89.711 0.61792 0.99219
270.38 0.00069428 89.141 0.61823 0.51563
280.55 0.00089264 88.907 0.61829 0.58594
290.77 0.00083924 88.961 0.61853 0.55469
299.81 0.00083924 88.977 0.6186 0.57032
310 0.0010834 88.68 0.61878 0.41406
320.32 0.0012436 88.461 0.61884 0.22656
330.43 0.00083924 88.961 0.61921 0.22656
340.56 0.00095368 88.821 0.61878 0.35938
350.51 0.00038147 89.516 0.61878 0.65625
360.33 0.00041962 89.469 0.61847 0.78907
