##Alpha(50mT) X DEG X DEG
0.2 0.00076676 86.18 0.45184 -1.2656
5.01 0.00087738 85.594 0.45184 -1.3281
9.78 0.00081635 85.907 0.45178 -1.2734
14.66 0.00089646 85.54 0.45184 -1.375
20.55 0.0010529 84.735 0.45215 -1.2656
25.1 0.0009079 85.446 0.45191 -1.3125
29.95 0.00091935 85.43 0.45178 -1.2656
34.87 0.0010033 85.008 0.45215 -1.3203
40.29 0.0010338 84.813 0.45191 -1.3359
45.28 0.0010605 84.68 0.45197 -1.3281
49.72 0.00099183 85.071 0.45184 -1.2891
55.38 0.0010185 84.891 0.45191 -1.3203
60.13 0.00094223 85.29 0.45203 -1.3516
64.95 0.00097657 85.149 0.45166 -1.2578
70.47 0.0010033 85.016 0.45172 -1.2734
75.53 0.0010719 84.618 0.45166 -1.3438
80.51 0.0010376 84.797 0.45184 -1.2813
85.78 0.00093461 85.344 0.45166 -1.2656
89.74 0.00097657 85.102 0.45191 -1.2969
95.07 0.00088883 85.586 0.45184 -1.3281
100.31 0.00091172 85.446 0.45184 -1.3125
105.56 0.00095368 85.204 0.45184 -1.3125
109.76 0.00094223 85.258 0.45178 -1.3906
115.28 0.00084305 85.782 0.45191 -1.2422
120.24 0.00084305 85.758 0.45184 -1.2813
125.66 0.00083542 85.797 0.45197 -1.2656
130.64 0.00087357 85.618 0.45197 -1.2969
134.96 0.00086594 85.657 0.45184 -1.2578
139.98 0.00082779 85.821 0.45197 -1.2422
145.04 0.00084305 85.758 0.45197 -1.3047
150.13 0.00073624 86.344 0.45184 -1.25
155.11 0.00088883 85.563 0.45191 -1.3047
160.13 0.00081635 85.868 0.45191 -1.3125
165.31 0.00081253 85.915 0.45203 -1.3047
170.46 0.00083161 85.876 0.45178 -1.2969
175.41 0.00086594 85.68 0.45203 -1.2969
180.5 0.0008545 85.711 0.45197 -1.2969
185.59 0.00087357 85.594 0.45203 -1.25
189.73 0.00094223 85.329 0.45203 -1.3672
195.59 0.00097275 85.094 0.45191 -1.3203
200.58 0.00093079 85.352 0.45197 -1.375
204.76 0.00091935 85.43 0.45191 -1.2969
