##Alpha(207mT) X DEG X DEG
0.33 -0.00026703 91.633 0.51239 -5.2578
4.95 -0.00045014 92.829 0.51252 -5.1485
10.74 -0.00058365 93.61 0.51276 -4.9141
15.51 -0.00062561 93.836 0.51276 -4.8594
20.33 -0.00070954 94.329 0.51276 -4.875
25.03 -0.00072861 94.516 0.51276 -4.8828
29.88 -0.00074768 94.649 0.5127 -4.9141
35.78 -0.00065613 94.024 0.51288 -4.7969
40.62 -0.00062561 93.852 0.51288 -4.75
45.24 -0.0005188 93.204 0.51294 -4.6563
50.19 -0.00041962 92.586 0.51288 -4.711
55.1 -0.00029755 91.813 0.51306 -4.5547
59.87 -0.000103 90.633 0.513 -4.7032
65.74 0.00014877 89.055 0.51288 -4.9453
70.61 0.00035095 87.758 0.51288 -4.875
75.67 0.00051499 86.735 0.51276 -5.0938
80.63 0.00072098 85.43 0.5127 -5.1094
84.84 0.00082398 84.751 0.51264 -5.086
90.17 0.0010414 83.321 0.51258 -5.3047
95.43 0.0011711 82.555 0.51252 -5.2578
100.55 0.001255 81.993 0.51227 -5.3828
105.52 0.0013657 81.243 0.51233 -5.4688
110.74 0.001339 81.399 0.51227 -5.5157
115.67 0.0013962 81.086 0.51221 -5.5703
120.83 0.0013466 81.313 0.51203 -5.5938
124.87 0.0013619 81.196 0.51203 -5.6953
129.94 0.0012512 81.93 0.51191 -5.6641
134.97 0.0011826 82.376 0.51197 -5.8282
140.15 0.0011292 82.641 0.51184 -5.8985
145.31 0.00092316 84.001 0.51178 -5.9219
150.33 0.00076294 85.086 0.51191 -5.8516
155.35 0.0006485 85.821 0.51197 -5.875
160.41 0.00042343 87.235 0.51203 -5.7735
165.43 0.00018311 88.821 0.51221 -5.4766
170.55 -3.8147E-6 90.008 0.51233 -5.3907
175.58 -0.00016022 90.954 0.51252 -5.1563
180.67 -0.00032044 91.977 0.51252 -5.125
185.75 -0.00050354 93.204 0.51258 -4.9688
189.81 -0.00058747 93.665 0.51258 -4.875
195.65 -0.00074768 94.641 0.51252 -4.8125
200.44 -0.00074006 94.571 0.51258 -4.875
205.23 -0.0007515 94.649 0.51258 -4.8907
210.07 -0.00067139 94.133 0.51258 -4.8282
215.02 -0.00074006 94.563 0.51252 -4.9141
220.8 -0.00060273 93.727 0.51258 -4.8125
225.5 -0.00044632 92.719 0.51258 -4.8047
230.33 -0.00039673 92.391 0.51252 -4.7657
235.29 -0.00029373 91.813 0.51258 -4.7188
240.1 -9.5368E-5 90.594 0.51264 -4.711
