##Alpha(50mT) X DEG X DEG
0.2 0.00014877 51.149 0.13287 -0.89844
5.01 0.00010491 60.414 0.13294 -0.82032
9.78 8.3924E-5 65.313 0.13287 -0.82813
14.66 3.8147E-5 77.79 0.13287 -0.75
20.55 2.4796E-5 82.368 0.13281 -0.79688
25.1 3.624E-5 79.376 0.13281 -0.78125
29.95 5.3406E-5 73.001 0.13275 -0.78125
34.87 5.3406E-5 72.813 0.13281 -0.85157
40.29 6.2943E-5 71.563 0.13275 -0.78125
45.28 8.5831E-5 64.868 0.13275 -0.80469
49.72 0.00013924 53.047 0.13281 -0.79688
55.38 0.00016976 47.649 0.13269 -0.76563
60.13 0.00020218 43.039 0.13275 -0.83594
64.95 0.00023461 38.453 0.13275 -0.83594
70.47 0.0003109 30.461 0.13269 -0.71094
75.53 0.00031853 30.563 0.13275 -0.79688
80.51 0.0003643 27.906 0.13275 -0.78125
85.78 0.00044823 22.883 0.13269 -0.76563
89.74 0.00044823 22.961 0.13269 -0.76563
95.07 0.00049782 21.367 0.13263 -0.78125
100.31 0.00054169 19.422 0.13263 -0.79688
105.56 0.00054741 19.055 0.13257 -0.78125
109.76 0.00053978 20.266 0.13257 -0.79688
115.28 0.00052643 20.211 0.13257 -0.79688
120.24 0.00052262 20.117 0.13257 -0.78125
125.66 0.00047112 21.766 0.13251 -0.8125
130.64 0.00047112 21.586 0.13251 -0.83594
134.96 0.00048638 21.43 0.13251 -0.76563
139.98 0.00045777 22.258 0.13257 -0.89844
145.04 0.00042916 24.391 0.13257 -0.85938
150.13 0.00040817 25.422 0.13251 -0.86719
155.11 0.00038147 25.961 0.13251 -0.82813
160.13 0.00031853 30.563 0.13257 -0.9375
165.31 0.00028038 34.313 0.13257 -0.82813
170.46 0.00025368 37.875 0.13251 -0.79688
175.41 0.00020981 43.133 0.13257 -0.79688
180.5 0.00014687 52.969 0.13251 -0.74219
185.59 0.00013352 55.524 0.13251 -0.89844
189.73 0.00011444 59.25 0.13257 -0.90625
195.59 8.7738E-5 66.344 0.13257 -0.90625
200.58 8.2017E-5 66.852 0.13257 -0.8125
