#Alpha(207mT) X DEG X DEG
0.33 -4.5777E-5 -90.844 0.13611 2.3516
4.95 -7.1526E-5 -91.29 0.13605 2.4922
10.74 -0.00011826 -92.141 0.13605 2.4063
15.51 -0.00019646 -93.586 0.13617 2.4297
20.33 -0.00025463 -94.563 0.13611 2.4531
25.03 -0.00035191 -96.235 0.13629 2.4219
29.88 -0.00047112 -98.368 0.13617 2.3906
35.78 -0.00052357 -99.219 0.13635 2.3281
40.62 -0.00067425 -101.73 0.13617 2.5156
45.24 -0.00077439 -103.34 0.13629 2.4297
50.19 -0.00085354 -104.56 0.13629 2.5859
55.1 -0.00094986 -106.06 0.13629 2.6094
59.87 -0.001008 -106.83 0.13617 2.6016
65.74 -0.0011072 -108.35 0.13629 2.5469
70.61 -0.0011768 -109.56 0.13635 2.5547
75.67 -0.0011759 -109.41 0.13648 2.4844
80.63 -0.0012045 -109.81 0.13635 2.4844
84.84 -0.0012178 -110.14 0.13629 2.5156
90.17 -0.0011807 -109.62 0.13629 2.5313
95.43 -0.0010834 -107.93 0.13654 2.4141
100.55 -0.0010491 -107.42 0.13642 2.3984
105.52 -0.00099755 -106.8 0.13666 2.3438
110.74 -0.0008955 -105.22 0.13635 2.3906
115.67 -0.00080872 -103.67 0.13635 2.4297
120.83 -0.00070763 -102.11 0.13642 2.3281
124.87 -0.00061703 -100.77 0.13642 2.4453
129.94 -0.00047589 -98.165 0.13654 2.4141
134.97 -0.00041771 -97.297 0.13648 2.2734
140.15 -0.00031758 -95.602 0.13648 2.2969
145.31 -0.00022411 -93.93 0.1366 2.3281
150.33 -0.00012207 -92.11 0.13666 2.1719
155.35 -8.1063E-5 -91.438 0.13654 2.3203
160.41 -4.2916E-5 -90.751 0.13642 2.375
165.43 2.9564E-5 -89.407 0.13648 2.4141
170.55 9.5368E-7 -89.977 0.13635 2.4453
175.58 1.4305E-5 -89.782 0.13654 2.4688
180.67 2.5749E-5 -89.555 0.13635 2.5078
185.75 -4.0055E-5 -90.704 0.13629 2.5703
189.81 -9.8229E-5 -91.727 0.13635 2.4844
195.65 -0.00020409 -93.61 0.13629 2.4844
200.44 -0.00028992 -95.11 0.13623 2.6406
205.23 -0.00044155 -97.805 0.13623 2.6094
210.07 -0.00054074 -99.508 0.13635 2.4766
215.02 -0.00066948 -101.67 0.13642 2.4844
220.8 -0.00083352 -104.39 0.13635 2.4453
225.5 -0.0009594 -106.38 0.13629 2.4844
230.33 -0.0010185 -107.36 0.13635 2.5156
235.29 -0.0011015 -108.58 0.13617 2.5547
240.1 -0.0012188 -110.48 0.13623 2.4609
244.97 -0.0013046 -111.81 0.13611 2.4531
249.86 -0.0013704 -112.74 0.13617 2.4922
254.93 -0.0013781 -112.85 0.13611 2.3359
259.85 -0.0014515 -113.81 0.13635 2.375
265.19 -0.0013847 -112.98 0.13648 2.1953
270.38 -0.0013609 -112.71 0.13635 2.2031
275.55 -0.0013495 -112.52 0.13642 2.2734
280.55 -0.0012999 -111.94 0.13635 2.2734
285.57 -0.0011873 -110.17 0.13635 2.2734
290.77 -0.0011854 -110.34 0.13605 2.2266
295.75 -0.0010672 -108.41 0.13623 2.2422
299.81 -0.00093651 -106.36 0.13642 2.2344
304.92 -0.00086403 -105.25 0.13635 2.1953
310 -0.0007248 -102.83 0.13629 2.1094
315.24 -0.00061512 -100.95 0.13642 2.1797
320.32 -0.00051976 -99.407 0.13617 2.1406
325.41 -0.00048352 -98.711 0.13623 2.1953
330.43 -0.00039292 -97.172 0.13635 2.1484
335.31 -0.00024891 -94.571 0.13642 2.0781
340.56 -0.00017834 -93.196 0.13635 2.2188
345.36 -0.00021267 -93.899 0.13617 2.2969
350.51 -0.00010491 -91.938 0.13629 2.3594
355.65 -0.00010586 -91.907 0.13635 2.2734
360.33 -0.00011349 -92.001 0.13635 2.4531
0.33 -0.00011921 -92.118 0.13617 2.5469
4.95 -0.00014019 -92.508 0.13611 2.4609
10.74 -0.00020027 -93.665 0.13629 2.3594
15.51 -0.00023937 -94.258 0.13629 2.4766
20.33 -0.00039482 -97.001 0.13611 2.5156
25.03 -0.00045586 -98.086 0.13617 2.5078
29.88 -0.00048924 -98.633 0.13629 2.4453
35.78 -0.00069619 -102.14 0.13611 2.5313
40.62 -0.0007391 -102.71 0.13629 2.4766
45.24 -0.00084019 -104.42 0.13629 2.4844
50.19 -0.00093651 -105.82 0.13629 2.5469
55.1 -0.0010347 -107.21 0.13629 2.6328
59.87 -0.0011187 -108.51 0.13629 2.6094
65.74 -0.0011501 -108.94 0.13642 2.5938
70.61 -0.0012379 -110.17 0.13642 2.5703
75.67 -0.0012827 -110.95 0.13642 2.5
80.63 -0.0012827 -111.02 0.13648 2.4297
84.84 -0.0012446 -110.31 0.13642 2.4531
90.17 -0.0012035 -109.77 0.13648 2.4297
95.43 -0.0011787 -109.23 0.1366 2.3828
100.55 -0.0010834 -107.85 0.1366 2.375
105.52 -0.0010281 -107.03 0.13666 2.4141
110.74 -0.00086403 -104.42 0.13672 2.2188
115.67 -0.0008297 -103.98 0.13648 2.4141
120.83 -0.00069428 -101.8 0.13648 2.4453
124.87 -0.00064946 -101.05 0.13654 2.3594
129.94 -0.00053788 -99.243 0.13654 2.2578
134.97 -0.0004282 -97.415 0.13666 2.2891
140.15 -0.00032807 -95.665 0.13666 2.2578
145.31 -0.00027943 -94.844 0.13666 2.1875
150.33 -0.00020981 -93.688 0.13666 2.2422
155.35 -0.00015164 -92.68 0.1366 2.2734
160.41 -4.7684E-5 -90.813 0.13648 2.3438
165.43 -4.8638E-5 -90.844 0.13642 2.4141
170.55 6.6758E-6 -89.907 0.13648 2.4453
175.58 0 -89.969 0.13648 2.5078
180.67 -4.8638E-5 -90.844 0.13635 2.5078
185.75 -0.00011253 -92.032 0.13635 2.4844
189.81 -0.00017834 -93.172 0.13617 2.5859
195.65 -0.00027085 -94.751 0.13623 2.5313
200.44 -0.00038338 -96.735 0.13617 2.5156
205.23 -0.00048733 -98.594 0.13623 2.5156
210.07 -0.0005312 -99.227 0.13623 2.5313
215.02 -0.00067139 -101.58 0.13629 2.4844
220.8 -0.00076866 -103.17 0.13642 2.3906
225.5 -0.00092602 -105.9 0.13623 2.5078
230.33 -0.001071 -108.04 0.13617 2.5547
235.29 -0.0011778 -109.79 0.13617 2.4766
240.1 -0.0012245 -110.4 0.13623 2.4922
244.97 -0.0013208 -111.89 0.13617 2.5469
249.86 -0.0013781 -112.62 0.13635 2.3984
254.93 -0.0013847 -112.86 0.13623 2.3047
259.85 -0.0014696 -114.22 0.13635 2.4219
265.19 -0.0014801 -114.34 0.13629 2.4297
270.38 -0.00142 -113.45 0.13635 2.2734
275.55 -0.0013762 -112.98 0.13635 2.3281
280.55 -0.001296 -111.71 0.13623 2.25
285.57 -0.0012493 -110.98 0.13617 2.2422
290.77 -0.0011263 -109.26 0.13629 2.2188
295.75 -0.0010662 -108.37 0.13617 2.2813
299.81 -0.00097943 -106.95 0.13617 2.2969
304.92 -0.00087548 -105.35 0.13629 2.1719
310 -0.00076199 -103.52 0.13629 2.25
315.24 -0.00064946 -101.52 0.13635 2.2109
320.32 -0.00053311 -99.501 0.13635 2.1094
325.41 -0.0004921 -98.883 0.13648 2.1094
330.43 -0.00033474 -96.079 0.13635 2.1094
335.31 -0.00029469 -95.297 0.13635 2.1641
340.56 -0.00020409 -93.641 0.13629 2.1953
345.36 -0.00019741 -93.594 0.13617 2.2813
350.51 -0.00015926 -92.852 0.13623 2.4219
355.65 -0.00016403 -92.922 0.13617 2.4531
360.33 -0.00014877 -92.68 0.13629 2.3984
0.33 -0.00016976 -93.047 0.13629 2.3203
4.95 -0.00016308 -92.961 0.13617 2.4063
10.74 -0.0002079 -93.618 0.13635 2.5703
15.51 -0.00026417 -94.649 0.13642 2.4453
20.33 -0.00035763 -96.352 0.13629 2.5469
25.03 -0.00043011 -97.618 0.13617 2.4531
29.88 -0.0005455 -99.508 0.13629 2.5313
35.78 -0.00067139 -101.63 0.13635 2.4141
40.62 -0.00079346 -103.67 0.13635 2.5547
45.24 -0.00089932 -105.3 0.13629 2.5859
50.19 -0.0010204 -107.11 0.13629 2.5469
55.1 -0.0010281 -107.06 0.13635 2.5547
59.87 -0.001111 -108.33 0.13642 2.5703
65.74 -0.0012074 -109.7 0.13635 2.5703
70.61 -0.0012674 -110.65 0.13648 2.5
75.67 -0.0012713 -110.65 0.13642 2.4844
80.63 -0.0012617 -110.38 0.13654 2.5547
84.84 -0.0012694 -110.5 0.13654 2.4844
90.17 -0.0012884 -110.87 0.13648 2.4141
95.43 -0.0011435 -108.57 0.13666 2.4531
100.55 -0.0011549 -108.84 0.13648 2.4141
105.52 -0.0010576 -107.36 0.13654 2.4453
110.74 -0.00095749 -105.96 0.13654 2.4531
115.67 -0.00083828 -103.95 0.13672 2.3984
120.83 -0.00077343 -103.06 0.13654 2.5234
124.87 -0.00063134 -100.76 0.13672 2.3125
129.94 -0.00061512 -100.62 0.13642 2.3906
134.97 -0.00049878 -98.547 0.1366 2.3828
140.15 -0.00040817 -97.024 0.13666 2.2578
145.31 -0.00026608 -94.633 0.1366 2.2734
150.33 -0.00020981 -93.641 0.13654 2.2969
