#Alpha(50mT) X DEG X DEG
0.2 0.00012875 -86.626 0.13696 2
5.01 7.4387E-5 -88.086 0.13696 2.0313
9.78 7.0572E-5 -88.211 0.13703 2.0313
14.66 6.3897E-5 -88.313 0.13703 2.0703
20.55 -1.2398E-5 -90.29 0.13684 2.1016
25.1 -2.6703E-5 -90.68 0.13703 2
29.95 -2.2888E-5 -90.594 0.13715 2.0547
34.87 -7.9155E-5 -91.922 0.13709 2.1172
40.29 -9.2507E-5 -92.336 0.13703 2.0391
45.28 -0.00014687 -93.79 0.13696 2.1016
49.72 -0.00015926 -94.024 0.13709 2.125
55.38 -0.00019264 -94.766 0.13721 2.125
60.13 -0.00020599 -95.211 0.13721 2.0938
64.95 -0.00017548 -94.438 0.13703 2.1406
70.47 -0.00021935 -95.415 0.13715 2.1797
75.53 -0.00021839 -95.422 0.13715 2.1719
80.51 -0.00018692 -94.696 0.13715 2.1797
85.78 -0.00016689 -94.18 0.13721 2.1953
89.74 -0.00017357 -94.313 0.13715 2.1484
95.07 -0.00016594 -94.196 0.13709 2.1172
100.31 -9.4414E-5 -92.422 0.13715 2.1719
105.56 -5.6267E-5 -91.329 0.13703 2.1563
109.76 -7.8202E-5 -91.946 0.13709 2.1719
115.28 -2.0027E-5 -90.579 0.13715 2.1094
120.24 2.3842E-5 -89.376 0.13715 2.125
125.66 4.1962E-5 -88.876 0.13721 2.1484
130.64 4.9591E-5 -88.774 0.13721 2.125
134.96 6.1989E-5 -88.461 0.13703 2.1953
139.98 9.7275E-5 -87.477 0.13703 2.1953
145.04 9.06E-5 -87.696 0.13715 2.1406
150.13 0.00011826 -87.047 0.13703 2.1406
155.11 0.00016213 -85.821 0.13703 2.1172
160.13 0.00012589 -86.696 0.1369 2.1172
165.31 0.00012207 -86.922 0.13696 2.1016
170.46 0.00012875 -86.758 0.13684 2.1563
175.41 0.00010777 -87.141 0.13715 2.0859
180.5 6.3897E-5 -88.391 0.13709 2.0859
185.59 7.6294E-5 -88.086 0.13703 2.1563
189.73 5.9128E-5 -88.461 0.1369 2.125
195.59 -2.0027E-5 -90.493 0.13703 2.0938
200.58 -5.3406E-5 -91.344 0.13703 2.0391
204.76 -5.6267E-5 -91.438 0.13703 2.0938
210.64 -8.297E-5 -92.063 0.13709 2.0859
215.29 -0.00013542 -93.43 0.13715 2.0703
220 -0.00018692 -94.735 0.13703 2.2422
225.07 -0.00016022 -94.032 0.13709 2.1719
230.76 -0.00022698 -95.672 0.13709 2.125
235.66 -0.00024605 -96.251 0.13715 2.1406
240.44 -0.00025082 -96.36 0.13715 2.1953
245.47 -0.00027275 -96.813 0.13709 2.1797
250.29 -0.00029278 -97.336 0.13715 2.0703
255.27 -0.00028134 -97.102 0.13721 2.1094
260.31 -0.00025749 -96.493 0.13709 2.1953
265.31 -0.00023461 -95.805 0.13721 2.1719
270.42 -0.00025463 -96.454 0.13709 2.1719
275.43 -0.00016594 -94.235 0.13715 2.1484
280.53 -0.00014687 -93.649 0.13721 2.125
285.7 -0.00013828 -93.454 0.13696 2.125
289.81 -0.00012493 -93.227 0.13709 2.1797
295.59 -5.5313E-5 -91.36 0.13709 2.1563
299.91 -5.1499E-5 -91.235 0.1369 2.2109
304.84 -9.5368E-6 -90.235 0.13703 2.1172
309.79 2.861E-5 -89.29 0.13709 2.2109
315.08 2.861E-5 -89.243 0.13703 2.2422
320.33 5.2452E-5 -88.618 0.13696 2.25
325.3 0.00012207 -86.946 0.13715 2.1719
330.31 0.00012493 -86.797 0.13696 2.2969
335.64 0.00012779 -86.704 0.13703 2.25
340.66 0.00015354 -86.094 0.1369 2.1953
345.61 0.00016403 -85.79 0.13678 2.3125
350.69 0.0001545 -85.961 0.1369 2.3203
354.75 0.00011444 -87.055 0.13678 2.2969
360.21 0.00012112 -86.915 0.1369 2.25
0.2 0.00012779 -86.774 0.1369 2.3359
5.01 7.248E-5 -88.157 0.13672 2.4688
9.78 5.8174E-5 -88.469 0.13696 2.2969
14.66 3.9101E-5 -89.024 0.13684 2.3516
20.55 -9.5368E-7 -90.071 0.13684 2.3359
25.1 -9.5368E-6 -90.172 0.13696 2.2969
29.95 -3.5286E-5 -90.876 0.13703 2.2188
34.87 -7.1526E-5 -91.821 0.13703 2.2969
40.29 -8.0109E-5 -91.954 0.1369 2.3672
45.28 -0.00012016 -92.938 0.13703 2.3516
49.72 -0.00016689 -94.211 0.1369 2.3203
55.38 -0.00016117 -94.04 0.13709 2.3516
60.13 -0.00016308 -93.961 0.13703 2.4453
64.95 -0.00021839 -95.454 0.13703 2.4063
70.47 -0.00018024 -94.571 0.13715 2.3203
75.53 -0.00017071 -94.219 0.13709 2.3203
80.51 -0.00018311 -94.501 0.13703 2.2969
85.78 -0.00015545 -93.836 0.1369 2.4219
