Alpha(50mT) X DEG X DEG
269.87 0.00054837 58.852 0.91126 1.4688
264.87 0.0045519 12.563 0.91126 1.4766
260.09 0.0051742 11.211 0.91144 1.4766
254.93 0.0050283 11.453 0.91187 1.4766
249.97 0.004788 12.024 0.91187 1.4766
244.87 0.005096 11.344 0.91156 1.4844
239.88 0.0050655 11.406 0.91217 1.4688
235.2 0.0049224 11.813 0.91248 1.4688
230.31 0.0050154 11.492 0.91193 1.4766
224.9 0.005085 11.328 0.91217 1.4688
220.2 0.0049439 11.399 0.91242 1.4688
215.38 0.0050445 11.156 0.91254 1.4688
210.34 0.0048809 11.711 0.91254 1.4688
204.93 0.0045929 12.633 0.91242 1.4688
199.85 0.0047646 11.852 0.9123 1.4766
194.78 0.004643 12.383 0.91242 1.4688
189.74 0.0043865 12.961 0.91266 1.4688
185.55 0.0044012 12.695 0.91254 1.4766
180.42 0.0041361 13.414 0.91248 1.4766
175.29 0.0037747 14.727 0.91254 1.4688
170.04 0.0033813 16.11 0.9123 1.4766
164.9 -0.0022826 158.85 0.91242 1.4688
159.9 -0.0022249 158.13 0.91175 1.4688
154.72 -0.0019264 155.13 0.91138 1.4688
149.48 -0.0018211 154.19 0.91126 1.4688
145.5 -0.0018177 153.77 0.91144 1.4688
139.55 -0.0015779 150.06 0.91114 1.4766
135.97 -0.0015731 150.24 0.91102 1.4766
129.44 -0.0012851 145.37 0.91126 1.4688
124.62 -0.0011573 142.34 0.9112 1.4688
119.7 -0.0011764 142.61 0.91102 1.4688
115.42 -0.001173 143.02 0.91077 1.4766
109.55 -0.0010018 137.38 0.91071 1.4766
104.54 -0.00084067 132.06 0.91065 1.4766
100.45 -0.00078345 130.95 0.91022 1.4844
95.51 -0.00053215 120.84 0.91059 1.4766
90.32 6.9619E-5 85.438 0.91022 1.4844
84.52 0.004334 12.883 0.91083 1.4766
80.48 0.0049563 11.477 0.91163 1.4688
74.49 0.0050311 11.406 0.91175 1.4688
69.54 0.0052095 10.82 0.9112 1.4844
64.56 0.0052081 10.711 0.91114 1.4844
59.58 0.0050955 11.195 0.91156 1.4688
54.58 0.0050536 11.453 0.91175 1.4688
49.57 0.0050035 11.297 0.91138 1.4766
45.94 0.0048037 11.758 0.9115 1.4766
39.82 0.004941 11.461 0.91156 1.4688
34.86 0.0048428 11.75 0.91169 1.4688
30.02 0.0047016 11.922 0.91181 1.4766
25.11 0.0044771 12.461 0.91132 1.4922
20.19 0.0045839 12.438 0.91144 1.4844
15.34 0.0043536 12.641 0.91089 1.4922
10.3 0.0044847 12.219 0.91156 1.4844
5.33 0.0043907 12.789 0.91144 1.4844
0.42 0.0043035 12.797 0.9115 1.4844
-4.52 0.0043907 12.484 0.91126 1.4922
-9.57 0.0041991 13.344 0.9112 1.4922
-14.52 -0.001039 139.88 0.91156 1.4844
-19.73 -0.0011273 142.22 0.91102 1.4844
-25.48 -0.0010338 139.78 0.91095 1.4766
-29.58 -0.00089741 135.52 0.91077 1.4844
-35.46 -0.00095606 137.06 0.91108 1.4844
-39.57 -0.000875 134.68 0.91108 1.4844
-45.07 -0.00094605 136.57 0.91083 1.4922
-50.15 -0.0004406 116.29 0.91059 1.4922
-55.22 -0.00045634 117.84 0.91102 1.4844
-59.97 -0.0004015 114.11 0.91089 1.4844
-64.87 -0.00040579 113.81 0.9104 1.4922
-69.8 1.7166E-5 88.485 0.91028 1.4922
-74.74 4.5777E-5 87.102 0.91046 1.4922
-79.72 0.00028801 72.469 0.91046 1.4922
-84.89 0.00048161 61.953 0.91046 1.4922
-90.13 0.00076533 50.633 0.91071 1.4922
269.87 0.00099231 43.446 0.9104 1.4922
264.87 0.0052219 11.039 0.9112 1.4922
260.09 0.0060854 9.5157 0.91163 1.4922
254.93 0.0057369 10.047 0.91224 1.4844
249.97 0.0057435 9.9454 0.91205 1.4844
244.87 0.0058713 9.6719 0.91199 1.4844
239.88 0.0057378 9.8516 0.91175 1.4922
235.2 0.0057307 9.8204 0.91187 1.4844
230.31 0.0056515 10.039 0.91205 1.4844
224.9 0.0056434 10.024 0.91193 1.4844
220.2 0.0056243 10.188 0.91199 1.4844
215.38 0.0053234 10.664 0.91175 1.4922
210.34 0.0052872 10.508 0.91156 1.4922
204.93 0.0052452 10.828 0.91156 1.5
199.85 0.0053206 10.617 0.91132 1.5
194.78 0.0053244 10.539 0.91138 1.4922
189.74 0.0052042 10.742 0.91126 1.4922
185.55 0.0052667 10.68 0.91138 1.4922
180.42 0.0049491 11.344 0.91156 1.4844
175.29 0.0048519 11.484 0.91138 1.4922
170.04 0.0044933 12.742 0.91114 1.4922
164.9 -0.0011244 141.69 0.9104 1.4922
159.9 -0.00046635 119.3 0.91034 1.4844
154.72 -0.00096703 137.7 0.90992 1.4922
149.48 -0.00091792 136.01 0.90998 1.4922
145.5 -0.00061846 125.79 0.90986 1.4922
139.55 -0.00044775 116.95 0.90998 1.4922
135.97 -0.00050211 119.1 0.90967 1.4922
129.44 -0.00022745 105.34 0.9101 1.4766
124.62 -0.00022984 104.39 0.909 1.4922
119.7 -0.00027609 107.03 0.90937 1.4922
115.42 -0.00013399 98.766 0.90918 1.4922
109.55 -4.3392E-5 93.399 0.90955 1.4844
104.54 0.00028563 72.196 0.90925 1.4922
100.45 0.00043154 64.407 0.90955 1.4844
95.51 0.00061465 55.25 0.90937 1.4922
90.32 0.00091553 44.461 0.90925 1.4922
84.52 0.0055404 10.313 0.90937 1.4922
