Alpha(210mT) X DEG X DEG
270 -0.00057507 117.92 0.93934 0
264.98 -0.00062275 118.56 0.93934 -0.023438
260.11 -0.00065136 120.93 0.93921 0
255.18 -0.00054074 115.84 0.93921 0
250.27 -0.00025368 102.74 0.93921 -0.0078126
245.33 -0.00012493 96.141 0.93915 0
240.37 6.3897E-5 86.626 0.93903 -0.0078126
235.27 0.00028038 76.485 0.93915 0
230.29 0.00049878 66.094 0.93909 0
225.27 0.0008812 52.321 0.93915 -0.0078126
220.35 0.00096417 48.883 0.93909 -0.015625
215.31 0.0011292 44.571 0.93885 -0.0078126
210.4 0.0013037 40.11 0.93915 -0.015625
205.5 0.0016127 35.008 0.93903 -0.0078126
200.43 0.0019121 29.102 0.93903 -0.015625
195.44 0.0023213 26.086 0.93909 -0.015625
190.25 0.0026322 22.57 0.93897 -0.023438
185.25 0.0029297 19.828 0.93915 -0.023438
179.86 0.0030937 18.414 0.93909 -0.023438
174.8 0.0030308 19.922 0.93927 -0.03125
169.87 0.0027533 21.539 0.93915 -0.03125
164.84 0.0023604 24.258 0.93964 -0.023438
159.94 0.0019598 30.18 0.93952 -0.023438
154.84 0.0016461 34.524 0.93958 -0.023438
149.99 0.0012808 41.492 0.93982 -0.023438
144.98 0.00095177 49.602 0.93964 -0.03125
140.01 0.00059891 60.821 0.93995 -0.03125
135.23 0.00041294 70.063 0.93976 -0.023438
130.09 8.8692E-5 85.524 0.93995 -0.023438
124.98 -0.00013065 96.93 0.93988 -0.023438
120.06 -0.00064183 120.12 0.9397 -0.03125
115.31 -0.0009451 130.71 0.93964 -0.03125
110.14 -0.0013361 139.61 0.93964 -0.023438
105.31 -0.0016537 145.68 0.93958 -0.03125
100.09 -0.0020866 150.59 0.93958 -0.03125
95.07 -0.0023708 153.14 0.9394 -0.023438
89.89 -0.0026493 155.56 0.93915 -0.03125
84.77 -0.0027895 155.37 0.93909 -0.03125
79.63 -0.0028143 156.95 0.93891 -0.023438
74.74 -0.0025406 154.41 0.93897 -0.023438
69.79 -0.0025711 155.02 0.93897 -0.023438
64.89 -0.002307 151.98 0.93891 -0.023438
59.93 -0.0020113 148.34 0.93879 -0.023438
54.95 -0.0016918 143.31 0.93891 -0.015625
50 -0.0015306 140.14 0.93879 -0.023438
45.1 -0.0011749 132.96 0.93915 -0.015625
40.09 -0.00075722 121.64 0.93921 -0.015625
35.09 -0.000556 114.23 0.93885 -0.015625
30.23 -0.00022984 100.71 0.93909 -0.0078126
25.26 3.8147E-6 89.907 0.93915 -0.023438
20.3 0.00018883 81.547 0.93909 -0.015625
15.37 0.00034619 74.829 0.93903 -0.015625
10.13 0.00074864 59.407 0.93915 -0.015625
5.16 0.0010672 49.188 0.93927 -0.015625
-0.02 0.0013199 41.813 0.93927 -0.023438
-5.02 0.0014181 38.25 0.9394 -0.023438
-9.97 0.0012884 41.242 0.93976 -0.023438
-15.05 0.0010662 48.5 0.93976 -0.023438
-19.94 0.00076676 57.078 0.93982 -0.023438
-24.77 0.00051499 66.321 0.94001 -0.015625
-29.82 9.9183E-5 85.149 0.93982 -0.023438
-34.69 -0.00015926 97.36 0.93995 -0.023438
-39.65 -0.00054932 114.24 0.93995 -0.023438
-44.54 -0.00094605 128.76 0.93995 -0.015625
-49.55 -0.0014839 141.75 0.93982 -0.023438
-54.52 -0.0017967 145.94 0.93982 -0.023438
-60.43 -0.0020781 150.22 0.93958 -0.03125
-65.36 -0.0023585 152.86 0.93946 -0.023438
-70.36 -0.0025187 154.11 0.93946 -0.03125
-75.42 -0.00278 156.54 0.9394 -0.023438
-80.46 -0.0030632 158.15 0.93915 -0.03125
-85.42 -0.0031986 158.79 0.93897 -0.03125
-90 -0.0032988 159.23 0.93897 -0.03125
270 -0.0032892 158.48 0.93909 -0.03125
264.98 -0.0031853 158.07 0.93879 -0.023438
260.11 -0.0031223 157.14 0.9386 -0.023438
255.18 -0.0029898 155.92 0.93854 -0.023438
250.27 -0.0028448 155.95 0.93842 -0.023438
245.33 -0.0025635 153.56 0.93824 -0.015625
240.37 -0.0022507 150.96 0.9383 -0.0078126
235.27 -0.0018482 144.51 0.93817 -0.023438
230.29 -0.0015268 142.1 0.93811 -0.023438
225.27 -0.001235 133.56 0.93817 -0.015625
220.35 -0.00081635 122.94 0.93799 -0.0078126
215.31 -0.00040341 107.11 0.93799 -0.015625
210.4 -0.00010204 94.563 0.93824 -0.023438
205.5 0.00018597 81.618 0.93811 -0.0078126
200.43 0.00049115 69.376 0.93817 -0.0078126
195.44 0.000803 57.61 0.93811 -0.015625
190.25 0.001174 46.438 0.9383 -0.0078126
185.25 0.0014353 39.508 0.93848 -0.015625
179.86 0.0016346 37.438 0.93848 -0.0078126
174.8 0.0016346 34.539 0.93854 -0.0078126
169.87 0.0015535 37.407 0.93873 -0.0078126
164.84 0.0013399 40.992 0.93873 -0.0078126
159.94 0.0011072 45.899 0.93866 -0.015625
154.84 0.00086785 54.297 0.93903 -0.0078126
149.99 0.00061322 61.274 0.93897 -0.0078126
144.98 0.00024796 78.024 0.93891 -0.0078126
140.01 3.1472E-5 88.485 0.93891 -0.0078126
135.23 -0.00026703 103.98 0.93903 0
130.09 -0.0005169 114.02 0.93903 0
124.98 -0.00082493 126.91 0.93903 0
120.06 -0.0011511 135.99 0.93885 -0.0078126
115.31 -0.0013361 139.3 0.93891 -0.0078126
110.14 -0.0015144 141.45 0.93885 -0.015625
105.31 -0.0017586 145.52 0.93879 0
100.09 -0.0019817 148.74 0.93873 0
95.07 -0.0022164 151.02 0.9386 0
