#Alpha(207mT) X DEG X DEG
0.33 0.0047837 -63.117 0.075242 0.54688
20.33 0.0048523 -62.828 0.075226 0.71094
40.62 0.0043144 -65.454 0.075242 1.0547
59.87 0.0033646 -70.446 0.07515 1.0156
80.63 0.0021935 -77.047 0.075264 0.83594
100.55 0.0012703 -82.407 0.075272 0.49219
120.83 0.00062561 -86.266 0.075341 0.47656
140.15 -0.00030136 -91.86 0.07531 0.35938
160.41 -0.00035477 -92.219 0.075242 0.46875
180.67 -0.00049591 -93.071 0.075203 0.70313
200.44 -0.00065232 -94.001 0.075203 0.85157
220.8 -0.00049973 -93.04 0.075158 1.0547
240.1 -0.00014877 -90.915 0.075135 1.1953
259.85 0.00062561 -86.211 0.075203 0.94532
280.55 0.0016213 -80.086 0.07515 0.67969
299.81 0.0028725 -72.805 0.075264 0.6875
320.32 0.0040207 -66.485 0.075242 0.39063
340.56 0.0046997 -63.086 0.075272 0.46094
360.33 0.0051651 -60.805 0.075203 0.92969
0.33 0.004879 -62.203 0.075165 1.0234
20.33 0.0048828 -62.25 0.07518 0.92188
40.62 0.0042687 -65.579 0.075135 1.0781
59.87 0.0034599 -69.922 0.075112 1.3516
80.63 0.0024147 -75.782 0.075203 0.84375
100.55 0.0014038 -81.618 0.075211 0.60938
120.83 0.00063706 -86.141 0.075287 0.53907
140.15 -0.00031281 -91.93 0.07528 0.33594
160.41 -0.00032044 -92.008 0.075295 0.57032
180.67 -0.00042725 -92.68 0.07518 1.0391
200.44 -0.00054932 -93.376 0.075219 0.97657
220.8 -0.0004921 -93.001 0.07515 1.2109
240.1 -1.5259E-5 -90.079 0.075158 1.2891
259.85 0.00066758 -85.938 0.075203 0.90625
280.55 0.0016632 -79.844 0.075234 0.71094
299.81 0.0028877 -72.688 0.075249 0.5625
320.32 0.004036 -66.516 0.075303 0.27344
340.56 0.0047417 -62.867 0.075272 0.39844
360.33 0.0051651 -60.899 0.075173 0.79688
0.33 0.0049439 -61.914 0.075211 0.94532
20.33 0.0050965 -61.469 0.075112 1.0469
40.62 0.0043679 -65.11 0.075104 1.0781
59.87 0.0034142 -70.204 0.07515 1.2188
80.63 0.0024262 -75.665 0.075226 0.86719
100.55 0.0013771 -81.805 0.075226 0.53907
120.83 0.00053025 -86.79 0.075203 0.35156
140.15 -0.00028992 -91.797 0.075272 0.25781
160.41 -0.00037003 -92.282 0.075257 0.20313
180.67 -0.00053025 -93.282 0.075188 0.79688
200.44 -0.00055313 -93.376 0.075142 1.0781
220.8 -0.0004158 -92.547 0.075203 1.0625
240.1 7.6295E-6 -89.938 0.075188 1.1953
259.85 0.00063324 -86.188 0.075219 0.875
280.55 0.0016632 -79.938 0.075234 0.69532
299.81 0.0028839 -72.774 0.075242 0.46875
320.32 0.003994 -66.711 0.075295 0.33594
340.56 0.0047989 -62.641 0.075341 0.46094
360.33 0.005188 -60.914 0.07531 0.69532
0.33 0.0049401 -62.078 0.075196 0.82032
20.33 0.0048676 -62.571 0.075173 0.94532
40.62 0.0043564 -65.157 0.075066 1.1328
59.87 0.0033531 -70.602 0.075066 1.2109
80.63 0.0024529 -75.618 0.075203 0.89063
100.55 0.0013542 -81.922 0.075211 0.64063
120.83 0.00064087 -86.141 0.07518 0.59375
140.15 -0.00027466 -91.711 0.07518 0.28125
160.41 -0.00037766 -92.376 0.075173 0.40625
180.67 -0.00046158 -92.868 0.075203 0.77344
200.44 -0.00057602 -93.516 0.075226 0.95313
220.8 -0.0004158 -92.508 0.075158 1.1094
240.1 3.8147E-6 -89.961 0.075142 1.0938
259.85 0.00069809 -85.774 0.075112 0.71875
280.55 0.0017662 -79.336 0.075097 0.53907
299.81 0.003006 -72.016 0.075127 0.52344
320.32 0.0039063 -67.118 0.075127 0.22656
340.56 0.0047074 -63.141 0.075158 0.35938
360.33 0.0051537 -61.055 0.075127 0.82032
