#Alpha(207mT) X DEG X DEG
0.33 -0.00036621 91.008 0.45349 1.0469
10.74 -0.00025177 90.672 0.45349 1.0938
20.33 -0.00014496 90.407 0.45343 1.1484
29.88 0.00020599 89.407 0.45307 1.2891
40.62 0.00026703 89.18 0.45294 1.3984
50.19 0.0003357 89.008 0.45282 1.5859
59.87 0.00026703 89.219 0.45264 1.75
70.61 -6.1036E-5 90.141 0.45276 1.5547
80.63 -0.00067902 91.938 0.45288 1.3906
90.17 -0.0011139 93.297 0.45301 1.1328
100.55 -0.0013275 93.938 0.45307 1.0078
110.74 -0.0014877 94.438 0.45325 0.9375
120.83 -0.0019074 95.688 0.45331 0.77344
129.94 -0.0018997 95.688 0.45343 0.64063
140.15 -0.0018845 95.618 0.45349 0.53907
150.33 -0.0018005 95.352 0.45362 0.48438
160.41 -0.0014343 94.196 0.45349 0.67188
170.55 -0.00086213 92.477 0.45331 1.0313
180.67 -0.00021362 90.532 0.45307 1.375
189.81 0.0002594 89.258 0.45307 1.4453
200.44 0.00083161 87.711 0.45294 1.5469
210.07 0.0010834 87.008 0.45301 1.4688
220.8 0.0012894 86.469 0.45301 1.5313
230.33 0.0015793 85.782 0.45288 1.7188
240.1 0.0015564 85.844 0.45276 1.7578
249.86 0.0011902 86.758 0.45307 1.5313
259.85 0.00081635 87.782 0.45313 1.3359
270.38 0.00048828 88.688 0.45325 1.2109
280.55 -5.3406E-5 90.118 0.45349 0.97657
290.77 -0.00041962 91.126 0.45362 0.875
299.81 -0.0007248 92.001 0.45374 0.77344
310 -0.00080872 92.243 0.45386 0.69532
320.32 -0.0011597 93.243 0.45398 0.46875
330.43 -0.0012131 93.399 0.45398 0.49219
340.56 -0.00090027 92.493 0.4538 0.75
350.51 -0.00037384 91.024 0.45349 1.0625
360.33 -7.6294E-5 90.18 0.45337 1.2734
0.33 -0.00019836 90.508 0.45331 1.3203
10.74 0.00019074 89.477 0.45313 1.4844
20.33 0.00041962 88.813 0.45307 1.5
29.88 0.00038147 88.876 0.45301 1.4922
40.62 0.00019074 89.446 0.45288 1.5156
50.19 0.00029755 89.149 0.4527 1.6953
59.87 0.00037384 88.922 0.45264 1.7578
70.61 -0.00023651 90.626 0.45264 1.5859
80.63 -0.00079346 92.321 0.45282 1.3516
90.17 -0.0010834 93.165 0.45294 1.1641
100.55 -0.0014038 94.149 0.45307 1.0313
110.74 -0.0016403 94.883 0.45313 0.97657
120.83 -0.0018082 95.391 0.45325 0.84375
129.94 -0.0018768 95.618 0.45337 0.73438
140.15 -0.00206 96.141 0.45362 0.51563
150.33 -0.0019608 95.805 0.45349 0.51563
160.41 -0.001442 94.18 0.45343 0.79688
170.55 -0.0009079 92.594 0.45325 1.0313
180.67 -0.00028992 90.797 0.45307 1.3438
189.81 0.00022125 89.399 0.45294 1.4609
200.44 0.00063324 88.251 0.45301 1.4219
210.07 0.00090027 87.501 0.45288 1.5156
220.8 0.0012436 86.626 0.45288 1.6172
230.33 0.0010986 87.016 0.45301 1.6016
240.1 0.0014572 86.079 0.45276 1.7813
249.86 0.0011292 86.961 0.45294 1.5859
259.85 0.00073243 88.047 0.45307 1.4609
270.38 0.00037384 88.946 0.45325 1.1797
280.55 -5.3406E-5 90.157 0.45343 1.0078
290.77 -0.00058747 91.626 0.45362 0.85938
299.81 -0.00053406 91.454 0.45362 0.89063
310 -0.00092316 92.571 0.45392 0.625
320.32 -0.0011063 93.063 0.4538 0.59375
330.43 -0.0012589 93.524 0.45398 0.4375
340.56 -0.00090027 92.493 0.45374 0.69532
350.51 -0.00052643 91.407 0.45362 1.0938
360.33 -0.00022888 90.657 0.45337 1.2344
0.33 -0.00020599 90.579 0.45331 1.3125
10.74 4.5777E-5 89.86 0.45325 1.3906
20.33 0.00018311 89.438 0.45319 1.4609
29.88 0.00017548 89.493 0.45294 1.5078
40.62 9.1553E-5 89.711 0.45282 1.5547
50.19 0.00021362 89.336 0.4527 1.6641
59.87 4.5777E-5 89.844 0.45252 1.7656
70.61 -0.00043488 91.243 0.45276 1.5234
80.63 -0.00084687 92.415 0.45294 1.3047
90.17 -0.0011521 93.352 0.45294 1.2188
100.55 -0.0015717 94.672 0.45307 1.0938
110.74 -0.0018921 95.641 0.45325 0.89063
120.83 -0.0018845 95.594 0.45331 0.92188
129.94 -0.0020676 96.165 0.45343 0.69532
140.15 -0.0021668 96.501 0.45349 0.52344
150.33 -0.0019302 95.735 0.45368 0.45313
160.41 -0.0016861 94.922 0.45349 0.65625
170.55 -0.0010986 93.141 0.45337 0.9375
180.67 -0.0005188 91.446 0.45313 1.1797
189.81 4.5777E-5 89.829 0.45301 1.4063
200.44 0.00051117 88.563 0.45301 1.4922
210.07 0.00055695 88.454 0.45307 1.4141
220.8 0.00092316 87.438 0.45307 1.4063
230.33 0.00086976 87.579 0.45307 1.4219
240.1 0.0009079 87.524 0.45307 1.4297
249.86 0.00096131 87.391 0.45313 1.3359
259.85 0.00062561 88.266 0.45331 1.1563
270.38 -5.3406E-5 90.141 0.45349 0.89063
280.55 -0.0006485 91.805 0.45362 0.74219
290.77 -0.00090027 92.493 0.45374 0.625
299.81 -0.0010986 93.055 0.4538 0.64063
310 -0.0014649 94.11 0.45398 0.40625
320.32 -0.0014725 94.157 0.4541 0.3125
330.43 -0.0015183 94.297 0.45416 0.28125
340.56 -0.0014191 94.024 0.45404 0.54688
350.51 -0.00099946 92.813 0.45374 0.75
360.33 -0.00036621 90.985 0.45368 1
