##Alpha(207mT) X DEG X DEG
0.33 8.3924E-5 89.563 0.51624 -5.3594
4.95 0.00026322 88.54 0.51654 -5.1797
10.74 0.00051117 87.204 0.51654 -5.1641
15.51 0.00067139 86.391 0.51679 -5.1094
20.33 0.00087357 85.274 0.51673 -5.1328
25.03 0.00091935 84.977 0.51685 -5.125
29.88 0.0010033 84.586 0.51685 -5.0235
35.78 0.0010986 84.071 0.51691 -5.0157
40.62 0.0010033 84.555 0.51697 -4.9453
45.24 0.00097657 84.704 0.51697 -5
50.19 0.00079727 85.719 0.51722 -4.8203
55.1 0.00069809 86.258 0.51716 -4.8047
59.87 0.00051117 87.204 0.51709 -4.8828
65.74 0.00022507 88.774 0.51703 -4.8907
70.61 6.1036E-5 89.688 0.51685 -5.0782
75.67 -0.00018692 90.993 0.51673 -5.1485
80.63 -0.00045014 92.407 0.51667 -5.1641
84.84 -0.00069428 93.758 0.51636 -5.4219
90.17 -0.00094986 95.118 0.5163 -5.3594
95.43 -0.0011978 96.43 0.51624 -5.4375
100.55 -0.0014572 97.836 0.516 -5.5235
105.52 -0.0015945 98.54 0.51593 -5.5
110.74 -0.0016785 99.001 0.51581 -5.6094
115.67 -0.0018234 99.672 0.51575 -5.6563
120.83 -0.0018234 99.688 0.51563 -5.75
124.87 -0.0018578 99.891 0.51569 -5.7578
129.94 -0.0018349 99.813 0.51551 -5.8516
134.97 -0.0018463 99.868 0.51557 -5.8516
140.15 -0.0016441 98.782 0.51557 -5.875
145.31 -0.0015602 98.454 0.51532 -5.9766
150.33 -0.0014343 97.79 0.5152 -6.0782
155.35 -0.0012817 96.93 0.51551 -5.9141
160.41 -0.0010567 95.735 0.51545 -5.8125
165.43 -0.00083924 94.508 0.51581 -5.6407
170.55 -0.00053788 92.907 0.51606 -5.5391
175.58 -0.00031662 91.719 0.51636 -5.3594
180.67 -1.9074E-5 90.063 0.51642 -5.2813
185.75 0.00018692 88.946 0.51667 -5.1172
189.81 0.00039292 87.868 0.51685 -5.0703
195.65 0.00065995 86.399 0.51685 -5.0469
200.44 0.0008545 85.352 0.51709 -5.0313
205.23 0.00095749 84.797 0.51685 -5.0469
210.07 0.001091 84.141 0.51697 -5.1016
215.02 0.0011406 83.836 0.51709 -5.0078
220.8 0.0010948 84.086 0.51722 -4.9453
225.5 0.0010338 84.454 0.51709 -4.9141
230.33 0.0010529 84.344 0.51722 -4.9453
235.29 0.00082779 85.532 0.51728 -4.8672
240.1 0.00070191 86.204 0.51697 -5.0547
244.97 0.00055695 87.024 0.51697 -4.9922
249.86 0.00030518 88.336 0.51673 -5.0782
254.93 6.1036E-5 89.657 0.51673 -5.1172
259.85 -0.00019074 91.047 0.51654 -5.211
265.19 -0.00041962 92.235 0.51636 -5.3125
270.38 -0.00069809 93.68 0.51624 -5.4141
275.55 -0.00090409 94.782 0.516 -5.4922
280.55 -0.0010986 95.805 0.51593 -5.6953
285.57 -0.001297 96.852 0.51587 -5.6563
290.77 -0.0014801 97.836 0.51569 -5.7188
295.75 -0.0015602 98.227 0.51557 -5.6953
299.81 -0.0015869 98.36 0.51569 -5.6641
304.92 -0.0016747 98.829 0.51551 -5.875
310 -0.001667 98.868 0.51532 -5.8672
315.24 -0.0015869 98.407 0.51532 -5.9297
320.32 -0.001503 97.985 0.51526 -6.0157
325.41 -0.0014 97.454 0.51526 -6.0078
330.43 -0.0012474 96.657 0.51532 -6.0625
335.31 -0.0010643 95.696 0.51551 -5.9375
340.56 -0.00093461 95.001 0.51563 -5.7578
345.36 -0.00071717 93.852 0.51581 -5.6719
350.51 -0.00042343 92.266 0.516 -5.5235
355.65 -0.00024796 91.305 0.51636 -5.4063
360.33 3.8147E-5 89.758 0.51654 -5.25
0.33 -4.5777E-5 90.211 0.51654 -5.25
4.95 0.00020218 88.93 0.51661 -5.1953
10.74 0.00047302 87.422 0.51685 -5.0078
15.51 0.00070954 86.102 0.51685 -5.1016
20.33 0.00082016 85.532 0.51697 -5.0703
25.03 0.0010262 84.461 0.51691 -5.1094
29.88 0.00099564 84.563 0.51691 -5.0547
35.78 0.00099183 84.571 0.51697 -5.0157
40.62 0.00091172 85.063 0.51709 -4.9453
45.24 0.00094605 84.915 0.51728 -4.8907
50.19 0.00083924 85.422 0.51716 -4.961
55.1 0.00066376 86.383 0.51728 -4.7891
59.87 0.00050354 87.274 0.51734 -4.8672
65.74 0.00035095 88.079 0.51703 -5
70.61 1.1444E-5 89.922 0.51716 -4.9766
75.67 -0.00021362 91.126 0.51691 -5.1328
80.63 -0.00040054 92.18 0.51685 -5.2344
84.84 -0.00062943 93.352 0.51673 -5.2813
90.17 -0.00094605 95.086 0.51667 -5.461
95.43 -0.0011597 96.227 0.51654 -5.4141
100.55 -0.0013733 97.407 0.51636 -5.5391
105.52 -0.0015755 98.36 0.51661 -5.3594
110.74 -0.0016518 98.844 0.51618 -5.625
115.67 -0.0017433 99.305 0.51624 -5.5625
120.83 -0.0017967 99.547 0.51606 -5.7032
124.87 -0.0018768 99.938 0.516 -5.7735
129.94 -0.0018234 99.758 0.51587 -5.836
134.97 -0.0017738 99.532 0.51575 -5.9297
140.15 -0.0016861 99.04 0.51581 -5.8438
145.31 -0.0015602 98.391 0.51575 -5.8985
150.33 -0.0013504 97.305 0.51581 -5.9219
155.35 -0.0012283 96.68 0.51569 -5.9375
160.41 -0.00099183 95.36 0.51587 -5.8125
165.43 -0.00082016 94.415 0.51642 -5.5157
170.55 -0.0004921 92.649 0.5163 -5.5547
175.58 -0.00031281 91.649 0.51667 -5.2266
180.67 -1.9074E-5 90.086 0.51685 -5.1797
185.75 0.00027847 88.477 0.51685 -5.1485
189.81 0.00043106 87.626 0.51685 -5.1875
195.65 0.00063706 86.532 0.51734 -4.8672
200.44 0.00075913 85.938 0.5174 -4.8907
205.23 0.0010262 84.422 0.51722 -4.9922
210.07 0.0010719 84.133 0.51722 -4.9532
215.02 0.001133 83.883 0.51728 -4.9922
220.8 0.0011444 83.86 0.51734 -4.9063
225.5 0.001091 84.086 0.51728 -4.9766
230.33 0.00093461 84.969 0.51734 -4.8438
235.29 0.00083924 85.54 0.51734 -4.8203
240.1 0.00061799 86.657 0.51728 -4.8438
244.97 0.00053788 87.086 0.51703 -4.9844
249.86 0.00030136 88.391 0.51722 -4.9688
254.93 3.4332E-5 89.797 0.51691 -5.1172
259.85 -0.00022888 91.211 0.51697 -5.0547
265.19 -0.00050354 92.665 0.51679 -5.1485
270.38 -0.00069428 93.696 0.51661 -5.25
275.55 -0.00094605 95.024 0.5163 -5.5469
280.55 -0.0011521 96.11 0.51606 -5.5782
285.57 -0.001297 96.883 0.51606 -5.6719
290.77 -0.0013733 97.29 0.51587 -5.7266
295.75 -0.001545 98.172 0.51581 -5.6953
299.81 -0.0016594 98.766 0.51569 -5.7657
304.92 -0.0016365 98.649 0.51569 -5.7188
310 -0.0016136 98.61 0.51545 -5.875
315.24 -0.001667 98.852 0.51532 -5.875
320.32 -0.0015412 98.235 0.51532 -5.8907
325.41 -0.0014038 97.508 0.51545 -5.875
330.43 -0.001236 96.633 0.51532 -6.0391
335.31 -0.0011292 96.079 0.51532 -5.9766
340.56 -0.00085068 94.579 0.51581 -5.7891
345.36 -0.00066376 93.54 0.51587 -5.7188
350.51 -0.00044632 92.376 0.51612 -5.4766
355.65 -0.00016785 90.891 0.51636 -5.3594
360.33 2.2888E-5 89.868 0.51661 -5.2578
0.33 5.7221E-5 89.688 0.51648 -5.3047
4.95 0.00025559 88.571 0.51667 -5.125
