##Alpha(50mT) X DEG X DEG
0.2 -0.00010109 114.15 0.13642 -0.9375
5.01 -0.00012589 119.42 0.13635 -0.91407
9.78 -0.00016403 126.59 0.13635 -0.98438
14.66 -0.00021935 134.13 0.13642 -0.96875
20.55 -0.00021172 132.83 0.13642 -0.96875
25.1 -0.00025368 138.59 0.13635 -0.875
29.95 -0.00032616 145.7 0.13635 -0.9375
34.87 -0.0003643 148.04 0.13642 -1.0938
40.29 -0.00035858 147.8 0.13648 -1.0156
45.28 -0.00035858 147.99 0.13642 -0.89844
49.72 -0.00040054 150.35 0.13642 -0.96875
55.38 -0.00040627 151.3 0.13642 -0.85938
60.13 -0.00039292 150.49 0.13642 -0.92969
64.95 -0.00039482 150.77 0.13648 -1.1094
70.47 -0.00039101 149.93 0.13642 -0.96875
75.53 -0.0003624 147.6 0.13642 -1.0156
80.51 -0.00035286 147.57 0.13648 -1.0859
85.78 -0.00029373 143.33 0.13642 -0.92969
89.74 -0.0002842 140.72 0.13648 -1.0391
95.07 -0.00022698 135.63 0.13648 -0.96875
100.31 -0.00020409 132.31 0.13648 -0.96875
105.56 -0.00018501 129.59 0.13648 -0.88282
109.76 -0.00016403 126.65 0.13654 -0.85938
115.28 -0.00010872 115.69 0.13654 -0.91407
120.24 -8.3924E-5 110.18 0.13648 -0.98438
125.66 -6.2943E-5 104.72 0.13654 -0.98438
130.64 -5.9128E-5 104.42 0.13648 -1.0234
134.96 -2.6703E-5 96.704 0.13648 -0.92969
139.98 -3.624E-5 98.711 0.13648 -0.88282
145.04 1.9074E-6 89.579 0.13648 -0.91407
150.13 -2.861E-5 97.704 0.13648 -0.92969
155.11 -1.3352E-5 92.055 0.13648 -0.96094
160.13 -2.0981E-5 95.04 0.13654 -0.98438
165.31 -4.3869E-5 101.64 0.13648 -0.89844
170.46 -4.0055E-5 99.321 0.13648 -0.96094
175.41 -0.00012016 117.56 0.13648 -1.0156
180.5 -0.00011253 116.38 0.13648 -0.9375
185.59 -0.00014687 123.2 0.13648 -1.0234
189.73 -0.00023079 134.99 0.13648 -0.98438
195.59 -0.0002327 135.83 0.13642 -0.875
200.58 -0.00029946 143.17 0.13642 -0.8125
204.76 -0.00029946 143.23 0.13642 -0.96875
210.64 -0.00034714 146.17 0.13642 -0.92969
215.29 -0.00037384 148.54 0.13648 -1.0234
220 -0.0003624 148.04 0.13642 -0.85938
225.07 -0.00038338 149.47 0.13654 -0.88282
230.76 -0.00041008 151.06 0.13648 -0.875
235.66 -0.00041962 151.19 0.13648 -0.88282
240.44 -0.0004139 151.69 0.13648 -0.75782
245.47 -0.00040627 151.3 0.13642 -0.85938
250.29 -0.00037003 148.57 0.13648 -0.96875
255.27 -0.00037003 148.38 0.13648 -1.0625
260.31 -0.00037766 149.7 0.13648 -0.84375
265.31 -0.00032044 144.68 0.13642 -0.84375
270.42 -0.00028801 141.82 0.13648 -0.98438
275.43 -0.00019836 130.74 0.13642 -0.84375
280.53 -0.00019646 130.28 0.13648 -0.96875
285.7 -0.00014305 122.31 0.13648 -0.9375
289.81 -9.5368E-5 113.04 0.13648 -0.96875
295.59 -6.6758E-5 105.5 0.13648 -0.875
299.91 -8.5831E-5 110.55 0.13642 -0.89844
304.84 -4.0055E-5 99.735 0.13648 -0.9375
309.79 -5.7221E-6 91.282 0.13648 -1.0234
315.08 0 90.407 0.13635 -1
320.33 0 89.993 0.13635 -0.89844
325.3 1.3352E-5 86.063 0.13642 -0.96875
330.31 7.6295E-6 88.282 0.13635 -0.96875
335.64 -5.7221E-6 91.227 0.13642 -0.98438
340.66 3.8147E-6 88.711 0.13635 -0.9375
345.61 -2.6703E-5 96.758 0.13642 -0.875
350.69 -4.0055E-5 99.321 0.13642 -0.96875
354.75 -4.5777E-5 101.47 0.13642 -0.96875
360.21 -8.3924E-5 110.59 0.13648 -1.0234
0.2 -0.00010109 114.77 0.13648 -0.98438
5.01 -0.00011444 116.73 0.13648 -1
9.78 -0.00018692 129.47 0.13635 -0.92969
14.66 -0.00023461 136.89 0.13642 -0.98438
20.55 -0.00027657 140.29 0.13642 -0.98438
25.1 -0.00031853 145.27 0.13648 -0.96875
29.95 -0.00032616 145.09 0.13642 -0.96875
34.87 -0.00034905 147.45 0.13635 -0.82813
40.29 -0.00037003 148.76 0.13635 -0.88282
45.28 -0.00037194 148.99 0.13635 -0.92969
49.72 -0.00039864 150.35 0.13635 -0.9375
