#Alpha(207mT) X DEG X DEG
0.33 0.0001545 -87.821 0.13544 2.4453
4.95 0.0001545 -87.782 0.13538 2.5469
10.74 0.00016117 -87.688 0.13532 2.6328
15.51 0.00010204 -88.563 0.1355 2.5313
20.33 6.1989E-5 -89.133 0.13538 2.5313
25.03 3.1472E-5 -89.54 0.13538 2.5781
29.88 -4.1008E-5 -90.586 0.13538 2.5078
35.78 -0.00010204 -91.454 0.1355 2.5313
40.62 -0.00018978 -92.649 0.13532 2.6094
45.24 -0.00026894 -93.711 0.13538 2.6016
50.19 -0.0003891 -95.446 0.13519 2.6094
55.1 -0.00043679 -96.04 0.13525 2.6094
59.87 -0.0005436 -97.454 0.13519 2.6641
65.74 -0.00064564 -98.844 0.13532 2.5781
70.61 -0.0007515 -100.29 0.13532 2.5234
75.67 -0.00079537 -100.76 0.13544 2.5859
80.63 -0.00086022 -101.6 0.13538 2.5781
84.84 -0.0009203 -102.38 0.13538 2.5313
90.17 -0.00090504 -102.15 0.1355 2.4219
95.43 -0.00091076 -102.15 0.13562 2.3984
100.55 -0.00090409 -102.06 0.13556 2.4453
105.52 -0.00083638 -101.24 0.13544 2.4766
110.74 -0.00081826 -100.98 0.13544 2.5156
115.67 -0.00074578 -100.01 0.13556 2.4453
120.83 -0.00070572 -99.563 0.13532 2.4609
124.87 -0.0006094 -98.29 0.13544 2.5313
129.94 -0.00052548 -97.102 0.13562 2.375
134.97 -0.00047302 -96.446 0.13568 2.3438
140.15 -0.0003748 -95.165 0.13568 2.3438
145.31 -0.00030136 -94.165 0.13574 2.3438
150.33 -0.00020409 -92.766 0.13587 2.3203
155.35 -0.00011826 -91.618 0.13568 2.375
160.41 -4.4823E-5 -90.641 0.13574 2.4531
165.43 4.1008E-5 -89.399 0.13562 2.4531
170.55 6.9619E-5 -89.008 0.13556 2.5547
175.58 0.00014496 -88.001 0.13556 2.5547
180.67 0.00018978 -87.344 0.13568 2.5703
185.75 0.00015354 -87.797 0.13544 2.6719
189.81 0.00010777 -88.493 0.13544 2.6406
195.65 0.00011349 -88.407 0.13556 2.5547
200.44 0.00011158 -88.415 0.13544 2.6406
205.23 -3.8147E-6 -90.047 0.13525 2.6328
210.07 -7.0572E-5 -91.024 0.13538 2.6328
215.02 -7.6294E-5 -91.071 0.13544 2.5469
220.8 -0.00021076 -92.946 0.13525 2.7031
225.5 -0.00031567 -94.407 0.13538 2.6172
230.33 -0.00040531 -95.704 0.13507 2.6641
235.29 -0.00045109 -96.297 0.13519 2.5781
240.1 -0.00059033 -98.196 0.13507 2.7109
244.97 -0.0006609 -99.165 0.13525 2.6172
249.86 -0.00074864 -100.31 0.13519 2.5313
254.93 -0.00084401 -101.52 0.13525 2.5078
259.85 -0.00088787 -102.13 0.13519 2.5625
265.19 -0.0008955 -102.21 0.13525 2.4219
270.38 -0.00095559 -102.95 0.13525 2.4219
275.55 -0.00095082 -102.92 0.13532 2.3672
280.55 -0.00094414 -102.9 0.13513 2.3828
285.57 -0.00086689 -101.84 0.13519 2.3516
290.77 -0.00086499 -101.81 0.13532 2.3359
295.75 -0.0008297 -101.43 0.13532 2.3047
299.81 -0.00077343 -100.7 0.13532 2.3672
304.92 -0.00065613 -99.094 0.13532 2.3359
310 -0.0006094 -98.446 0.13544 2.3516
315.24 -0.00053311 -97.454 0.13532 2.3984
320.32 -0.00041962 -95.883 0.13538 2.2969
325.41 -0.00035477 -94.977 0.13544 2.2656
330.43 -0.00030995 -94.36 0.13538 2.2109
335.31 -0.0001688 -92.422 0.13544 2.3047
340.56 -9.8229E-5 -91.352 0.13532 2.375
345.36 -3.5286E-5 -90.493 0.13538 2.4219
350.51 5.7221E-5 -89.211 0.13538 2.4063
355.65 0.00011063 -88.43 0.13538 2.5078
360.33 0.00016785 -87.571 0.13532 2.5625
0.33 0.00015068 -87.836 0.13525 2.6484
4.95 0.00014401 -87.946 0.13525 2.5938
10.74 0.00017929 -87.469 0.13532 2.6328
15.51 0.00012684 -88.188 0.13532 2.6328
20.33 0.00010777 -88.469 0.13538 2.5078
25.03 7.248E-5 -88.993 0.13532 2.5625
29.88 8.5831E-6 -89.907 0.13538 2.5781
35.78 -8.297E-5 -91.157 0.13538 2.6484
40.62 -0.00020695 -92.891 0.13532 2.5859
45.24 -0.00025559 -93.586 0.13532 2.6094
50.19 -0.00032807 -94.563 0.13519 2.625
55.1 -0.00043011 -95.938 0.13525 2.6797
59.87 -0.00052453 -97.235 0.13525 2.6797
65.74 -0.0005951 -98.188 0.13532 2.7344
70.61 -0.00063897 -98.704 0.13538 2.6484
75.67 -0.00081444 -101.09 0.13525 2.5234
80.63 -0.00087357 -101.84 0.13532 2.4922
84.84 -0.00084401 -101.35 0.13538 2.4531
90.17 -0.0008688 -101.66 0.13532 2.5078
95.43 -0.00087548 -101.78 0.13538 2.5547
100.55 -0.00088501 -101.94 0.13538 2.4766
105.52 -0.00087548 -101.7 0.13562 2.4766
110.74 -0.00079346 -100.67 0.13538 2.4297
115.67 -0.00073433 -99.915 0.13556 2.4297
120.83 -0.00068093 -99.196 0.13538 2.4531
124.87 -0.00065804 -98.868 0.13556 2.5078
129.94 -0.00054264 -97.383 0.1355 2.4297
134.97 -0.00043392 -95.946 0.13568 2.3984
140.15 -0.00036812 -95.032 0.13574 2.3281
145.31 -0.00031662 -94.336 0.13568 2.3984
150.33 -0.00021362 -92.985 0.1358 2.2969
155.35 -0.00014305 -91.961 0.13574 2.4141
160.41 -7.8202E-5 -91.055 0.13562 2.4141
165.43 -4.7684E-6 -90.102 0.13562 2.4766
170.55 8.6785E-5 -88.797 0.13556 2.5547
175.58 0.00012302 -88.258 0.13556 2.5859
180.67 0.00018215 -87.43 0.13568 2.5313
185.75 0.00012589 -88.258 0.13538 2.6328
189.81 0.00018787 -87.344 0.13538 2.7422
195.65 0.00011063 -88.438 0.13538 2.6328
200.44 5.2452E-5 -89.266 0.13532 2.6875
205.23 6.6758E-6 -89.946 0.13538 2.6094
210.07 -5.2452E-5 -90.696 0.13532 2.6094
215.02 -0.0001421 -92.008 0.13544 2.6172
220.8 -0.00025082 -93.54 0.13513 2.5938
225.5 -0.00030422 -94.297 0.13525 2.6328
230.33 -0.0004139 -95.766 0.13501 2.6563
235.29 -0.00051594 -97.235 0.13507 2.6953
240.1 -0.00060559 -98.446 0.13507 2.6484
244.97 -0.00065613 -99.032 0.13513 2.5938
249.86 -0.00078392 -100.84 0.13495 2.5781
254.93 -0.00091076 -102.54 0.13519 2.4375
259.85 -0.00092793 -102.67 0.13513 2.5547
265.19 -0.00095559 -103.02 0.13507 2.5
270.38 -0.00096417 -103.16 0.13525 2.4219
275.55 -0.00096798 -103.27 0.13525 2.375
