#Alpha(50mT) X DEG X DEG
0.2 0.00011826 -88.102 0.13617 2.6563
5.01 0.00018406 -87.024 0.13623 2.6875
9.78 0.00026703 -85.641 0.13617 2.6719
14.66 0.00035381 -84.258 0.13617 2.6172
20.55 0.00046158 -82.516 0.13623 2.6563
25.1 0.00060368 -80.165 0.13617 2.6328
29.95 0.00070572 -78.532 0.13623 2.6406
34.87 0.00080109 -77.063 0.13611 2.6719
40.29 0.00094986 -74.641 0.13617 2.6406
45.28 0.0011215 -71.922 0.13617 2.7031
49.72 0.001194 -70.774 0.13617 2.7422
55.38 0.0013762 -68.094 0.13623 2.6172
60.13 0.0014906 -66.461 0.13629 2.6719
64.95 0.0015583 -65.36 0.13629 2.7109
70.47 0.0016804 -63.727 0.13635 2.6563
75.53 0.0017681 -62.5 0.13611 2.7578
80.51 0.0018158 -61.727 0.13629 2.7109
85.78 0.0017757 -62.321 0.13617 2.7422
89.74 0.0017643 -62.446 0.13617 2.7031
95.07 0.0017033 -63.328 0.13611 2.7031
100.31 0.0016098 -64.774 0.13629 2.6875
105.56 0.001502 -66.297 0.13617 2.6875
109.76 0.0014372 -67.329 0.13611 2.7422
115.28 0.0013104 -69.11 0.13617 2.6406
120.24 0.0011873 -70.891 0.13611 2.6719
125.66 0.0010548 -73.032 0.13611 2.7422
130.64 0.00093747 -74.891 0.13617 2.7266
134.96 0.00084401 -76.336 0.13623 2.6719
139.98 0.00073815 -78.047 0.13617 2.6563
145.04 0.00061799 -80.016 0.13605 2.7344
150.13 0.00049782 -81.899 0.13617 2.6719
155.11 0.00035095 -84.305 0.13623 2.7969
160.13 0.00026322 -85.766 0.13617 2.6719
165.31 0.00016117 -87.383 0.13623 2.6328
170.46 9.06E-5 -88.493 0.13611 2.7109
175.41 8.297E-5 -88.657 0.13623 2.6016
180.5 9.1553E-5 -88.54 0.13623 2.6953
185.59 0.00014591 -87.594 0.13617 2.6328
189.73 0.00017262 -87.188 0.13635 2.6016
195.59 0.00030422 -85.094 0.13642 2.5703
200.58 0.00044441 -82.774 0.13642 2.6875
204.76 0.0005455 -81.094 0.13605 2.7031
210.64 0.00067521 -79.094 0.13617 2.6719
215.29 0.00079727 -77.086 0.13629 2.6094
220 0.00092316 -75.016 0.13611 2.6328
225.07 0.0010395 -73.274 0.13629 2.6094
230.76 0.001195 -70.907 0.13617 2.6563
235.66 0.0013418 -68.633 0.13617 2.6563
240.44 0.0014286 -67.258 0.13617 2.6406
245.47 0.001564 -65.399 0.13629 2.5547
250.29 0.0016861 -63.641 0.13617 2.6563
255.27 0.0017614 -62.508 0.13635 2.5703
260.31 0.001792 -62.094 0.13617 2.6406
265.31 0.001792 -62.172 0.13629 2.6406
270.42 0.0017672 -62.555 0.13623 2.5547
275.43 0.0017014 -63.383 0.13611 2.6328
280.53 0.0015783 -65.079 0.13635 2.4844
285.7 0.0015183 -66.024 0.13642 2.5313
289.81 0.0014172 -67.469 0.13623 2.6563
295.59 0.0012808 -69.485 0.13611 2.6719
299.91 0.0011711 -71.274 0.13629 2.5547
304.84 0.0010758 -72.665 0.13611 2.6406
309.79 0.00095082 -74.633 0.13623 2.5469
315.08 0.00080204 -77.008 0.13611 2.5859
320.33 0.00068188 -78.938 0.13605 2.5625
325.3 0.00059223 -80.376 0.13611 2.5469
330.31 0.00045777 -82.54 0.13599 2.5078
335.64 0.00034237 -84.501 0.13635 2.5313
340.66 0.00027466 -85.547 0.13617 2.6406
345.61 0.0001688 -87.235 0.13629 2.5859
350.69 0.0001173 -88.102 0.13611 2.6172
354.75 0.00011253 -88.196 0.13623 2.6406
360.21 0.00012112 -88.001 0.13623 2.5859
0.2 0.00013542 -87.766 0.13623 2.6406
5.01 0.00014687 -87.61 0.13623 2.6094
9.78 0.00021267 -86.555 0.13629 2.6328
14.66 0.00031281 -84.922 0.13623 2.5781
20.55 0.00043583 -82.868 0.13629 2.5313
25.1 0.00055313 -81.047 0.13629 2.5469
29.95 0.00069332 -78.766 0.13629 2.5469
34.87 0.00078583 -77.243 0.13629 2.6094
40.29 0.00092984 -74.977 0.13617 2.5313
45.28 0.0010939 -72.391 0.13623 2.6094
49.72 0.0012388 -70.18 0.13642 2.5781
55.38 0.0013752 -68.141 0.13635 2.6406
60.13 0.0014553 -67.024 0.13629 2.6328
64.95 0.0015898 -65.04 0.13617 2.5859
70.47 0.0016918 -63.508 0.13629 2.6719
75.53 0.0017538 -62.641 0.13629 2.6406
80.51 0.0017986 -62.211 0.13635 2.6094
85.78 0.0018091 -62.016 0.13617 2.6406
89.74 0.0017424 -62.844 0.13629 2.5859
95.07 0.0016966 -63.492 0.13623 2.6016
100.31 0.0016203 -64.618 0.13642 2.6094
105.56 0.0014973 -66.344 0.13623 2.7109
109.76 0.0014115 -67.602 0.13611 2.6328
115.28 0.0013094 -69.204 0.13635 2.5313
120.24 0.0012093 -70.704 0.13623 2.5859
125.66 0.0010605 -72.946 0.13629 2.6094
130.64 0.00091172 -75.29 0.13623 2.6719
134.96 0.00084973 -76.29 0.13635 2.6719
139.98 0.00070286 -78.586 0.13617 2.6875
145.04 0.00056458 -80.844 0.13629 2.6563
150.13 0.00048161 -82.204 0.13635 2.5859
155.11 0.00036049 -84.149 0.13623 2.6719
160.13 0.00023461 -86.165 0.13623 2.6406
165.31 0.00014973 -87.586 0.13617 2.6016
170.46 8.2017E-5 -88.696 0.13635 2.6094
175.41 5.5313E-5 -89.086 0.13629 2.6875
180.5 7.0572E-5 -88.852 0.13635 2.5313
185.59 0.00013828 -87.79 0.13617 2.5859
189.73 0.0001936 -86.836 0.13623 2.6563
195.59 0.00027275 -85.532 0.13635 2.5469
200.58 0.00040341 -83.477 0.13629 2.5469
204.76 0.00052166 -81.563 0.13629 2.5469
210.64 0.00064278 -79.516 0.13623 2.6406
215.29 0.00074959 -77.829 0.13635 2.5703
220 0.00090218 -75.352 0.13635 2.5391
225.07 0.0010538 -72.977 0.13635 2.5391
230.76 0.0011883 -70.86 0.13635 2.5547
235.66 0.0013227 -68.954 0.13635 2.4844
240.44 0.0014448 -67.157 0.13635 2.6094
245.47 0.0015535 -65.508 0.13629 2.5313
250.29 0.0016089 -64.782 0.13611 2.6875
255.27 0.0017424 -62.86 0.13617 2.5313
260.31 0.0017967 -62.016 0.13617 2.5781
