#Alpha(207mT) X DEG X DEG
0.33 0.0028763 89.235 0.17993 1.9453
4.95 0.0016213 89.571 0.18006 1.8438
10.74 -0.00056839 90.141 0.17999 2.1172
15.51 0.0009842 89.735 0.18006 2.0156
20.33 0.002861 89.235 0.18002 2.0234
25.03 0.0051689 88.626 0.18015 2.0547
29.88 0.0075798 87.985 0.18009 2.1094
35.78 0.011921 86.836 0.18002 2.1953
40.62 0.015369 85.93 0.18002 2.1797
45.24 0.019509 84.844 0.17993 2.25
50.19 0.023457 83.821 0.17993 2.4141
55.1 0.028309 82.563 0.1799 2.375
59.87 0.032871 81.399 0.17981 2.5234
65.74 0.039707 79.641 0.1799 2.4766
70.61 0.045224 78.266 0.17993 2.5313
75.67 0.052914 76.352 0.18006 2.375
80.63 0.059998 74.594 0.18002 2.2969
84.84 0.064671 73.469 0.18009 2.2578
90.17 0.069432 72.336 0.18024 2.0469
95.43 0.069542 72.282 0.18002 2.1641
100.55 0.068783 72.485 0.18009 2.1563
105.52 0.067105 72.883 0.18018 2.0469
110.74 0.064621 73.469 0.18002 2
115.67 0.061375 74.251 0.17999 2.0625
120.83 0.058785 74.883 0.18006 1.9453
124.87 0.05603 75.54 0.18012 1.8828
129.94 0.052616 76.407 0.18024 1.7891
134.97 0.04863 77.383 0.1803 1.7578
140.15 0.043888 78.579 0.18021 1.8125
145.31 0.038658 79.915 0.18024 1.8281
150.33 0.03434 81.008 0.1803 1.6875
155.35 0.029736 82.211 0.1803 1.6172
160.41 0.022221 84.149 0.18009 1.8984
165.43 0.015984 85.766 0.1799 1.9844
170.55 0.0088959 87.641 0.17981 2.1953
175.58 0.0033531 89.11 0.1799 2.2656
180.67 -0.0018425 90.477 0.17987 2.4219
185.75 -0.0035782 90.946 0.17993 2.3438
189.81 -0.0044403 91.172 0.1799 2.4375
195.65 -0.0035668 90.938 0.17993 2.3516
200.44 -0.0020104 90.524 0.17987 2.4297
205.23 0.00031662 89.907 0.18002 2.4141
210.07 0.0028229 89.251 0.17996 2.5313
215.02 0.0063401 88.321 0.18009 2.4453
220.8 0.011257 87.024 0.18012 2.4375
225.5 0.016247 85.704 0.18018 2.2656
230.33 0.019871 84.758 0.18006 2.4375
235.29 0.025208 83.383 0.18021 2.3516
240.1 0.030659 81.969 0.18021 2.3516
244.97 0.036076 80.586 0.18021 2.3438
249.86 0.042134 79.063 0.18018 2.3125
254.93 0.049523 77.204 0.18024 2.2266
259.85 0.055935 75.626 0.18039 2.2188
265.19 0.062752 73.938 0.18036 2.1406
270.38 0.066617 73.008 0.18033 2.0859
275.55 0.067711 72.774 0.18042 2.0078
280.55 0.067078 72.915 0.18042 1.9609
285.57 0.064534 73.508 0.18027 2.0547
290.77 0.062634 73.977 0.1803 1.9609
295.75 0.060013 74.594 0.18039 1.8906
299.81 0.057308 75.251 0.18027 1.9063
304.92 0.054291 75.985 0.18036 1.7891
310 0.050755 76.876 0.18048 1.7344
315.24 0.045777 78.133 0.18042 1.8047
320.32 0.042595 78.915 0.18045 1.6094
325.41 0.037838 80.126 0.18042 1.6328
330.43 0.033085 81.344 0.18042 1.6016
335.31 0.027798 82.711 0.1803 1.6719
340.56 0.022339 84.133 0.18039 1.6875
345.36 0.01519 86.001 0.18021 2.0156
350.51 0.0088463 87.665 0.18018 2.1016
355.65 0.0034065 89.102 0.18015 2.1172
360.33 -0.00069809 90.188 0.18006 2.2734
0.33 -0.00039292 90.086 0.18021 2.1719
4.95 -0.0038147 91.008 0.18009 2.3906
10.74 -0.0042725 91.118 0.18012 2.3594
15.51 -0.0036202 90.946 0.18018 2.4297
20.33 -0.00080872 90.196 0.18024 2.2734
25.03 0.0008545 89.758 0.18024 2.4063
29.88 0.0038758 88.977 0.18024 2.4531
35.78 0.0084 87.774 0.1803 2.4063
40.62 0.012219 86.774 0.18024 2.4531
45.24 0.015442 85.938 0.18012 2.6641
50.19 0.020142 84.704 0.18015 2.5859
55.1 0.025421 83.329 0.18015 2.5938
59.87 0.029839 82.188 0.18012 2.6875
65.74 0.037476 80.235 0.18024 2.4922
70.61 0.043984 78.586 0.18027 2.4688
75.67 0.050904 76.899 0.18039 2.3438
80.63 0.058007 75.11 0.18045 2.2422
84.84 0.062626 74.024 0.18033 2.2656
90.17 0.065762 73.251 0.1803 2.2969
95.43 0.067421 72.86 0.18036 2.1797
100.55 0.066922 72.946 0.18036 2.0938
105.52 0.065014 73.407 0.18039 2.0703
110.74 0.063408 73.758 0.18042 1.8906
115.67 0.062092 74.055 0.18057 1.6094
120.83 0.058762 74.868 0.18054 1.5859
124.87 0.055577 75.657 0.18054 1.6328
129.94 0.051556 76.672 0.18054 1.6016
134.97 0.046643 77.915 0.18057 1.7031
140.15 0.042389 78.969 0.18051 1.6563
145.31 0.036793 80.407 0.18042 1.7578
150.33 0.032234 81.571 0.18045 1.6641
