,Beta,A-B X,A-B theta,A+B
18,-1.8,-0.824406,166.632,0.174684
17,-1.6,-0.733463,165.066,0.174653
16,-1.4000000000000001,-0.64185,162.912,0.174714
15,-1.2000000000000002,-0.550663,160.314,0.174623
14,-1.0,-0.457277,156.654,0.174684
13,-0.8,-0.363741,151.56,0.174653
12,-0.6000000000000001,-0.268831,143.712,0.174623
11,-0.4,-0.178071,132.042,0.174623
10,-0.2,-0.0809636,112.488,0.174592
0,0.0,0.00186158,89.46,0.174684
1,0.2,0.0986028,63.66,0.174592
2,0.4,0.192872,45.948,0.174592
3,0.6000000000000001,0.282412,35.238,0.1745
4,0.8,0.377504,27.924,0.174531
5,1.0,0.471498,22.914,0.174531
6,1.2000000000000002,0.568302,19.368,0.1745
7,1.4000000000000001,0.659428,16.962,0.174439
8,1.6,0.755131,14.91,0.1745
9,1.8,0.844242,13.362,0.1745
