,Beta,A,B,A-B,A+B
0,0.0,0.0266954,0.0627446,-0.0730901,0.179658
1,5.0,0.0322115,0.0569766,-0.0503848,0.178926
2,10.0,0.0382998,0.0506976,-0.0254213,0.178224
3,15.0,0.0445406,0.0443804,0.0,0.177857
4,20.0,0.0504992,0.0383532,0.0242921,0.177644
5,25.0,0.0565646,0.0323031,0.0486758,0.177491
6,30.0,0.062279,0.0266725,0.0715642,0.177644
7,35.0,0.0672841,0.0218354,0.0913091,0.177796
8,40.0,0.0715413,0.0176698,0.108399,0.178163
9,45.0,0.0751424,0.0142899,0.122468,0.178498
10,50.0,0.077744,0.0118867,0.132508,0.178834
11,55.0,0.0792012,0.0105286,0.138215,0.179078
12,60.0,0.0796437,0.0101395,0.139955,0.179231
13,65.0,0.0789037,0.0108185,0.137086,0.179109
14,70.0,0.0771489,0.0124817,0.130342,0.179048
15,75.0,0.0744863,0.0150605,0.119843,0.178956
16,80.0,0.0707173,0.0186921,0.105011,0.178834
17,85.0,0.0661244,0.0231706,0.0866704,0.17862
18,90.0,0.0610278,0.028145,0.0663457,0.178498
19,95.0,0.0553744,0.0337832,0.0435183,0.178468
20,100.0,0.0492098,0.0399249,0.0186769,0.178559
21,105.0,0.0429919,0.0461962,-0.0067139,0.178803
22,110.0,0.0370409,0.0522158,-0.0309449,0.1792
23,115.0,0.0310823,0.0582507,-0.0552676,0.179688
24,120.0,0.0255967,0.0639806,-0.0779119,0.180238
25,125.0,0.0208055,0.0689473,-0.0976262,0.180787
26,130.0,0.0167314,0.0732732,-0.114563,0.181367
27,135.0,0.0133973,0.076859,-0.128419,0.181825
28,140.0,0.0110322,0.0794301,-0.138337,0.182252
29,145.0,0.0096665,0.0809178,-0.144166,0.18271
30,150.0,0.00924689,0.0813985,-0.145814,0.182588
31,155.0,0.0098725,0.0806966,-0.143189,0.182435
32,160.0,0.0114594,0.0789266,-0.136506,0.182069
33,165.0,0.0139237,0.0761571,-0.126191,0.181703
34,170.0,0.0174333,0.0723729,-0.11142,0.181001
35,175.0,0.0217744,0.0677495,-0.0932317,0.180238
