Alpha(210mT) X DEG X DEG
270 0.0019226 74.383 0.60059 -0.77344
264.98 0.0013638 78.915 0.60059 -0.76563
260.11 0.00084496 83.118 0.60071 -0.77344
255.18 0.00098992 81.735 0.60065 -0.76563
250.27 0.00074959 83.836 0.60077 -0.77344
245.33 0.0004406 86.586 0.60083 -0.77344
240.37 0.00012589 88.961 0.60089 -0.78125
235.27 0.00017738 88.594 0.60096 -0.76563
230.29 0.0003643 87.297 0.60108 -0.78125
225.27 -0.0004139 93.313 0.60102 -0.78125
220.35 1.1444E-5 89.876 0.60114 -0.78125
215.31 0.00032234 87.438 0.6012 -0.78125
210.4 0.00029755 87.571 0.60126 -0.78125
205.5 0.00058556 85.172 0.60132 -0.78125
200.43 0.00068856 84.243 0.60132 -0.77344
195.44 0.00087357 82.79 0.60144 -0.78125
190.25 0.0015431 77.407 0.60151 -0.78125
185.25 0.0017147 75.961 0.60163 -0.78125
179.86 0.0024319 70.665 0.60163 -0.78125
174.8 0.0027733 68.11 0.60157 -0.77344
169.87 0.0027886 67.899 0.60157 -0.78125
164.84 0.0031338 65.282 0.60157 -0.76563
159.94 0.0034504 63.453 0.60175 -0.76563
154.84 0.0037766 61.375 0.60181 -0.75782
149.99 0.0038948 60.477 0.60181 -0.75782
144.98 0.0033703 63.735 0.60193 -0.77344
140.01 0.0037918 61.258 0.60199 -0.76563
135.23 0.0039597 59.907 0.60199 -0.75
130.09 0.0035801 62.391 0.60218 -0.76563
124.98 0.0037041 61.891 0.6023 -0.77344
120.06 0.0035458 63.016 0.60236 -0.77344
115.31 0.0029564 66.946 0.60242 -0.76563
110.14 0.0030537 66.399 0.60254 -0.78125
105.31 0.0029488 67.102 0.6026 -0.77344
100.09 0.0028439 68.11 0.60254 -0.77344
95.07 0.0016613 76.774 0.60254 -0.77344
89.89 0.0012436 80.094 0.60273 -0.78125
84.77 0.0012322 80.133 0.60273 -0.76563
79.63 0.00092698 82.227 0.60279 -0.77344
74.74 0.00069809 84.336 0.60297 -0.76563
69.79 0.00024033 88.079 0.60303 -0.78125
64.89 -0.00034332 92.665 0.60297 -0.77344
59.93 -1.3352E-5 90.141 0.60303 -0.78125
54.95 0.00014877 88.758 0.60315 -0.78125
50 0.00030899 87.532 0.60309 -0.75782
45.1 -0.00019074 91.508 0.60327 -0.78125
40.09 -6.485E-5 90.547 0.60327 -0.76563
35.09 0.00048638 86.102 0.60334 -0.78125
30.23 0.00095559 82.102 0.6034 -0.77344
25.26 0.00070763 84.086 0.6034 -0.78125
20.3 0.00011826 89.126 0.60346 -0.78125
15.37 0.00098611 82.024 0.6034 -0.77344
10.13 0.0016575 76.305 0.60364 -0.78125
5.16 0.0018082 75.532 0.60358 -0.76563
-0.02 0.0020085 74.079 0.60376 -0.77344
-5.02 0.0023747 71.157 0.6037 -0.76563
-9.97 0.0028134 67.961 0.60376 -0.77344
-15.05 0.0028134 68.032 0.60389 -0.77344
-19.94 0.0035553 62.844 0.60395 -0.77344
-24.77 0.004469 57 0.60401 -0.77344
-29.82 0.0037842 60.953 0.60407 -0.76563
-34.69 0.0036087 62.539 0.60419 -0.78907
-39.65 0.0040703 59.289 0.60413 -0.78125
-44.54 0.0039635 60.071 0.60419 -0.78125
-49.55 0.0042649 58.86 0.60431 -0.77344
-54.52 0.0042954 58.383 0.60431 -0.77344
-60.43 0.0034828 63.375 0.60419 -0.76563
-65.36 0.0039482 60.672 0.60437 -0.78125
-70.36 0.004591 56.664 0.60431 -0.75782
-75.42 0.0040799 59.492 0.60431 -0.77344
-80.46 0.0037613 61.453 0.60437 -0.76563
-85.42 0.0032826 64.547 0.6045 -0.76563
-90 0.0037842 61.438 0.6045 -0.76563
270 0.0038567 60.657 0.60456 -0.75782
264.98 0.0035515 62.727 0.60456 -0.76563
260.11 0.0034981 63.485 0.60468 -0.75782
255.18 0.0038052 61.375 0.60468 -0.75782
250.27 0.0030728 66.165 0.60474 -0.76563
245.33 0.0030747 66.461 0.60492 -0.75782
240.37 0.0033398 64.407 0.60486 -0.75782
235.27 0.004385 57.891 0.60486 -0.76563
230.29 0.0032215 65.133 0.60486 -0.75
225.27 0.0040608 59.641 0.60505 -0.75782
220.35 0.0042057 59.032 0.60511 -0.75782
215.31 0.0043869 57.703 0.60517 -0.75
210.4 0.0043087 58.203 0.60511 -0.75782
205.5 0.0042897 58.024 0.60511 -0.75
200.43 0.0044766 56.883 0.60511 -0.75
195.44 0.0054398 51.633 0.60511 -0.75
190.25 0.0053063 52.461 0.60523 -0.75
185.25 0.0055485 51.172 0.60523 -0.75
179.86 0.0057907 49.696 0.60517 -0.75782
174.8 0.0066281 45.774 0.60523 -0.75
169.87 0.0069313 44.594 0.60523 -0.75782
164.84 0.0075264 42.094 0.60535 -0.75
159.94 0.0078946 40.774 0.60541 -0.75782
154.84 0.0079957 40.946 0.60553 -0.75782
149.99 0.0080357 40.727 0.6056 -0.76563
144.98 0.0083314 39.586 0.6056 -0.75
140.01 0.0082913 39.703 0.60572 -0.75
135.23 0.0084115 39.586 0.60584 -0.75782
130.09 0.0084382 39.313 0.60578 -0.75782
124.98 0.0082913 39.852 0.60584 -0.74219
120.06 0.007927 41.235 0.60596 -0.75
115.31 0.0079766 41.149 0.60608 -0.75782
110.14 0.008236 40.305 0.60614 -0.75782
105.31 0.0077935 41.844 0.60621 -0.75
100.09 0.0072136 44.063 0.60621 -0.75782
95.07 0.0076428 42.508 0.60621 -0.75
89.89 0.006464 46.883 0.60627 -0.75
84.77 0.0062065 48.508 0.60657 -0.77344
79.63 0.0061531 48.508 0.60639 -0.75
74.74 0.005867 50.086 0.60639 -0.75
69.79 0.005518 51.867 0.60669 -0.75
64.89 0.0051918 53.742 0.60669 -0.75782
59.93 0.0049515 54.867 0.60669 -0.75
54.95 0.0058213 50.125 0.60694 -0.75
50 0.0051747 53.672 0.607 -0.75782
45.1 0.0043202 58.086 0.607 -0.75
40.09 0.0047226 55.922 0.60706 -0.75
35.09 0.0051384 53.547 0.60712 -0.75782
30.23 0.0050392 54.063 0.60712 -0.75782
25.26 0.0059014 49.532 0.60724 -0.73438
20.3 0.0054627 51.524 0.60737 -0.75
15.37 0.0058613 49.828 0.60749 -0.75782
10.13 0.0063954 47.157 0.60749 -0.75
5.16 0.0066052 46.157 0.60761 -0.75
-0.02 0.0070896 44.422 0.60767 -0.75
-5.02 0.0075817 42.399 0.60779 -0.75
-9.97 0.0080357 40.766 0.60779 -0.76563
-15.05 0.0082989 39.797 0.60785 -0.75
-19.94 0.008194 40.203 0.60798 -0.75782
-24.77 0.0086346 38.961 0.60798 -0.75782
-29.82 0.0081292 40.219 0.60804 -0.77344
-34.69 0.0079041 41.469 0.60816 -0.77344
-39.65 0.0077324 41.907 0.60822 -0.76563
-44.54 0.0082779 40.094 0.60834 -0.77344
-49.55 0.0082169 40.18 0.60852 -0.78125
-54.52 0.0080758 40.594 0.60865 -0.78907
-60.43 0.0078393 41.5 0.60865 -0.78125
-65.36 0.0078736 41.477 0.60865 -0.78125
-70.36 0.0075417 43.024 0.60889 -0.78125
-75.42 0.0075035 43.008 0.60883 -0.78125
-80.46 0.007433 43.016 0.60877 -0.78125
-85.42 0.0075932 42.836 0.60895 -0.78125
-90 0.0069542 45.375 0.60901 -0.78125
270 0.0074368 43.274 0.60907 -0.78125
264.98 0.0072613 44.157 0.6092 -0.78907
260.11 0.0068856 45.328 0.6092 -0.79688
255.18 0.006567 46.813 0.60932 -0.78907
250.27 0.0070038 44.86 0.60932 -0.78125
245.33 0.0069924 44.907 0.60944 -0.78907
240.37 0.0069199 44.907 0.60944 -0.78125
235.27 0.0066681 46.078 0.60956 -0.78125
230.29 0.0071278 44.071 0.60956 -0.78125
225.27 0.007145 43.524 0.60956 -0.78125
220.35 0.0073853 43 0.60975 -0.77344
215.31 0.0077896 41.524 0.60981 -0.78125
210.4 0.0075894 41.969 0.60981 -0.77344
205.5 0.0080147 40.313 0.60987 -0.76563
200.43 0.0090924 36.946 0.60999 -0.75782
195.44 0.0089932 36.961 0.60999 -0.77344
190.25 0.0093651 36 0.60993 -0.76563
185.25 0.0095978 35.594 0.60987 -0.76563
179.86 0.0097943 35 0.60999 -0.78125
174.8 0.010168 33.969 0.60987 -0.77344
169.87 0.010332 33.407 0.60993 -0.76563
164.84 0.010861 32.274 0.61011 -0.78125
159.94 0.010895 32.024 0.61011 -0.78125
154.84 0.011126 31.281 0.60993 -0.75
149.99 0.011721 30.305 0.61017 -0.75782
144.98 0.011936 29.61 0.61011 -0.75782
140.01 0.0122 29.313 0.61011 -0.75
135.23 0.011812 30.235 0.61029 -0.78907
130.09 0.012186 29.188 0.61029 -0.75782
124.98 0.012058 29.735 0.61029 -0.77344
120.06 0.011648 30.586 0.61036 -0.76563
115.31 0.012108 29.797 0.61042 -0.76563
110.14 0.011345 31.602 0.61048 -0.77344
105.31 0.011518 31.008 0.61048 -0.77344
100.09 0.011038 31.914 0.61054 -0.75782
95.07 0.01079 32.813 0.61072 -0.76563
89.89 0.010145 34.36 0.6106 -0.75782
84.77 0.0098935 34.914 0.61072 -0.75782
79.63 0.0096894 35.414 0.61091 -0.76563
