Alpha(210mT) X DEG X DEG
270 0.00052643 89.258 0.21747 -1.7109
264.98 -0.0018959 92.735 0.21784 -1.7109
260.11 -0.00039292 90.821 0.21771 -1.7188
255.18 -0.0019226 92.727 0.21808 -1.7188
250.27 -0.00042725 90.633 0.21784 -1.7188
245.33 0.0030823 85.54 0.21753 -1.7109
240.37 0.0024414 86.493 0.21765 -1.7188
235.27 -0.001442 91.954 0.21796 -1.7188
230.29 -0.0026779 94.016 0.21826 -1.7188
225.27 -0.00056458 91.04 0.21802 -1.7188
220.35 0.0013504 87.961 0.21796 -1.7188
215.31 -0.00069046 90.727 0.21814 -1.7188
210.4 0.00075913 88.954 0.21814 -1.7109
205.5 -0.0021134 93.157 0.21845 -1.7266
200.43 0.00072861 88.407 0.21777 -1.7344
195.44 0.0031243 85.383 0.21771 -1.7188
190.25 0.0042992 83.954 0.21777 -1.7109
185.25 0.0051193 82.563 0.21753 -1.7344
179.86 0.0024262 86.336 0.21771 -1.7188
174.8 0.004776 83.04 0.21741 -1.7344
169.87 0.0063553 80.829 0.21735 -1.7344
164.84 0.0064888 80.532 0.21729 -1.7344
159.94 0.0030365 85.532 0.21741 -1.7266
154.84 0.0055199 82.149 0.21741 -1.7344
149.99 0.0085183 77.571 0.21729 -1.7422
144.98 0.0071984 79.586 0.2171 -1.7266
140.01 0.0044098 83.649 0.21765 -1.7188
135.23 0.0067978 80.313 0.21729 -1.7266
130.09 0.0034065 84.954 0.21759 -1.7188
124.98 0.0041237 84.024 0.21741 -1.7266
120.06 0.0030937 85.508 0.21765 -1.7344
115.31 0.0047302 83.079 0.21741 -1.7344
110.14 0.0036011 84.61 0.21759 -1.7266
105.31 0.0049897 82.93 0.21741 -1.7109
100.09 0.0040703 84.157 0.21765 -1.7188
95.07 -0.00022125 90.188 0.21808 -1.7188
89.89 0.00019836 89.704 0.2182 -1.7109
84.77 0.0013123 88.086 0.21802 -1.7188
79.63 0.0023155 86.649 0.21796 -1.7266
74.74 0.00030136 89.618 0.21808 -1.7266
69.79 0.0047493 83.251 0.21771 -1.7188
64.89 0.0001564 89.954 0.21826 -1.7188
59.93 -0.00059128 90.477 0.21832 -1.7266
54.95 -0.0052758 97.735 0.21869 -1.7188
50 0.0015106 88.188 0.21808 -1.7266
45.1 0.001648 87.602 0.21832 -1.7266
40.09 -0.00082398 91.157 0.21857 -1.7109
35.09 -0.0034065 95.079 0.21887 -1.7188
30.23 -0.00033188 90.383 0.21857 -1.7109
25.26 0.00086594 88.766 0.21832 -1.7266
20.3 -0.0014382 91.977 0.21869 -1.7266
15.37 0.0018654 87.399 0.21832 -1.7188
10.13 0.0029602 85.766 0.21814 -1.7344
5.16 0.0036202 84.649 0.21784 -1.7188
-0.02 0.0027657 85.86 0.2179 -1.7344
-5.02 0.0053254 82.438 0.21802 -1.7422
-9.97 0.0045815 83.18 0.21777 -1.7344
-15.05 0.0067139 80.54 0.21771 -1.7344
-19.94 0.0048523 83.11 0.21796 -1.7344
-24.77 0.0068169 80.274 0.21777 -1.7344
-29.82 0.0080834 78.243 0.21765 -1.75
-34.69 0.0068627 80.157 0.21777 -1.75
-39.65 0.0091477 76.719 0.21735 -1.7656
-44.54 0.0080262 78.305 0.21747 -1.7656
-49.55 0.0055619 82.008 0.2179 -1.75
