Alpha(50mT) X DEG X DEG
269.87 0.00059128 71.555 0.89307 1.4844
264.87 -0.0040179 156.26 0.89374 1.4766
260.09 -0.0041118 157.54 0.89441 1.4688
254.93 -0.0039683 157.12 0.89435 1.4688
249.97 -0.0042549 158.49 0.89496 1.4609
244.87 -0.0043955 158.85 0.8946 1.4688
239.88 -0.0045166 159.43 0.89441 1.4688
235.2 -0.0046296 160.13 0.89472 1.4688
230.31 -0.004767 160.63 0.89472 1.4688
224.9 -0.004736 160.64 0.89515 1.4688
220.2 -0.0053749 162.14 0.89502 1.4688
215.38 -0.005198 162.06 0.89484 1.4688
210.34 -0.0053411 162.3 0.89453 1.4688
204.93 -0.005424 162.64 0.8946 1.4688
199.85 -0.0053077 162.67 0.89423 1.4766
194.78 -0.0054183 162.82 0.89466 1.4688
189.74 -0.0053773 162.77 0.89453 1.4688
185.55 -0.0054388 162.88 0.89441 1.4688
180.42 -0.0055781 163.21 0.89435 1.4688
175.29 -0.0055261 163.2 0.89423 1.4688
170.04 -0.0054436 162.86 0.89405 1.4688
164.9 0.00075007 67.258 0.89423 1.4688
159.9 0.00075388 67.61 0.89362 1.4688
154.72 0.0008502 64.844 0.89289 1.4844
149.48 0.0010548 59.625 0.89283 1.4766
145.5 0.0013976 52.008 0.89344 1.4688
139.55 0.0015049 50.157 0.89362 1.4688
135.97 0.0013743 52.696 0.89319 1.4844
129.44 0.0015535 49.571 0.8935 1.4766
124.62 0.0014472 51.891 0.89338 1.4922
119.7 0.0017085 47.164 0.89331 1.4844
115.42 0.0014706 50.977 0.89331 1.4844
109.55 0.0019112 43.469 0.89362 1.4766
104.54 0.0018725 44 0.89399 1.4688
100.45 0.0015574 49.961 0.89374 1.4766
95.51 0.0017576 46.797 0.89386 1.4766
90.32 0.001626 48.352 0.89356 1.4766
84.52 -0.0027371 147.97 0.89405 1.4844
80.48 -0.0034633 153.95 0.89441 1.4688
74.49 -0.0037775 155.61 0.89447 1.4688
69.54 -0.0039029 156.15 0.89405 1.4766
64.56 -0.0039177 156.7 0.89411 1.4688
59.58 -0.0041881 157.81 0.89405 1.4688
54.58 -0.004117 157.51 0.89411 1.4688
49.57 -0.004324 158.56 0.8946 1.4688
45.94 -0.0043846 158.9 0.89429 1.4688
39.82 -0.0042768 158.64 0.89429 1.4688
34.86 -0.0044976 159.75 0.89441 1.4688
30.02 -0.0044999 159.74 0.89429 1.4688
25.11 -0.004581 159.56 0.89399 1.4688
20.19 -0.0045781 160.02 0.8946 1.4609
15.34 -0.0049229 160.99 0.89362 1.4766
10.3 -0.004983 161.17 0.8938 1.4688
5.33 -0.0050187 161.27 0.89362 1.4766
0.42 -0.0050974 161.53 0.89399 1.4688
-4.52 -0.0051966 162.13 0.89399 1.4688
-9.57 -0.0049219 161.25 0.89417 1.4688
-14.52 0.00098086 60.555 0.89399 1.4688
-19.73 0.00095749 62.485 0.8938 1.4688
-25.48 0.0011978 57.375 0.89338 1.4766
-29.58 0.0012417 55.797 0.89319 1.4844
-35.46 0.0010514 60.305 0.89338 1.4766
-39.57 0.0014858 51.032 0.89368 1.4766
-45.07 0.0014691 51.555 0.89319 1.4922
-50.15 0.0015235 49.774 0.89386 1.4844
-55.22 0.0015521 49.867 0.89362 1.4766
-59.97 0.0014424 51.742 0.89356 1.4844
-64.87 0.0017882 45.375 0.89374 1.4844
-69.8 0.0015497 49.594 0.89392 1.4766
-74.74 0.0016866 47.485 0.89386 1.4688
-79.72 0.0020752 40.75 0.89405 1.4688
-84.89 0.002038 41.344 0.89411 1.4688
-90.13 0.0016165 48.125 0.89399 1.4688
269.87 0.0012436 56.274 0.89417 1.4688
264.87 -0.002851 149.19 0.89417 1.4688
260.09 -0.0038057 156.09 0.89447 1.4688
254.93 -0.0042515 158.2 0.89466 1.4688
249.97 -0.0047407 159.99 0.89423 1.4688
244.87 -0.0048437 160.41 0.89405 1.4688
239.88 -0.0049453 160.62 0.89399 1.4688
235.2 -0.0047193 160.52 0.89441 1.4688
230.31 -0.0047074 160.33 0.8946 1.4688
224.9 -0.0048991 160.78 0.89441 1.4688
220.2 -0.0050178 161.27 0.89429 1.4688
215.38 -0.0046664 160.09 0.89423 1.4688
210.34 -0.0051022 161.52 0.89417 1.4688
204.93 -0.0051065 161.82 0.89429 1.4609
199.85 -0.0054183 162.52 0.89429 1.4609
194.78 -0.0049377 161.36 0.89411 1.4688
189.74 -0.0049796 161.25 0.89429 1.4688
185.55 -0.00488 160.94 0.89435 1.4688
180.42 -0.0048933 160.87 0.89417 1.4688
175.29 -0.0049186 161.07 0.89417 1.4766
170.04 -0.0050412 161.04 0.89392 1.4766
164.9 0.0012922 55.266 0.89356 1.4766
159.9 0.00136 53.391 0.89338 1.4766
154.72 0.00098086 61.938 0.89344 1.4688
149.48 0.0012336 56.86 0.89295 1.4844
