Alpha(210mT) X DEG X DEG
270 0.00025654 84.172 0.93909 0.039063
264.98 3.7194E-5 89.118 0.93891 0.03125
260.11 1.2398E-5 89.665 0.93879 0.03125
255.18 4.1008E-5 88.985 0.93891 0.039063
250.27 8.1063E-5 88.157 0.93873 0.039063
245.33 0.00013065 86.93 0.93873 0.039063
240.37 0.00017071 86.001 0.93866 0.03125
235.27 0.00030422 82.93 0.93848 0.039063
230.29 0.00057125 76.993 0.93854 0.039063
225.27 0.0007515 73.149 0.93848 0.039063
220.35 0.00097561 67.758 0.93842 0.03125
215.31 0.0011978 64.126 0.93842 0.039063
210.4 0.0015173 57.977 0.93848 0.03125
205.5 0.0017738 54.196 0.93836 0.023438
200.43 0.0021992 48.344 0.93842 0.03125
195.44 0.0026159 42.586 0.93854 0.039063
190.25 0.0030489 38.297 0.93854 0.039063
185.25 0.0034094 35.633 0.93866 0.03125
179.86 0.0039644 31.586 0.93866 0.03125
174.8 0.0043497 28.977 0.93879 0.03125
169.87 0.0044852 28 0.93891 0.023438
164.84 0.0044718 28.469 0.93909 0.023438
159.94 0.0044785 28.024 0.93915 0.023438
154.84 0.0043755 28.5 0.93921 0.03125
149.99 0.0043822 28.758 0.93915 0.03125
144.98 0.0042515 28.969 0.9394 0.03125
140.01 0.0040465 30.68 0.93934 0.03125
135.23 0.0037327 31.828 0.93934 0.03125
130.09 0.0034704 34.18 0.9394 0.023438
124.98 0.0030499 37.907 0.93921 0.023438
120.06 0.0027018 40.75 0.93934 0.03125
115.31 0.0025072 43.266 0.9394 0.03125
110.14 0.0021763 47.719 0.93927 0.03125
105.31 0.0018511 51.563 0.93921 0.03125
100.09 0.0016022 56.266 0.93921 0.03125
95.07 0.0012684 61.742 0.93909 0.03125
89.89 0.00094033 68.626 0.93897 0.03125
84.77 0.00071717 73.422 0.93915 0.039063
79.63 0.00061799 75.891 0.93897 0.03125
74.74 0.00061608 75.891 0.93885 0.03125
69.79 0.00062848 75.344 0.93873 0.039063
64.89 0.00077343 72.477 0.93866 0.03125
59.93 0.0010061 67.321 0.93873 0.03125
54.95 0.0011778 63.649 0.93854 0.039063
50 0.0014134 59.907 0.9386 0.039063
45.1 0.0016403 55.438 0.9386 0.039063
40.09 0.0018873 51.711 0.93866 0.039063
35.09 0.0022507 46.383 0.93854 0.039063
30.23 0.0026617 42.016 0.93866 0.046875
25.26 0.0029984 38.524 0.93873 0.039063
20.3 0.0032797 35.063 0.9386 0.039063
15.37 0.0036965 33.125 0.93873 0.039063
10.13 0.0042181 29.149 0.93866 0.039063
5.16 0.0047264 26.617 0.93879 0.039063
-0.02 0.0052767 23.633 0.93897 0.046875
-5.02 0.0055695 22 0.93915 0.039063
-9.97 0.0057736 22.047 0.93927 0.03125
-15.05 0.0057802 21.469 0.9394 0.039063
-19.94 0.0057011 21.727 0.93952 0.039063
-24.77 0.0055304 22.492 0.93958 0.039063
-29.82 0.005189 23.797 0.93958 0.039063
-34.69 0.0049372 24.563 0.93976 0.046875
-39.65 0.0046568 25.961 0.93964 0.046875
-44.54 0.0042887 27.664 0.93976 0.039063
-49.55 0.0040484 29.617 0.9397 0.046875
-54.52 0.0038347 30.047 0.93976 0.039063
-60.43 0.0035839 32.235 0.9397 0.039063
-65.36 0.0032911 35.367 0.9397 0.046875
-70.36 0.0030365 36.344 0.93958 0.03125
-75.42 0.0028658 38.797 0.93964 0.046875
-80.46 0.0026255 40.313 0.93976 0.046875
-85.42 0.0022917 44.164 0.93964 0.046875
-90 0.0021324 47.461 0.93958 0.039063
270 0.0021162 47.11 0.93964 0.046875
264.98 0.0019207 49.992 0.93946 0.046875
260.11 0.0016346 54.297 0.9394 0.046875
255.18 0.0015955 54.321 0.93934 0.039063
250.27 0.0016165 54.805 0.93927 0.046875
245.33 0.0017624 52.266 0.93915 0.046875
240.37 0.0018768 50.266 0.93909 0.046875
235.27 0.0020809 47.578 0.93903 0.046875
230.29 0.0023794 43.102 0.93903 0.046875
225.27 0.0026322 41.008 0.93903 0.046875
220.35 0.0029821 37.571 0.93891 0.046875
215.31 0.0033064 33.953 0.93903 0.046875
210.4 0.0035658 32.414 0.93885 0.046875
205.5 0.0039273 29.852 0.93885 0.046875
